feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
Pulse1,0.020714285714285713,0.0001883116883116883,110.0,1.0,1.0,1,SVM-rbf
 Pulse3,5.109285714285718,0.005799416247770395,881.0,0.0,114.0,1,SVM-rbf
 Pulse4,0.07214285714285712,0.0009132007233273054,79.0,1.0,3.0,1,SVM-rbf
 Pulse5,9.595000000000002,0.011758578431372553,816.0,0.0,175.0,1,SVM-rbf
 Pulse6,1.0335714285714284,0.002816270922537952,367.0,1.0,22.0,1,SVM-rbf
 Pulse7,-0.004999999999999963,-0.00020833333333333177,24.0,1.0,0.0,1,SVM-rbf
 Pulse8,0.41714285714285715,0.002512908777969019,166.0,1.0,9.0,1,SVM-rbf
 Pulse9,0.08285714285714305,0.000998278829604133,83.0,1.0,3.0,1,SVM-rbf
 Pulse10,0.13214285714285717,0.0026967930029154524,49.0,1.0,1.0,1,SVM-rbf
 Pulse11,0.14071428571428565,0.0011726190476190471,120.0,1.0,3.0,1,SVM-rbf
 Pulse12,0.39428571428571435,0.0013012729844413015,303.0,1.0,13.0,1,SVM-rbf
 Pulse13,0.012857142857142873,0.00015126050420168085,85.0,1.0,0.0,1,SVM-rbf
 Pulse14,0.539285714285714,0.002386219974715549,226.0,1.0,13.0,1,SVM-rbf
 Pulse15,-0.009285714285714272,-0.0003201970443349749,29.0,1.0,0.0,1,SVM-rbf
 Pulse16,9.99857142857143,0.01396448523543496,716.0,0.0,168.0,1,SVM-rbf
 Pulse17,0.0964285714285715,0.0006302521008403366,153.0,1.0,3.0,1,SVM-rbf
 Pulse18,0.04571428571428572,0.00024060150375939854,190.0,1.0,3.0,1,SVM-rbf
 Pulse19,0.001428571428571418,4.761904761904727e-05,30.0,1.0,1.0,1,SVM-rbf
 Pulse20,0.095,0.0005864197530864197,162.0,1.0,3.0,1,SVM-rbf
 Pulse21,1.771428571428571,0.0034870641169853756,508.0,1.0,42.0,1,SVM-rbf
 Pulse22,-0.020714285714285713,-0.0007671957671957671,27.0,1.0,0.0,1,SVM-rbf
 Pulse23,0.11071428571428568,0.000907494145199063,122.0,1.0,3.0,1,SVM-rbf
 Pulse24,1.367857142857143,0.0027522276516240302,497.0,1.0,35.0,1,SVM-rbf
 Pulse25,-0.012857142857142873,-0.003214285714285718,4.0,1.0,0.0,1,SVM-rbf
 Pulse26,-0.002857142857142836,-0.00047619047619047267,6.0,1.0,0.0,1,SVM-rbf
 Pulse27,5.522857142857141,0.008893489763054978,621.0,0.0,108.0,1,SVM-rbf
 Pulse28,0.026428571428571385,0.00044794188861985396,59.0,1.0,2.0,1,SVM-rbf
 Pulse29,-0.02214285714285713,-0.011071428571428565,2.0,1.0,0.0,1,SVM-rbf
 Pulse30,-0.04714285714285715,-0.003626373626373627,13.0,1.0,0.0,1,SVM-rbf
 Pulse31,0.06999999999999999,0.0011475409836065572,61.0,1.0,1.0,1,SVM-rbf
 Pulse32,0.0314285714285714,0.0004190476190476187,75.0,1.0,1.0,1,SVM-rbf
 Pulse33,0.05642857142857133,0.000587797619047618,96.0,1.0,0.0,1,SVM-rbf
 Pulse34,0.22785714285714292,0.0009187788018433183,248.0,1.0,8.0,1,SVM-rbf
Pulse1,1.1743772241992871,0.0024517269816269043,479.0,0.0,57.0,2,SVM-rbf
 Pulse3,0.35871886120996455,0.002200729209877083,163.0,1.0,9.0,2,SVM-rbf
 Pulse4,0.6035587188612099,0.0021710745282777335,278.0,1.0,18.0,2,SVM-rbf
 Pulse5,14.634163701067616,0.015388184754014317,951.0,0.0,195.0,2,SVM-rbf
 Pulse6,6.747330960854101,0.008100037167892078,833.0,0.0,142.0,2,SVM-rbf
 Pulse7,1.0612099644128115,0.002374071508753493,447.0,1.0,27.0,2,SVM-rbf
 Pulse8,0.06975088967971527,0.001453143534994068,48.0,1.0,1.0,2,SVM-rbf
 Pulse9,0.5181494661921711,0.0018979833926453151,273.0,1.0,17.0,2,SVM-rbf
 Pulse10,0.8790035587188612,0.0025114387391967463,350.0,1.0,15.0,2,SVM-rbf
 Pulse11,-0.012811387900355908,-0.0009854913769504546,13.0,1.0,0.0,2,SVM-rbf
 Pulse12,-0.01637010676156586,-0.0003807001572457177,43.0,1.0,0.0,2,SVM-rbf
 Pulse13,0.35587188612099635,0.0009291694154595205,383.0,1.0,9.0,2,SVM-rbf
 Pulse14,-0.015658362989323826,-0.0010438908659549217,15.0,1.0,0.0,2,SVM-rbf
 Pulse15,1.819928825622775,0.0035754986750938605,509.0,1.0,41.0,2,SVM-rbf
 Pulse16,0.3537366548042706,0.0018233848185787143,194.0,1.0,10.0,2,SVM-rbf
 Pulse17,0.009252669039145803,0.00022030164378918578,42.0,1.0,0.0,2,SVM-rbf
 Pulse18,-0.029181494661921714,-0.0018238434163701071,16.0,1.0,0.0,2,SVM-rbf
 Pulse19,0.09110320284697515,0.0003658763166545187,249.0,1.0,5.0,2,SVM-rbf
 Pulse20,0.02918149466192163,0.0006343803187374268,46.0,1.0,0.0,2,SVM-rbf
 Pulse21,0.24768683274021353,0.0006070755704416998,408.0,1.0,10.0,2,SVM-rbf
 Pulse22,0.14733096085409253,0.0006164475349543621,239.0,1.0,5.0,2,SVM-rbf
 Pulse23,0.1701067615658364,0.0012326576925060608,138.0,1.0,2.0,2,SVM-rbf
 Pulse24,0.42562277580071184,0.001594092793261093,267.0,1.0,11.0,2,SVM-rbf
 Pulse25,-0.02918149466192177,-0.0009413385374813474,31.0,1.0,0.0,2,SVM-rbf
 Pulse26,-0.0049822064056939674,-0.0009964412811387935,5.0,1.0,0.0,2,SVM-rbf
 Pulse27,4.145195729537368,0.00453522508702119,914.0,0.0,140.0,2,SVM-rbf
 Pulse28,0.10889679715302489,0.0006049822064056939,180.0,1.0,6.0,2,SVM-rbf
 Pulse29,0.4412811387900352,0.00113732252265473,388.0,1.0,12.0,2,SVM-rbf
 Pulse30,-0.007117437722419961,-0.0003235198964736346,22.0,1.0,0.0,2,SVM-rbf
 Pulse31,0.46903914590747353,0.0017902257477384485,262.0,1.0,9.0,2,SVM-rbf
 Pulse32,0.06975088967971534,0.001073090610457159,65.0,1.0,1.0,2,SVM-rbf
 Pulse33,0.5672597864768685,0.001512692763938316,375.0,1.0,14.0,2,SVM-rbf
