dataset,fold,measure,k,n_available_features,model,acc_test,gps_test
wdbc,1,kDN_importances_norm,1,20,SVM-rbf,0.868421052631579,0.850257134213976
wdbc,1,kDN_importances_norm,1,20,KNN,0.8771929824561403,0.8614410134600158
wdbc,1,kDN_importances_norm,2,20,SVM-rbf,0.9122807017543859,0.9039881831610046
wdbc,1,kDN_importances_norm,2,20,KNN,0.9298245614035088,0.9233273056057867
wdbc,1,kDN_importances_norm,3,20,SVM-rbf,0.8947368421052632,0.8859060402684564
wdbc,1,kDN_importances_norm,3,20,KNN,0.9122807017543859,0.9060693641618498
wdbc,1,kDN_importances_norm,4,20,SVM-rbf,0.9122807017543859,0.905074844833881
wdbc,1,kDN_importances_norm,4,20,KNN,0.9122807017543859,0.9060693641618498
wdbc,1,kDN_importances_norm,5,20,SVM-rbf,0.9035087719298246,0.8936449826339997
wdbc,1,kDN_importances_norm,5,20,KNN,0.9210526315789473,0.9141611408847308
wdbc,1,kDN_importances_norm,6,20,SVM-rbf,0.956140350877193,0.9524640209332752
wdbc,1,kDN_importances_norm,6,20,KNN,0.9298245614035088,0.9233273056057867
wdbc,1,kDN_importances_norm,7,20,SVM-rbf,0.9473684210526315,0.9425939050318923
wdbc,1,kDN_importances_norm,7,20,KNN,0.9473684210526315,0.9432176656151421
wdbc,1,kDN_importances_norm,8,20,SVM-rbf,0.9473684210526315,0.9432176656151421
wdbc,1,kDN_importances_norm,8,20,KNN,0.9385964912280702,0.9333451988965026
wdbc,1,kDN_importances_norm,9,20,SVM-rbf,0.9385964912280702,0.9333451988965026
wdbc,1,kDN_importances_norm,9,20,KNN,0.956140350877193,0.9524640209332752
wdbc,1,kDN_importances_norm,10,20,SVM-rbf,0.9473684210526315,0.9425939050318923
wdbc,1,kDN_importances_norm,10,20,KNN,0.956140350877193,0.9519273176325308
wdbc,1,kDN_importances_norm,11,20,SVM-rbf,0.9473684210526315,0.9425939050318923
wdbc,1,kDN_importances_norm,11,20,KNN,0.9298245614035088,0.9241773962804005
wdbc,1,kDN_importances_norm,12,20,SVM-rbf,0.956140350877193,0.9524640209332752
wdbc,1,kDN_importances_norm,12,20,KNN,0.9473684210526315,0.9425939050318923
wdbc,1,kDN_importances_norm,13,20,SVM-rbf,0.956140350877193,0.9524640209332752
wdbc,1,kDN_importances_norm,13,20,KNN,0.9210526315789473,0.9141611408847308
wdbc,1,kDN_importances_norm,14,20,SVM-rbf,0.956140350877193,0.9524640209332752
wdbc,1,kDN_importances_norm,14,20,KNN,0.9298245614035088,0.9241773962804005
wdbc,1,kDN_importances_norm,15,20,SVM-rbf,0.956140350877193,0.9524640209332752
wdbc,1,kDN_importances_norm,15,20,KNN,0.9385964912280702,0.9333451988965026
wdbc,1,kDN_importances_norm,16,20,SVM-rbf,0.9473684210526315,0.9425939050318923
wdbc,1,kDN_importances_norm,16,20,KNN,0.9385964912280702,0.9333451988965026
wdbc,1,kDN_importances_norm,17,20,SVM-rbf,0.956140350877193,0.9524640209332752
wdbc,1,kDN_importances_norm,17,20,KNN,0.9298245614035088,0.9233273056057867
wdbc,1,kDN_importances_norm,18,20,SVM-rbf,0.9473684210526315,0.9425939050318923
wdbc,1,kDN_importances_norm,18,20,KNN,0.9210526315789473,0.913151364764268
wdbc,1,kDN_importances_norm,19,20,SVM-rbf,0.9473684210526315,0.9425939050318923
wdbc,1,kDN_importances_norm,19,20,KNN,0.9473684210526315,0.9419146647543922
wdbc,1,kDN_importances_norm,20,20,SVM-rbf,0.9473684210526315,0.9425939050318923
wdbc,1,kDN_importances_norm,20,20,KNN,0.9473684210526315,0.9419146647543922
wdbc,2,kDN_importances_norm,1,20,SVM-rbf,0.8947368421052632,0.8831168831168831
wdbc,2,kDN_importances_norm,1,20,KNN,0.8771929824561403,0.8681235870384326
wdbc,2,kDN_importances_norm,2,20,SVM-rbf,0.9035087719298246,0.8989565682689735
wdbc,2,kDN_importances_norm,2,20,KNN,0.9210526315789473,0.9174023249715932
wdbc,2,kDN_importances_norm,3,20,SVM-rbf,0.9210526315789473,0.9180327868852459
wdbc,2,kDN_importances_norm,3,20,KNN,0.9385964912280702,0.9352803940205652
wdbc,2,kDN_importances_norm,4,20,SVM-rbf,0.9210526315789473,0.9174023249715932
wdbc,2,kDN_importances_norm,4,20,KNN,0.9122807017543859,0.9085473091804431
wdbc,2,kDN_importances_norm,5,20,SVM-rbf,0.956140350877193,0.9538174730955004
wdbc,2,kDN_importances_norm,5,20,KNN,0.9473684210526315,0.9437890353920888
wdbc,2,kDN_importances_norm,6,20,SVM-rbf,0.9649122807017544,0.9629130141604855
wdbc,2,kDN_importances_norm,6,20,KNN,0.9473684210526315,0.9437890353920888
wdbc,2,kDN_importances_norm,7,20,SVM-rbf,0.9736842105263158,0.9720754716981133
wdbc,2,kDN_importances_norm,7,20,KNN,0.9473684210526315,0.9437890353920888
wdbc,2,kDN_importances_norm,8,20,SVM-rbf,0.9736842105263158,0.9720754716981133
wdbc,2,kDN_importances_norm,8,20,KNN,0.9385964912280702,0.9346935216671026
wdbc,2,kDN_importances_norm,9,20,SVM-rbf,0.9736842105263158,0.9720754716981133
wdbc,2,kDN_importances_norm,9,20,KNN,0.9473684210526315,0.9437890353920888
wdbc,2,kDN_importances_norm,10,20,SVM-rbf,0.9824561403508771,0.9813084112149533
wdbc,2,kDN_importances_norm,10,20,KNN,0.9473684210526315,0.9432176656151421
wdbc,2,kDN_importances_norm,11,20,SVM-rbf,0.9736842105263158,0.9720754716981133
wdbc,2,kDN_importances_norm,11,20,KNN,0.9385964912280702,0.934049484899181
wdbc,2,kDN_importances_norm,12,20,SVM-rbf,0.9736842105263158,0.9720754716981133
