dataset,fold,measure,k,n_available_features,model,acc_test,gps_test
ArtificialDataset18a,1,kDN_importances_norm,1,109,SVM-rbf,0.68,0.0
ArtificialDataset18a,1,kDN_importances_norm,1,109,KNN,0.61,0.35685320356853206
ArtificialDataset18a,1,kDN_importances_norm,2,109,SVM-rbf,0.66,0.0
ArtificialDataset18a,1,kDN_importances_norm,2,109,KNN,0.58,0.3387622149837134
ArtificialDataset18a,1,kDN_importances_norm,3,109,SVM-rbf,0.67,0.0
ArtificialDataset18a,1,kDN_importances_norm,3,109,KNN,0.65,0.41651705565529623
ArtificialDataset18a,1,kDN_importances_norm,4,109,SVM-rbf,0.67,0.0
ArtificialDataset18a,1,kDN_importances_norm,4,109,KNN,0.58,0.0855855855855856
ArtificialDataset18a,1,kDN_importances_norm,5,109,SVM-rbf,0.68,0.0
ArtificialDataset18a,1,kDN_importances_norm,5,109,KNN,0.68,0.3667054714784633
ArtificialDataset18a,1,kDN_importances_norm,6,109,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18a,1,kDN_importances_norm,6,109,KNN,0.62,0.3952772073921971
ArtificialDataset18a,1,kDN_importances_norm,7,109,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18a,1,kDN_importances_norm,7,109,KNN,0.6,0.3506493506493506
ArtificialDataset18a,1,kDN_importances_norm,8,109,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18a,1,kDN_importances_norm,8,109,KNN,0.63,0.36982968369829683
ArtificialDataset18a,1,kDN_importances_norm,9,109,SVM-rbf,0.69,0.3743784732377889
ArtificialDataset18a,1,kDN_importances_norm,9,109,KNN,0.62,0.32608695652173914
ArtificialDataset18a,1,kDN_importances_norm,10,109,SVM-rbf,0.67,0.35931614024920305
ArtificialDataset18a,1,kDN_importances_norm,10,109,KNN,0.67,0.35931614024920305
ArtificialDataset18a,1,kDN_importances_norm,11,109,SVM-rbf,0.67,0.35931614024920305
ArtificialDataset18a,1,kDN_importances_norm,11,109,KNN,0.64,0.37662337662337664
ArtificialDataset18a,1,kDN_importances_norm,12,109,SVM-rbf,0.68,0.3667054714784633
ArtificialDataset18a,1,kDN_importances_norm,12,109,KNN,0.66,0.4526829268292683
ArtificialDataset18a,1,kDN_importances_norm,13,109,SVM-rbf,0.68,0.3667054714784633
ArtificialDataset18a,1,kDN_importances_norm,13,109,KNN,0.59,0.2667474992421946
ArtificialDataset18a,1,kDN_importances_norm,14,109,SVM-rbf,0.68,0.3667054714784633
ArtificialDataset18a,1,kDN_importances_norm,14,109,KNN,0.59,0.2667474992421946
ArtificialDataset18a,1,kDN_importances_norm,15,109,SVM-rbf,0.66,0.3065512978986403
ArtificialDataset18a,1,kDN_importances_norm,15,109,KNN,0.55,0.2479489516864175
ArtificialDataset18a,1,kDN_importances_norm,16,109,SVM-rbf,0.66,0.252
ArtificialDataset18a,1,kDN_importances_norm,16,109,KNN,0.62,0.3952772073921971
ArtificialDataset18a,1,kDN_importances_norm,17,109,SVM-rbf,0.68,0.32
ArtificialDataset18a,1,kDN_importances_norm,17,109,KNN,0.66,0.4526829268292683
ArtificialDataset18a,1,kDN_importances_norm,18,109,SVM-rbf,0.65,0.2464392182842001
ArtificialDataset18a,1,kDN_importances_norm,18,109,KNN,0.57,0.3330612244897959
ArtificialDataset18a,1,kDN_importances_norm,19,109,SVM-rbf,0.66,0.252
ArtificialDataset18a,1,kDN_importances_norm,19,109,KNN,0.58,0.30320366132723114
ArtificialDataset18a,1,kDN_importances_norm,20,109,SVM-rbf,0.65,0.181360201511335
ArtificialDataset18a,1,kDN_importances_norm,20,109,KNN,0.59,0.3446220536439989
ArtificialDataset18a,1,kDN_importances_norm,21,109,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18a,1,kDN_importances_norm,21,109,KNN,0.55,0.2479489516864175
ArtificialDataset18a,1,kDN_importances_norm,22,109,SVM-rbf,0.69,0.20037383177570092
ArtificialDataset18a,1,kDN_importances_norm,22,109,KNN,0.59,0.30865961703343814
ArtificialDataset18a,1,kDN_importances_norm,23,109,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18a,1,kDN_importances_norm,23,109,KNN,0.64,0.43749999999999994
ArtificialDataset18a,1,kDN_importances_norm,24,109,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18a,1,kDN_importances_norm,24,109,KNN,0.64,0.43749999999999994
ArtificialDataset18a,1,kDN_importances_norm,25,109,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18a,1,kDN_importances_norm,25,109,KNN,0.63,0.36982968369829683
ArtificialDataset18a,1,kDN_importances_norm,26,109,SVM-rbf,0.69,0.20037383177570092
ArtificialDataset18a,1,kDN_importances_norm,26,109,KNN,0.63,0.4547368421052632
ArtificialDataset18a,1,kDN_importances_norm,27,109,SVM-rbf,0.69,0.20037383177570092
ArtificialDataset18a,1,kDN_importances_norm,27,109,KNN,0.6,0.3142857142857143
ArtificialDataset18a,1,kDN_importances_norm,28,109,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18a,1,kDN_importances_norm,28,109,KNN,0.63,0.33228301346319106
ArtificialDataset18a,1,kDN_importances_norm,29,109,SVM-rbf,0.67,0.0
ArtificialDataset18a,1,kDN_importances_norm,29,109,KNN,0.64,0.338691159586682
ArtificialDataset18a,1,kDN_importances_norm,30,109,SVM-rbf,0.67,0.0
ArtificialDataset18a,1,kDN_importances_norm,30,109,KNN,0.64,0.338691159586682
ArtificialDataset18a,1,kDN_importances_norm,31,109,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18a,1,kDN_importances_norm,31,109,KNN,0.64,0.37662337662337664
ArtificialDataset18a,1,kDN_importances_norm,32,109,SVM-rbf,0.67,0.0
ArtificialDataset18a,1,kDN_importances_norm,32,109,KNN,0.64,0.40923076923076923
ArtificialDataset18a,1,kDN_importances_norm,33,109,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18a,1,kDN_importances_norm,33,109,KNN,0.66,0.42402464065708423
