feature,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars,Hostility_removed_count,N1_removed_count,kDN_removed_count,fold,model
f0,0.01958333333333334,0.16295833333333337,0.43475000000000014,0.00011064030131826747,0.0009206685499058382,0.0024562146892655374,177.0,1.0,1.0,0.0,1,SVM-rbf
f1,-0.016666666666666663,-0.009444444444444366,-0.001083333333333325,-0.0005050505050505049,-0.00028619528619528383,-3.2828282828282575e-05,33.0,1.0,1.0,1.0,1,SVM-rbf
f10,-0.011666666666666659,-0.0003511904761905327,0.01933333333333337,-0.0007291666666666662,-2.1949404761908292e-05,0.0012083333333333356,16.0,1.0,1.0,1.0,1,SVM-rbf
f100,,,,,,,,,,,1,SVM-rbf
f101,,,,,,,,,,,1,SVM-rbf
f102,,,,,,,,,,,1,SVM-rbf
f103,,,,,,,,,,,1,SVM-rbf
f104,-0.002083333333333326,0.0014513888888888493,-8.333333333337967e-05,-7.716049382716022e-05,5.3755144032920346e-05,-3.0864197530881357e-06,27.0,1.0,1.0,1.0,1,SVM-rbf
f105,,,,,,,,,,,1,SVM-rbf
f106,-0.02833333333333332,-0.001819444444444429,-0.0008333333333332971,-0.001231884057971014,-7.910628019323604e-05,-3.6231884057969435e-05,23.0,1.0,1.0,1.0,1,SVM-rbf
f107,,,,,,,,,,,1,SVM-rbf
f108,,,,,,,,,,,1,SVM-rbf
f109,-0.004166666666666652,-0.017867063492063462,0.0011666666666667047,-8.503401360544187e-05,-0.0003646339488176217,2.3809523809524586e-05,49.0,1.0,1.0,1.0,1,SVM-rbf
f11,-0.003750000000000031,0.09891071428571402,0.03650000000000003,-3.865979381443331e-05,0.0010196980854197321,0.00037628865979381476,97.0,1.0,1.0,1.0,1,SVM-rbf
f110,,,,,,,,,,,1,SVM-rbf
f111,,,,,,,,,,,1,SVM-rbf
f112,,,,,,,,,,,1,SVM-rbf
f113,0.04208333333333336,-0.0028402777777776222,-0.00024999999999997247,0.0007514880952380958,-5.071924603174326e-05,-4.4642857142852225e-06,56.0,1.0,1.0,1.0,1,SVM-rbf
f114,0.004583333333333328,0.0006944444444444975,-0.00024999999999997247,0.0001527777777777776,2.3148148148149916e-05,-8.333333333332416e-06,30.0,1.0,1.0,1.0,1,SVM-rbf
f115,-0.002083333333333326,0.00021527777777785584,-0.0009999999999999454,-2.705627705627696e-05,2.7958152958163095e-06,-1.2987012987012278e-05,77.0,1.0,1.0,1.0,1,SVM-rbf
f116,,,,,,,,,,,1,SVM-rbf
f117,,,,,,,,,,,1,SVM-rbf
f118,-0.02250000000000002,-0.006068452380952383,-0.0058333333333333015,-0.0011842105263157904,-0.0003193922305764412,-0.00030701754385964745,19.0,1.0,1.0,1.0,1,SVM-rbf
f119,-0.012499999999999956,-0.007104166666666634,-0.0007499999999999729,-0.0002906976744186036,-0.00016521317829457286,-1.7441860465115648e-05,43.0,1.0,1.0,1.0,1,SVM-rbf
f12,0.007916666666666683,-0.0057847222222222605,0.018666666666666665,0.00016493055555555589,-0.0001205150462962971,0.00038888888888888887,48.0,1.0,1.0,1.0,1,SVM-rbf
