fold,measure,n_features,top_features,acc_train,gps_train,acc_test,gps_test,complexity_Hostility,complexity_N1,complexity_kDN,removed_features,fixed_features,model
2,kDN_importances_norm,10,"['f9', 'f8', 'f7', 'f6', 'f1', 'f4', 'f0', 'f2', 'f5', 'f14']",0.95,0.9499986841758994,0.945,0.9449286111626183,0.0775,0.10629761904761903,0.1325,"['f5', 'f10', 'f11', 'f1', 'f2', 'f14', 'f4', 'f0', 'f3']","['f5', 'f11', 'f1', 'f6', 'f2', 'f14', 'f4', 'f0', 'f8', 'f3', 'f7', 'f9']",KNN
3,Hostility_importances_norm,10,"['f6', 'f9', 'f8', 'f4', 'f1', 'f7', 'f2', 'f0', 'f3', 'f14']",0.9575,0.9574864023088325,0.935,0.9349843545238158,0.06875,0.1010625,0.128,"['f5', 'f9', 'f10', 'f11', 'f1', 'f6', 'f2', 'f14', 'f4', 'f0', 'f3', 'f7']","['f9', 'f10', 'f1', 'f6', 'f2', 'f14', 'f4', 'f0', 'f8', 'f3', 'f7']",KNN
3,N1_importances_norm,10,"['f6', 'f9', 'f8', 'f7', 'f2', 'f5', 'f1', 'f0', 'f3', 'f14']",0.95375,0.9537371913259077,0.925,0.9248354505810017,0.10375,0.10321130952380952,0.13275,"['f5', 'f9', 'f10', 'f11', 'f1', 'f6', 'f2', 'f4', 'f14', 'f0', 'f3', 'f7']","['f5', 'f1', 'f6', 'f2', 'f14', 'f0', 'f8', 'f3', 'f7', 'f9']",KNN
3,kDN_importances_norm,10,"['f9', 'f8', 'f1', 'f7', 'f4', 'f2', 'f5', 'f0', 'f14', 'f3']",0.94625,0.946247781034554,0.89,0.8899876390605687,0.1125,0.13066071428571427,0.16700000000000004,"['f5', 'f10', 'f11', 'f6', 'f2', 'f14', 'f4', 'f0', 'f3']","['f5', 'f1', 'f2', 'f14', 'f4', 'f0', 'f8', 'f3', 'f7', 'f9']",KNN
4,Hostility_importances_norm,10,"['f8', 'f9', 'f7', 'f1', 'f6', 'f2', 'f4', 'f0', 'f5', 'f14']",0.95875,0.9587493949552715,0.935,0.9349843545238158,0.10375,0.09903273809523809,0.1265,"['f5', 'f10', 'f11', 'f1', 'f6', 'f2', 'f14', 'f4', 'f0', 'f8', 'f3', 'f7']","['f5', 'f9', 'f1', 'f6', 'f2', 'f4', 'f0', 'f8', 'f3', 'f7']",KNN
4,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f7', 'f6', 'f4', 'f2', 'f0', 'f14', 'f5']",0.95875,0.9587493949552715,0.935,0.9349843545238158,0.10375,0.09903273809523809,0.1265,"['f5', 'f9', 'f10', 'f11', 'f1', 'f6', 'f2', 'f4', 'f14', 'f0', 'f3', 'f7']","['f5', 'f10', 'f1', 'f6', 'f2', 'f4', 'f14', 'f0', 'f8', 'f7', 'f9']",KNN
4,kDN_importances_norm,10,"['f8', 'f9', 'f7', 'f6', 'f1', 'f4', 'f2', 'f0', 'f14', 'f5']",0.95875,0.9587493949552715,0.935,0.9349843545238158,0.10375,0.09903273809523809,0.1265,"['f5', 'f10', 'f11', 'f1', 'f6', 'f2', 'f14', 'f4', 'f0', 'f3']","['f5', 'f1', 'f6', 'f2', 'f14', 'f4', 'f0', 'f8', 'f3', 'f7', 'f9']",KNN
5,Hostility_importances_norm,10,"['f9', 'f8', 'f1', 'f7', 'f2', 'f4', 'f3', 'f5', 'f0', 'f6']",0.96875,0.9687487398685432,0.95,0.9499947362880304,0.07625,0.0753452380952381,0.11925000000000001,"['f5', 'f10', 'f11', 'f1', 'f6', 'f2', 'f14', 'f4', 'f0', 'f8', 'f3', 'f7']","['f5', 'f9', 'f1', 'f2', 'f4', 'f0', 'f8', 'f3', 'f7']",KNN
5,N1_importances_norm,10,"['f6', 'f8', 'f7', 'f9', 'f1', 'f4', 'f2', 'f14', 'f0', 'f5']",0.9575,0.9574930634894728,0.945,0.9449985449350512,0.11,0.09516369047619047,0.125,"['f5', 'f9', 'f10', 'f11', 'f6', 'f2', 'f14', 'f4', 'f0', 'f3', 'f7']","['f5', 'f9', 'f1', 'f6', 'f2', 'f4', 'f14', 'f0', 'f8', 'f7']",KNN
5,kDN_importances_norm,10,"['f6', 'f8', 'f9', 'f7', 'f1', 'f2', 'f4', 'f0', 'f14', 'f5']",0.9575,0.9574930634894728,0.945,0.9449985449350512,0.11,0.09516369047619047,0.125,"['f5', 'f10', 'f11', 'f2', 'f14', 'f4', 'f0', 'f3']","['f5', 'f9', 'f1', 'f6', 'f2', 'f14', 'f4', 'f0', 'f8', 'f3', 'f7']",KNN
