dataset,fold,measure,k,n_available_features,model,acc_test,gps_test
ArtificialDataset18b,1,kDN_importances_norm,1,77,SVM-rbf,0.66,0.0
ArtificialDataset18b,1,kDN_importances_norm,1,77,KNN,0.54,0.31683168316831684
ArtificialDataset18b,1,kDN_importances_norm,2,77,SVM-rbf,0.63,0.17311103228095068
ArtificialDataset18b,1,kDN_importances_norm,2,77,KNN,0.62,0.4688908926961226
ArtificialDataset18b,1,kDN_importances_norm,3,77,SVM-rbf,0.65,0.10114579217700513
ArtificialDataset18b,1,kDN_importances_norm,3,77,KNN,0.56,0.32751091703056767
ArtificialDataset18b,1,kDN_importances_norm,4,77,SVM-rbf,0.66,0.252
ArtificialDataset18b,1,kDN_importances_norm,4,77,KNN,0.57,0.4134960516870065
ArtificialDataset18b,1,kDN_importances_norm,5,77,SVM-rbf,0.66,0.30655129789864033
ArtificialDataset18b,1,kDN_importances_norm,5,77,KNN,0.63,0.512241054613936
ArtificialDataset18b,1,kDN_importances_norm,6,77,SVM-rbf,0.7,0.5111731843575419
ArtificialDataset18b,1,kDN_importances_norm,6,77,KNN,0.61,0.49714648065948003
ArtificialDataset18b,1,kDN_importances_norm,7,77,SVM-rbf,0.75,0.600298443828608
ArtificialDataset18b,1,kDN_importances_norm,7,77,KNN,0.63,0.47629746124466404
ArtificialDataset18b,1,kDN_importances_norm,8,77,SVM-rbf,0.73,0.5805490529899978
ArtificialDataset18b,1,kDN_importances_norm,8,77,KNN,0.61,0.48045424765232586
ArtificialDataset18b,1,kDN_importances_norm,9,77,SVM-rbf,0.74,0.590289608177172
ArtificialDataset18b,1,kDN_importances_norm,9,77,KNN,0.67,0.54421768707483
ArtificialDataset18b,1,kDN_importances_norm,10,77,SVM-rbf,0.74,0.5709188224799288
ArtificialDataset18b,1,kDN_importances_norm,10,77,KNN,0.7,0.5853080568720379
ArtificialDataset18b,1,kDN_importances_norm,11,77,SVM-rbf,0.73,0.5389473684210526
ArtificialDataset18b,1,kDN_importances_norm,11,77,KNN,0.65,0.5279103548454036
ArtificialDataset18b,1,kDN_importances_norm,12,77,SVM-rbf,0.73,0.5389473684210526
ArtificialDataset18b,1,kDN_importances_norm,12,77,KNN,0.63,0.512241054613936
ArtificialDataset18b,1,kDN_importances_norm,13,77,SVM-rbf,0.7,0.42244224422442245
ArtificialDataset18b,1,kDN_importances_norm,13,77,KNN,0.63,0.40215439856373425
ArtificialDataset18b,1,kDN_importances_norm,14,77,SVM-rbf,0.7,0.42244224422442245
ArtificialDataset18b,1,kDN_importances_norm,14,77,KNN,0.67,0.5076820307281229
ArtificialDataset18b,1,kDN_importances_norm,15,77,SVM-rbf,0.71,0.4947239263803681
ArtificialDataset18b,1,kDN_importances_norm,15,77,KNN,0.65,0.5108578800258009
ArtificialDataset18b,1,kDN_importances_norm,16,77,SVM-rbf,0.67,0.3131407269338304
ArtificialDataset18b,1,kDN_importances_norm,16,77,KNN,0.7,0.57002457002457
ArtificialDataset18b,1,kDN_importances_norm,17,77,SVM-rbf,0.67,0.3131407269338304
ArtificialDataset18b,1,kDN_importances_norm,17,77,KNN,0.61,0.38858905165767155
ArtificialDataset18b,1,kDN_importances_norm,18,77,SVM-rbf,0.65,0.18136020151133503
ArtificialDataset18b,1,kDN_importances_norm,18,77,KNN,0.59,0.37574193548387097
ArtificialDataset18b,1,kDN_importances_norm,19,77,SVM-rbf,0.65,0.18136020151133503
ArtificialDataset18b,1,kDN_importances_norm,19,77,KNN,0.58,0.3387622149837134
ArtificialDataset18b,1,kDN_importances_norm,20,77,SVM-rbf,0.63,0.09616130283055448
ArtificialDataset18b,1,kDN_importances_norm,20,77,KNN,0.55,0.2877697841726619
ArtificialDataset18b,1,kDN_importances_norm,21,77,SVM-rbf,0.63,0.09616130283055448
ArtificialDataset18b,1,kDN_importances_norm,21,77,KNN,0.63,0.4953453128382766
ArtificialDataset18b,1,kDN_importances_norm,22,77,SVM-rbf,0.63,0.09616130283055448
ArtificialDataset18b,1,kDN_importances_norm,22,77,KNN,0.63,0.4953453128382766
ArtificialDataset18b,1,kDN_importances_norm,23,77,SVM-rbf,0.66,0.252
ArtificialDataset18b,1,kDN_importances_norm,23,77,KNN,0.62,0.5195758564437193
ArtificialDataset18b,1,kDN_importances_norm,24,77,SVM-rbf,0.66,0.252
ArtificialDataset18b,1,kDN_importances_norm,24,77,KNN,0.62,0.4688908926961226
ArtificialDataset18b,1,kDN_importances_norm,25,77,SVM-rbf,0.68,0.36670547147846333
ArtificialDataset18b,1,kDN_importances_norm,25,77,KNN,0.6,0.4732221246707638
ArtificialDataset18b,1,kDN_importances_norm,26,77,SVM-rbf,0.67,0.3131407269338304
ArtificialDataset18b,1,kDN_importances_norm,26,77,KNN,0.62,0.5046257359125316
ArtificialDataset18b,1,kDN_importances_norm,27,77,SVM-rbf,0.68,0.36670547147846333
ArtificialDataset18b,1,kDN_importances_norm,27,77,KNN,0.6,0.489795918367347
ArtificialDataset18b,1,kDN_importances_norm,28,77,SVM-rbf,0.68,0.36670547147846333
ArtificialDataset18b,1,kDN_importances_norm,28,77,KNN,0.56,0.4275092936802974
ArtificialDataset18b,1,kDN_importances_norm,29,77,SVM-rbf,0.67,0.3131407269338304
ArtificialDataset18b,1,kDN_importances_norm,29,77,KNN,0.57,0.4684450227716331
ArtificialDataset18b,1,kDN_importances_norm,30,77,SVM-rbf,0.67,0.3131407269338304
ArtificialDataset18b,1,kDN_importances_norm,30,77,KNN,0.57,0.4684450227716331
ArtificialDataset18b,1,kDN_importances_norm,31,77,SVM-rbf,0.66,0.252
ArtificialDataset18b,1,kDN_importances_norm,31,77,KNN,0.55,0.42105263157894735
ArtificialDataset18b,1,kDN_importances_norm,32,77,SVM-rbf,0.67,0.257804632426989
ArtificialDataset18b,1,kDN_importances_norm,32,77,KNN,0.51,0.35509677419354835
ArtificialDataset18b,1,kDN_importances_norm,33,77,SVM-rbf,0.72,0.4744525547445256
ArtificialDataset18b,1,kDN_importances_norm,33,77,KNN,0.54,0.39473684210526316
ArtificialDataset18b,1,kDN_importances_norm,34,77,SVM-rbf,0.72,0.4744525547445256
