model,measure,acc_train_mean,acc_train_std,acc_train_max,gps_train_mean,gps_train_std,gps_train_max,acc_test_mean,acc_test_std,acc_test_max,gps_test_mean,gps_test_std,gps_test_max,complexity_Hostility_mean,complexity_Hostility_std,complexity_N1_mean,complexity_N1_std,complexity_kDN_mean,complexity_kDN_std
DecisionTree,Hostility_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.883,0.02413503677229436,0.915,0.8829135181161865,0.02417114268139472,0.914979093219644,0.032,0.010023410098364728,0.04024623917748917,0.011434489261053954,0.0578,0.013918737370896828
DecisionTree,N1_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.882,0.03420526275297419,0.93,0.8818655333961054,0.03432993919350926,0.9299924723088504,0.020749999999999998,0.00890926484060273,0.02941299603174603,0.0077191547074328066,0.043000000000000003,0.0140055792454293
DecisionTree,kDN_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.8960000000000001,0.024849547279578384,0.93,0.8959611102325796,0.024883618939025146,0.9299924723088504,0.02425,0.0051234753829798,0.024365575396825396,0.002774797508381836,0.039650000000000005,0.005589051797934956
KNN,Hostility_importances_norm,0.991,0.005955564624785805,0.9975,0.9909994313575334,0.005956262003574771,0.9974999843357414,0.9800000000000001,0.015411035007422405,1.0,0.9799975758976341,0.015413078194494832,1.0,0.032,0.010023410098364728,0.04024623917748917,0.011434489261053954,0.0578,0.013918737370896828
KNN,N1_importances_norm,0.9949999999999999,0.0015309310892394593,0.99625,0.9949999191281297,0.001530928761094065,0.9962499470663795,0.99,0.006123724356957962,1.0,0.989998427087871,0.006125123584820556,1.0,0.020749999999999998,0.00890926484060273,0.02941299603174603,0.0077191547074328066,0.043000000000000003,0.0140055792454293
KNN,kDN_importances_norm,0.9945,0.002091650066335187,0.99625,0.9944999394396519,0.0020916920358854704,0.9962499941185604,0.9879999999999999,0.0027386127875258432,0.99,0.9879980230066506,0.0027399366196630835,0.9899989897969492,0.02425,0.0051234753829798,0.024365575396825396,0.002774797508381836,0.039650000000000005,0.005589051797934956
LogReg,Hostility_importances_norm,0.9875,0.0072348980642438845,0.9925,0.9874990037199716,0.0072365354493675385,0.9924998110783647,0.9810000000000001,0.015572411502397444,0.995,0.9809933945745202,0.015584546890280297,0.9949998743687027,0.032,0.010023410098364728,0.04024623917748917,0.011434489261053954,0.0578,0.013918737370896828
LogReg,N1_importances_norm,0.99225,0.002236067977499797,0.995,0.9922497238031154,0.0022361893358246294,0.9949998743687027,0.983,0.006708203932499376,0.99,0.9829982356419835,0.006709889254390514,0.99,0.020749999999999998,0.00890926484060273,0.02941299603174603,0.0077191547074328066,0.043000000000000003,0.0140055792454293
LogReg,kDN_importances_norm,0.99375,0.0019764235376052235,0.99625,0.9937498744165731,0.0019765407493561524,0.9962499470663795,0.984,0.00547722557505166,0.99,0.9839990340676957,0.0054772979036149414,0.99,0.02425,0.0051234753829798,0.024365575396825396,0.002774797508381836,0.039650000000000005,0.005589051797934956
NaiveBayes,Hostility_importances_norm,0.8949999999999999,0.045910919180517366,0.96,0.8938044375622567,0.047339341998466684,0.9599976561126629,0.8879999999999999,0.044384682042344296,0.96,0.8870081805932181,0.045247737105458985,0.96,0.032,0.010023410098364728,0.04024623917748917,0.011434489261053954,0.0578,0.013918737370896828
NaiveBayes,N1_importances_norm,0.90825,0.035735574012459935,0.93625,0.9074653230867954,0.036877836389709644,0.9362260528402687,0.9099999999999999,0.040620192023179805,0.955,0.9094566100691617,0.041312903616198576,0.9549988219586899,0.020749999999999998,0.00890926484060273,0.02941299603174603,0.0077191547074328066,0.043000000000000003,0.0140055792454293
NaiveBayes,kDN_importances_norm,0.875,0.03501115893540228,0.92875,0.8732061030343861,0.0363325988903215,0.9287498801310231,0.869,0.05694295391003173,0.945,0.8671388964913163,0.05863907692025022,0.9449636002647254,0.02425,0.0051234753829798,0.024365575396825396,0.002774797508381836,0.039650000000000005,0.005589051797934956
RandomForest,Hostility_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.9800000000000001,0.003535533905932708,0.985,0.9799983699459872,0.003534548975310742,0.9849965728212028,0.03125,0.011215224028078976,0.04107906746031746,0.010186811765913828,0.0591,0.012114815310189422
RandomForest,N1_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.9810000000000001,0.004183300132670377,0.985,0.9809980927151466,0.004182013557262775,0.9849965728212028,0.019749999999999997,0.009937303457175894,0.029591567460317457,0.007397664095982411,0.0444,0.01231690910902569
RandomForest,kDN_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.9800000000000001,0.0035355339059327407,0.985,0.9799971448311837,0.0035345502149660983,0.9849965728212028,0.02525,0.005755432216610669,0.02356498015873016,0.0030419131760425675,0.03995,0.00538052042092584
SVM-linear,Hostility_importances_norm,0.9877499999999999,0.00657884868347036,0.99375,0.9877487032133537,0.006580888118145181,0.9937499115553523,0.984,0.013874436925511631,0.995,0.9839915803595229,0.013890473494641231,0.9949998743687027,0.03125,0.011215224028078976,0.04107906746031746,0.010186811765913828,0.0591,0.012114815310189422
