model,measure,acc_train_mean,acc_train_std,acc_train_max,gps_train_mean,gps_train_std,gps_train_max,acc_test_mean,acc_test_std,acc_test_max,gps_test_mean,gps_test_std,gps_test_max,complexity_Hostility_mean,complexity_Hostility_std,complexity_N1_mean,complexity_N1_std,complexity_kDN_mean,complexity_kDN_std
DecisionTree,Hostility_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.797,0.01823458252881048,0.815,0.7969601690154651,0.01824210945697769,0.8149943249792937,0.10575000000000001,0.025211604470957414,0.1293672619047619,0.024233995192592877,0.15875000000000003,0.026948446151865604
DecisionTree,N1_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.8150000000000001,0.020615528128088246,0.83,0.8147976617962508,0.020780576113180082,0.8299795156042896,0.11925,0.03058798783836556,0.1212392857142857,0.018630770956061738,0.15975,0.027904412733472824
DecisionTree,kDN_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.8019999999999999,0.01440486029088792,0.82,0.8017503821387102,0.014557813258701011,0.8199780461031835,0.0945,0.022579719883116356,0.11462708333333334,0.018998353373644368,0.14579999999999999,0.023328764433634262
KNN,Hostility_importances_norm,0.951,0.009617692030835682,0.965,0.9509839310108165,0.009630132652630548,0.9649997733145941,0.9,0.015,0.915,0.899856406803434,0.015077433255344623,0.9149419002050583,0.10575000000000001,0.025211604470957414,0.1293672619047619,0.024233995192592877,0.15875000000000003,0.026948446151865604
KNN,N1_importances_norm,0.9465,0.017840438615684323,0.9625,0.9464935863322133,0.01784520219319564,0.9624978083134729,0.921,0.037316216314090545,0.965,0.9209394830052602,0.03735521643181204,0.9649990932407574,0.11925,0.03058798783836556,0.1212392857142857,0.018630770956061738,0.15975,0.027904412733472824
KNN,kDN_importances_norm,0.95475,0.009858372076565215,0.965,0.9547451217800507,0.009865452659282205,0.9649997733145941,0.9289999999999999,0.020432816741702515,0.945,0.9289574812040895,0.02043858128967967,0.9449869016432484,0.0945,0.022579719883116356,0.11462708333333334,0.018998353373644368,0.14579999999999999,0.023328764433634262
LogReg,Hostility_importances_norm,0.86175,0.015677412095113162,0.8875,0.8616987221087277,0.015657416131564995,0.8874492729117349,0.8480000000000001,0.023611437906235218,0.88,0.8474884471389184,0.024300066494085473,0.8798771470822431,0.10575000000000001,0.025211604470957414,0.1293672619047619,0.024233995192592877,0.15875000000000003,0.026948446151865604
LogReg,N1_importances_norm,0.8647500000000001,0.00608533072231902,0.87125,0.8646935957846441,0.006085358061322746,0.8712109660209064,0.8539999999999999,0.019811612756159017,0.87,0.8538922860203847,0.019764816498988674,0.8697604790419161,0.11825,0.029548688634184757,0.1212392857142857,0.018630770956061738,0.15975,0.027904412733472824
LogReg,kDN_importances_norm,0.86975,0.014932138159017994,0.8875,0.8697154349873175,0.014909593158985664,0.8874492729117349,0.8720000000000001,0.03346640106136304,0.91,0.8717491306650921,0.03357585901454215,0.9096425419240954,0.0945,0.022579719883116356,0.11462708333333334,0.018998353373644368,0.14579999999999999,0.023328764433634262
NaiveBayes,Hostility_importances_norm,0.8164999999999999,0.012355413793151564,0.8325,0.8164143507871362,0.012348220319529441,0.8324886816676802,0.8210000000000001,0.03324154027718932,0.87,0.8206308324063283,0.03359076443386225,0.8699850557535348,0.10575000000000001,0.025211604470957414,0.1293672619047619,0.024233995192592877,0.15875000000000003,0.026948446151865604
NaiveBayes,N1_importances_norm,0.8172499999999999,0.006212386819894582,0.82375,0.8171720270046784,0.0062300051296872395,0.8237416417698107,0.807,0.02307596151842859,0.83,0.8066972929595695,0.023332785106524714,0.8299795156042896,0.11925,0.03058798783836556,0.1212392857142857,0.018630770956061738,0.15975,0.027904412733472824
NaiveBayes,kDN_importances_norm,0.8240000000000001,0.007875992001011663,0.8325,0.8239572376428882,0.00785637647455702,0.8324886816676802,0.82,0.027386127875258296,0.84,0.8196927508948129,0.02752016405219419,0.8399237732253453,0.0945,0.022579719883116356,0.11462708333333334,0.018998353373644368,0.14579999999999999,0.023328764433634262
RandomForest,Hostility_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.892,0.016046806535881263,0.905,0.8919112271223872,0.01610168614361902,0.9049973756181109,0.10575000000000001,0.025211604470957414,0.1293672619047619,0.024233995192592877,0.15875000000000003,0.026948446151865604
RandomForest,N1_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.892,0.034928498393146004,0.93,0.8918977434016948,0.03498235090656129,0.9299924723088504,0.11925,0.03058798783836556,0.1212392857142857,0.018630770956061738,0.15975,0.027904412733472824
RandomForest,kDN_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.9120000000000001,0.02280350850198274,0.945,0.9119525896976544,0.022833379893778368,0.9449869016432484,0.0945,0.022579719883116356,0.11462708333333334,0.018998353373644368,0.14579999999999999,0.023328764433634262
SVM-linear,Hostility_importances_norm,0.8627499999999999,0.014345077552944811,0.88375,0.862522714907508,0.014221149022984013,0.8834976744186046,0.8550000000000001,0.016583123951777027,0.88,0.8542411866723307,0.017308824046981065,0.8798771470822431,0.10575000000000001,0.025211604470957414,0.1293672619047619,0.024233995192592877,0.15875000000000003,0.026948446151865604
SVM-linear,N1_importances_norm,0.8714999999999999,0.010170422803404076,0.88375,0.8712371553905742,0.010093774231541482,0.8835521457072572,0.8560000000000001,0.01294217910554478,0.875,0.8556978022757512,0.012880998862626575,0.8748247546565192,0.11925,0.03058798783836556,0.1212392857142857,0.018630770956061738,0.15975,0.027904412733472824
SVM-linear,kDN_importances_norm,0.86975,0.013299436078270407,0.88375,0.8695849991985337,0.013204484888210936,0.8834976744186046,0.868,0.03213253802611929,0.9,0.8675265698046376,0.032428174294150985,0.8994525751312703,0.0945,0.022579719883116356,0.11462708333333334,0.018998353373644368,0.14579999999999999,0.023328764433634262
SVM-rbf,Hostility_importances_norm,0.96075,0.009786789565531707,0.97375,0.9607374093351092,0.009799471690793447,0.9737489469250209,0.9289999999999999,0.019493588689617904,0.95,0.9288421119047843,0.019752726205248927,0.9499789385004213,0.10575000000000001,0.025211604470957414,0.1293672619047619,0.024233995192592877,0.15875000000000003,0.026948446151865604
SVM-rbf,N1_importances_norm,0.9640000000000001,0.0058229073494260545,0.97,0.9639939335118516,0.005825175623905167,0.9699982602083883,0.9339999999999999,0.015572411502397363,0.95,0.9339607355690539,0.015563867981970778,0.9499947362880304,0.11925,0.03058798783836556,0.1212392857142857,0.018630770956061738,0.15975,0.027904412733472824
SVM-rbf,kDN_importances_norm,0.9662499999999999,0.004921254921257415,0.97375,0.9662463509274802,0.004922216524712675,0.9737489469250209,0.953,0.012549900398011167,0.965,0.9529750067481204,0.012531554706921764,0.9649773169151004,0.0945,0.022579719883116356,0.11462708333333334,0.018998353373644368,0.14579999999999999,0.023328764433634262
XGBoost,Hostility_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.907,0.02280350850198278,0.93,0.9069408466239535,0.022853047758822898,0.93,0.10575000000000001,0.025211604470957414,0.1293672619047619,0.024233995192592877,0.15875000000000003,0.026948446151865604
XGBoost,N1_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.9179999999999999,0.013964240043768953,0.935,0.9179614048808775,0.013953907907942422,0.9349982619856146,0.11925,0.03058798783836556,0.1212392857142857,0.018630770956061738,0.15975,0.027904412733472824
XGBoost,kDN_importances_norm,1.0,0.0,1.0,1.0,0.0,1.0,0.929,0.012449899597988702,0.95,0.9289617327357271,0.012422233349715359,0.9499156474061577,0.0945,0.022579719883116356,0.11462708333333334,0.018998353373644368,0.14579999999999999,0.023328764433634262
