feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
f11,-0.028000000000000025,-0.0046666666666666705,6.0,1.0,0.0,5,SVM-rbf
f12,,,,,,5,SVM-rbf
f13,,,,,,5,SVM-rbf
f14,3.948750000000002,0.005244023904382473,753.0,0.0,151.0,5,SVM-rbf
f15,,,,,,5,SVM-rbf
f16,,,,,,5,SVM-rbf
f17,,,,,,5,SVM-rbf
f2,0.1135000000000001,0.004934782608695657,23.0,1.0,2.0,5,SVM-rbf
f3,-0.008250000000000035,-0.00019186046511627988,43.0,1.0,1.0,5,SVM-rbf
f4,6.919000000000003,0.008736111111111115,792.0,0.0,142.0,5,SVM-rbf
f5,-0.006749999999999978,-0.00033749999999999893,20.0,1.0,0.0,5,SVM-rbf
f6,10.678999999999998,0.01394125326370757,766.0,0.0,158.0,5,SVM-rbf
f7,10.456500000000004,0.014054435483870973,744.0,0.0,154.0,5,SVM-rbf
f8,13.078249999999992,0.01600764993880048,817.0,0.0,167.0,5,SVM-rbf
f9,11.777250000000004,0.015415248691099481,764.0,0.0,175.0,5,SVM-rbf
f0,0.05450000000000005,0.013625000000000012,4.0,1.0,0.0,1,KNN
f1,0.7497499999999997,0.004333815028901732,173.0,1.0,21.0,1,KNN
f10,-0.006000000000000005,-0.00042857142857142893,14.0,1.0,0.0,1,KNN
f11,-0.024499999999999994,-0.0061249999999999985,4.0,1.0,0.0,1,KNN
f12,,,,,,1,KNN
f13,,,,,,1,KNN
f14,-0.029249999999999915,-0.009749999999999972,3.0,1.0,0.0,1,KNN
f15,,,,,,1,KNN
f16,,,,,,1,KNN
f17,,,,,,1,KNN
f2,6.242499999999999,0.009139824304538798,683.0,0.0,161.0,1,KNN
f3,-0.012000000000000066,-0.0008000000000000044,15.0,1.0,0.0,1,KNN
f4,0.2384999999999999,0.004499999999999998,53.0,1.0,5.0,1,KNN
f5,4.028500000000001,0.0063944444444444465,630.0,0.0,129.0,1,KNN
