feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
V33,-0.0060240963855421326,-9.412650602409582e-05,64.0,1.0,1.0,2,SVM-rbf
V34,0.028915662650602497,0.0007052600646488414,41.0,1.0,1.0,2,SVM-rbf
V35,-0.014457831325301151,-0.0011121408711770116,13.0,1.0,0.0,2,SVM-rbf
V36,12.865060240963878,0.01410642570281127,912.0,0.0,196.0,2,SVM-rbf
V37,0.1421686746987953,0.0032311062431544385,44.0,1.0,2.0,2,SVM-rbf
V38,0.030120481927711246,0.00034621243595070396,87.0,1.0,1.0,2,SVM-rbf
V39,-0.0048192771084338,-0.0004381161007667091,11.0,1.0,0.0,2,SVM-rbf
V4,0.9891566265060246,0.003130242488943116,316.0,1.0,31.0,2,SVM-rbf
V40,0.022891566265060198,0.0004239178937974111,54.0,1.0,2.0,2,SVM-rbf
V41,0.0349397590361446,0.0005545993497800731,63.0,1.0,1.0,2,SVM-rbf
V42,-0.008433734939758963,-0.0009370816599732182,9.0,1.0,0.0,2,SVM-rbf
V43,0.383132530120482,0.0029700196133370695,129.0,1.0,9.0,2,SVM-rbf
V44,-0.010843373493975933,-0.0015490533562822761,7.0,1.0,0.0,2,SVM-rbf
V45,2.4325301204819274,0.005454103409152303,446.0,1.0,57.0,2,SVM-rbf
V46,0.2542168674698795,0.0021915247195679268,116.0,1.0,6.0,2,SVM-rbf
V47,0.0927710843373494,0.0016867469879518072,55.0,1.0,4.0,2,SVM-rbf
V48,0.18192771084337342,0.0020441315825098136,89.0,1.0,4.0,2,SVM-rbf
V49,0.7734939759036142,0.00231585022725633,334.0,1.0,18.0,2,SVM-rbf
V5,0.0795180722891567,0.0006070081854134099,131.0,1.0,4.0,2,SVM-rbf
V50,-0.030120481927710746,-0.001585288522511092,19.0,1.0,0.0,2,SVM-rbf
V51,0.2722891566265058,0.000993756046082138,274.0,1.0,12.0,2,SVM-rbf
V52,0.22530120481927723,0.0014822447685478766,152.0,1.0,5.0,2,SVM-rbf
V53,-0.026506024096385444,-0.002038924930491188,13.0,1.0,0.0,2,SVM-rbf
V54,-0.020481927710843395,-0.0018619934282584905,11.0,1.0,0.0,2,SVM-rbf
V55,0.016867469879518177,0.00025175328178385337,67.0,1.0,0.0,2,SVM-rbf
V56,-0.01566265060240965,-0.000870147255689425,18.0,1.0,0.0,2,SVM-rbf
V57,-0.01807228915662662,-0.006024096385542206,3.0,1.0,0.0,2,SVM-rbf
V58,-0.022891566265060392,-0.00046717482173592637,49.0,1.0,0.0,2,SVM-rbf
V59,7.895180722891567,0.011559561819753393,683.0,0.0,154.0,2,SVM-rbf
V6,-0.002409638554216942,-6.341154090044583e-05,38.0,1.0,0.0,2,SVM-rbf
V60,0.04096385542168671,0.0009753298909925406,42.0,1.0,1.0,2,SVM-rbf
V7,-0.008433734939759102,-0.0004016064257028144,21.0,1.0,0.0,2,SVM-rbf
V8,0.09999999999999981,0.0011494252873563197,87.0,1.0,3.0,2,SVM-rbf
V9,13.731325301204823,0.014860741667970587,924.0,0.0,183.0,2,SVM-rbf
V1,-0.04337349397590334,-0.0006286013619696137,69.0,1.0,0.0,3,SVM-rbf
V10,0.16746987951807218,0.0015224534501642926,110.0,1.0,2.0,3,SVM-rbf
V11,0.904819277108434,0.003708275725854238,244.0,1.0,14.0,3,SVM-rbf
V12,16.426506024096387,0.017606115781453793,933.0,0.0,210.0,3,SVM-rbf
V13,0.21566265060240947,0.001057169855894164,204.0,1.0,6.0,3,SVM-rbf
V14,-0.01204819277108432,-0.0007087172218284895,17.0,1.0,0.0,3,SVM-rbf
V15,0.1915662650602407,0.0015963855421686724,120.0,1.0,5.0,3,SVM-rbf
V16,,,,,,3,SVM-rbf
V17,,,,,,3,SVM-rbf
V18,,,,,,3,SVM-rbf
V19,-0.01686746987951815,-0.00035140562248996143,48.0,1.0,0.0,3,SVM-rbf
V2,-0.010843373493975905,-0.0018072289156626509,6.0,1.0,0.0,3,SVM-rbf
V20,0.10722891566265066,0.0010941726088025579,98.0,1.0,5.0,3,SVM-rbf
V21,8.15542168674699,0.009708835341365464,840.0,0.0,182.0,3,SVM-rbf
V22,0.17228915662650598,0.002153614457831325,80.0,1.0,6.0,3,SVM-rbf
V23,0.04337349397590359,0.0028915662650602397,15.0,1.0,0.0,3,SVM-rbf
V24,0.0662650602409639,0.001743817374762208,38.0,1.0,2.0,3,SVM-rbf
V25,0.049397590361445864,0.0017033651848774435,29.0,1.0,1.0,3,SVM-rbf
V26,0.3216867469879519,0.001546570898980538,208.0,1.0,11.0,3,SVM-rbf
V27,3.256626506024102,0.003872326404309277,841.0,0.0,105.0,3,SVM-rbf
V28,0.8554216867469884,0.002251109701965759,380.0,1.0,24.0,3,SVM-rbf
V29,0.021686746987951755,0.0004928806133625399,44.0,1.0,1.0,3,SVM-rbf
V3,0.02048192771084348,0.00014423892754115126,142.0,1.0,1.0,3,SVM-rbf
V30,-0.02048192771084334,-0.0025602409638554174,8.0,1.0,0.0,3,SVM-rbf
V31,0.13614457831325327,0.001389230390951564,98.0,1.0,5.0,3,SVM-rbf
V32,0.045783132530120535,0.0003722205896757767,123.0,1.0,3.0,3,SVM-rbf
V33,-0.020481927710843367,-0.002925989672977624,7.0,1.0,0.0,3,SVM-rbf
V34,0.004819277108433634,6.512536633018424e-05,74.0,1.0,0.0,3,SVM-rbf
V35,0.24457831325301202,0.002495697074010327,98.0,1.0,6.0,3,SVM-rbf
V36,0.09518072289156632,0.0014643188137164048,65.0,1.0,2.0,3,SVM-rbf
V37,0.3084337349397588,0.0014617712556386673,211.0,1.0,11.0,3,SVM-rbf
V38,-0.025301204819277112,-0.0028112449799196793,9.0,1.0,0.0,3,SVM-rbf
V39,-0.013253012048192792,-0.001893287435456113,7.0,1.0,0.0,3,SVM-rbf
V4,-0.010843373493975933,-0.0001837859914233209,59.0,1.0,1.0,3,SVM-rbf
V40,-0.0072289156626507145,-0.00017211703958692177,42.0,1.0,0.0,3,SVM-rbf
V41,0.015662650602409567,0.00036424768842812944,43.0,1.0,3.0,3,SVM-rbf
V42,-0.012048192771084376,-0.00048192771084337504,25.0,1.0,0.0,3,SVM-rbf
