feature,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars,Hostility_removed_count,N1_removed_count,kDN_removed_count,fold,model
f0,0.04249999999999993,0.01825595238095229,0.05250000000000005,0.0004999999999999991,0.00021477591036414459,0.00061764705882353,85.0,1.0,1.0,1.0,1,SVM-rbf
f1,-0.015000000000000013,-0.033107142857142946,0.03799999999999998,-0.00020270270270270288,-0.0004473938223938236,0.0005135135135135132,74.0,1.0,1.0,1.0,1,SVM-rbf
f10,0.020000000000000018,0.017770833333333458,0.016000000000000014,0.0003030303030303033,0.0002692550505050524,0.00024242424242424264,66.0,1.0,1.0,1.0,1,SVM-rbf
f100,-0.03999999999999998,0.0019583333333333397,-0.008500000000000008,-0.0003539823008849556,1.7330383480826014e-05,-7.522123893805316e-05,113.0,1.0,1.0,1.0,1,SVM-rbf
f101,-0.044999999999999984,-0.005777777777777715,-0.00599999999999995,-0.0017307692307692302,-0.00022222222222221982,-0.00023076923076922884,26.0,1.0,1.0,1.0,1,SVM-rbf
f102,-0.010000000000000009,-0.009304112554112565,-0.015499999999999958,-0.00016393442622950833,-0.00015252643531332073,-0.000254098360655737,61.0,1.0,1.0,1.0,1,SVM-rbf
f103,-0.02999999999999997,-0.03777380952380949,-0.011999999999999955,-0.0003571428571428568,-0.0004496882086167796,-0.00014285714285714233,84.0,1.0,1.0,1.0,1,SVM-rbf
f104,0.019999999999999962,-0.02421130952380951,-0.013999999999999957,0.0005882352941176459,-0.0007120973389355738,-0.00041176470588235166,34.0,1.0,1.0,1.0,1,SVM-rbf
f105,-0.007500000000000007,-0.034994318181818196,-0.0030000000000000027,-9.036144578313261e-05,-0.00042161829134720717,-3.6144578313253044e-05,83.0,1.0,1.0,1.0,1,SVM-rbf
f106,-0.007500000000000007,-0.02995833333333331,0.03099999999999975,-6.578947368421058e-05,-0.00026279239766081853,0.0002719298245614013,114.0,1.0,1.0,1.0,1,SVM-rbf
f107,-0.03500000000000003,-0.03720238095238093,0.02400000000000002,-0.00021341463414634165,-0.00022684378629500568,0.00014634146341463428,164.0,1.0,1.0,1.0,1,SVM-rbf
f108,-0.0025000000000000022,0.01663591269841269,-0.0010000000000000564,-2.9411764705882377e-05,0.0001957166199813258,-1.1764705882353604e-05,85.0,1.0,1.0,1.0,1,SVM-rbf
f109,0.0050000000000000044,-0.039910714285714244,-0.01050000000000001,4.2735042735042776e-05,-0.00034111721611721575,-8.974358974358982e-05,117.0,1.0,1.0,1.0,1,SVM-rbf
f11,-0.015000000000000013,-0.026541666666666686,-0.0004999999999999449,-0.00019736842105263176,-0.0003492324561403511,-6.578947368420328e-06,76.0,1.0,1.0,1.0,1,SVM-rbf
f110,-0.017500000000000016,-0.009234668109668165,-0.008499999999999897,-0.0002364864864864867,-0.00012479281229281304,-0.00011486486486486347,74.0,1.0,1.0,1.0,1,SVM-rbf
f111,-0.015000000000000013,-0.032838293650793604,-0.000500000000000056,-0.0002083333333333335,-0.00045608741181657784,-6.9444444444452215e-06,72.0,1.0,1.0,1.0,1,SVM-rbf
f112,-0.07249999999999995,-0.0039001623376623273,-0.02100000000000002,-0.0008529411764705877,-4.588426279602738e-05,-0.00024705882352941196,85.0,1.0,1.0,1.0,1,SVM-rbf
