dataset,fold,measure,k,n_available_features,model,acc_test,gps_test
sonar,1,kDN_importances_norm,1,57,SVM-rbf,0.6904761904761905,0.6839899413243924
sonar,1,kDN_importances_norm,1,57,KNN,0.6190476190476191,0.6190476190476191
sonar,1,kDN_importances_norm,2,57,SVM-rbf,0.6428571428571429,0.6153846153846155
sonar,1,kDN_importances_norm,2,57,KNN,0.6190476190476191,0.6060606060606061
sonar,1,kDN_importances_norm,3,57,SVM-rbf,0.6428571428571429,0.6153846153846155
sonar,1,kDN_importances_norm,3,57,KNN,0.7142857142857143,0.7058823529411765
sonar,1,kDN_importances_norm,4,57,SVM-rbf,0.6666666666666666,0.6356877323420075
sonar,1,kDN_importances_norm,4,57,KNN,0.6190476190476191,0.5806451612903226
sonar,1,kDN_importances_norm,5,57,SVM-rbf,0.6904761904761905,0.6684256816182939
sonar,1,kDN_importances_norm,5,57,KNN,0.6666666666666666,0.6474820143884893
sonar,1,kDN_importances_norm,6,57,SVM-rbf,0.6666666666666666,0.6356877323420075
sonar,1,kDN_importances_norm,6,57,KNN,0.7619047619047619,0.75
sonar,1,kDN_importances_norm,7,57,SVM-rbf,0.6666666666666666,0.6474820143884893
sonar,1,kDN_importances_norm,7,57,KNN,0.7142857142857143,0.6989966555183946
sonar,1,kDN_importances_norm,8,57,SVM-rbf,0.6666666666666666,0.6474820143884893
sonar,1,kDN_importances_norm,8,57,KNN,0.6666666666666666,0.6561403508771929
sonar,1,kDN_importances_norm,9,57,SVM-rbf,0.6904761904761905,0.6684256816182939
sonar,1,kDN_importances_norm,9,57,KNN,0.6428571428571429,0.6153846153846155
sonar,1,kDN_importances_norm,10,57,SVM-rbf,0.6904761904761905,0.6684256816182939
sonar,1,kDN_importances_norm,10,57,KNN,0.6666666666666666,0.6561403508771929
sonar,1,kDN_importances_norm,11,57,SVM-rbf,0.6904761904761905,0.6684256816182939
sonar,1,kDN_importances_norm,11,57,KNN,0.7380952380952381,0.7207207207207207
sonar,1,kDN_importances_norm,12,57,SVM-rbf,0.7857142857142857,0.7724137931034484
sonar,1,kDN_importances_norm,12,57,KNN,0.7619047619047619,0.7427652733118971
sonar,1,kDN_importances_norm,13,57,SVM-rbf,0.7857142857142857,0.7724137931034484
sonar,1,kDN_importances_norm,13,57,KNN,0.7380952380952381,0.7207207207207207
sonar,1,kDN_importances_norm,14,57,SVM-rbf,0.7619047619047619,0.75
sonar,1,kDN_importances_norm,14,57,KNN,0.7619047619047619,0.75
sonar,1,kDN_importances_norm,15,57,SVM-rbf,0.7619047619047619,0.75
sonar,1,kDN_importances_norm,15,57,KNN,0.7619047619047619,0.75
sonar,1,kDN_importances_norm,16,57,SVM-rbf,0.7142857142857143,0.689655172413793
