model,measure,acc_train_mean,acc_train_std,acc_train_max,gps_train_mean,gps_train_std,gps_train_max,acc_test_mean,acc_test_std,acc_test_max,gps_test_mean,gps_test_std,gps_test_max,complexity_kDN_mean,complexity_kDN_std
DecisionTree,kDN_importances_norm,0.9900925925925925,0.0055388122180180304,1.0,0.9896956289765095,0.005760508254997108,1.0,0.9704761904761904,0.02696894998027454,1.0,0.9696138346988338,0.027747409578446732,1.0,0.0321604938271605,0.017427206147241754
KNN,kDN_importances_norm,0.9876234567901234,6.901444374996516e-05,0.9876543209876543,0.9871249348891059,4.828715873899793e-05,0.9871465295629821,0.9804761904761904,0.026747326990445002,1.0,0.9798564222999119,0.027589339108901635,1.0,0.0321604938271605,0.017427206147241754
LogReg,kDN_importances_norm,0.9876234567901234,6.901444374996516e-05,0.9876543209876543,0.9871249348891059,4.828715873899793e-05,0.9871465295629821,0.9804761904761904,0.026747326990445002,1.0,0.9798564222999119,0.027589339108901635,1.0,0.0321604938271605,0.017427206147241754
NaiveBayes,kDN_importances_norm,0.9283641975308642,0.08523887308877504,0.9876543209876543,0.9278253261268554,0.08501275998338093,0.9871465295629821,0.9204761904761904,0.10385975193770852,1.0,0.9177095635985003,0.10470983575828864,1.0,0.0321604938271605,0.017427206147241754
RandomForest,kDN_importances_norm,0.9900925925925925,0.0055388122180180304,1.0,0.9896956289765095,0.005760508254997108,1.0,0.9604761904761905,0.04170406484916438,1.0,0.9576342000776897,0.045948011762536795,1.0,0.0321604938271605,0.017427206147241754
SVM-linear,kDN_importances_norm,0.9876234567901234,6.901444374996516e-05,0.9876543209876543,0.9871249348891059,4.828715873899793e-05,0.9871465295629821,0.9804761904761904,0.026747326990445002,1.0,0.9798564222999119,0.027589339108901635,1.0,0.0321604938271605,0.017427206147241754
SVM-rbf,kDN_importances_norm,0.9876234567901234,6.901444374996516e-05,0.9876543209876543,0.9871249348891059,4.828715873899793e-05,0.9871465295629821,0.9604761904761905,0.04170406484916438,1.0,0.9576342000776897,0.045948011762536795,1.0,0.0321604938271605,0.017427206147241754
XGBoost,kDN_importances_norm,0.9703086419753086,0.0067068405456792825,0.9753086419753086,0.9692005695837811,0.006784019888724132,0.9744088111435051,0.9704761904761904,0.02696894998027454,1.0,0.9696138346988338,0.027747409578446732,1.0,0.0321604938271605,0.017427206147241754
