feature,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars,Hostility_removed_count,N1_removed_count,kDN_removed_count,fold,model
f0,-0.02250000000000002,-0.019023809523809443,-0.0010000000000000009,-0.000775862068965518,-0.000655993431855498,-3.4482758620689684e-05,29.0,1.0,1.0,1.0,1,SVM-rbf
f1,-0.03750000000000003,0.030300595238095307,0.006999999999999951,-0.0005136986301369868,0.000415076647097196,9.589041095890343e-05,73.0,1.0,1.0,1.0,1,SVM-rbf
f10,-0.08249999999999996,-0.00491666666666668,-0.0025000000000000022,-0.0021153846153846145,-0.0001260683760683764,-6.410256410256416e-05,39.0,1.0,1.0,1.0,1,SVM-rbf
f100,-0.044999999999999984,-0.006041666666666612,-0.01050000000000001,-0.0011249999999999997,-0.0001510416666666653,-0.00026250000000000025,40.0,1.0,1.0,1.0,1,SVM-rbf
f101,0.12749999999999995,-0.015529761904761907,-0.02100000000000002,0.002451923076923076,-0.00029864926739926745,-0.0004038461538461542,52.0,1.0,1.0,1.0,1,SVM-rbf
f102,0.007500000000000007,0.06391666666666673,0.0019999999999998908,9.036144578313261e-05,0.0007700803212851413,2.409638554216736e-05,83.0,1.0,1.0,1.0,1,SVM-rbf
f103,-0.0050000000000000044,-0.01266666666666666,-0.022999999999999965,-0.0001020408163265307,-0.00025850340136054407,-0.0004693877551020401,49.0,1.0,1.0,1.0,1,SVM-rbf
f104,0.13999999999999996,0.041000000000000036,0.04449999999999976,0.0018918918918918912,0.0005540540540540545,0.0006013513513513482,74.0,0.0,1.0,1.0,1,SVM-rbf
f105,-0.05249999999999999,-0.009375000000000022,-0.0030000000000000027,-0.0011666666666666665,-0.00020833333333333383,-6.666666666666672e-05,45.0,1.0,1.0,1.0,1,SVM-rbf
f106,-5.551115123125783e-17,-0.006613095238095279,0.0045000000000000595,-8.163404592832033e-19,-9.725140056022469e-05,6.617647058823617e-05,68.0,1.0,1.0,1.0,1,SVM-rbf
f107,-0.0025000000000000022,-0.05408333333333326,-0.020500000000000018,-8.620689655172421e-05,-0.0018649425287356298,-0.0007068965517241385,29.0,1.0,1.0,1.0,1,SVM-rbf
f108,0.07749999999999996,-0.021148809523809542,0.016000000000000125,0.0013135593220338975,-0.0003584543987086363,0.0002711864406779682,59.0,1.0,1.0,1.0,1,SVM-rbf
f109,-0.0050000000000000044,-0.023863095238095322,-0.004500000000000004,-0.00013513513513513525,-0.0006449485199485222,-0.00012162162162162172,37.0,1.0,1.0,1.0,1,SVM-rbf
f11,0.09000000000000002,0.040458333333333374,0.009499999999999897,0.0019565217391304354,0.0008795289855072473,0.00020652173913043254,46.0,1.0,1.0,1.0,1,SVM-rbf
f110,0.13750000000000007,0.04563690476190496,-0.027999999999999914,0.0015109890109890117,0.0005015044479330216,-0.0003076923076923067,91.0,0.0,1.0,1.0,1,SVM-rbf
f111,0.06999999999999995,0.04586309523809523,-0.0044999999999999485,0.0015555555555555544,0.001019179894179894,-9.999999999999885e-05,45.0,1.0,1.0,1.0,1,SVM-rbf
f112,,,,,,,,,,,1,SVM-rbf
f113,,,,,,,,,,,1,SVM-rbf
f114,,,,,,,,,,,1,SVM-rbf
f115,,,,,,,,,,,1,SVM-rbf
f116,-0.014999999999999958,-0.00954166666666667,0.006999999999999895,-0.00044117647058823406,-0.0002806372549019609,0.0002058823529411734,34.0,1.0,1.0,1.0,1,SVM-rbf
f117,,,,,,,,,,,1,SVM-rbf
f118,-0.05499999999999999,0.009601190476190624,-0.003000000000000058,-0.0015277777777777776,0.00026669973544973954,-8.333333333333494e-05,36.0,1.0,1.0,1.0,1,SVM-rbf
f119,,,,,,,,,,,1,SVM-rbf
f12,-0.007500000000000007,-0.011904761904761918,0.06600000000000006,-0.00012931034482758632,-0.00020525451559934342,0.0011379310344827595,58.0,1.0,1.0,0.0,1,SVM-rbf
f120,-0.020000000000000018,-0.06104166666666666,0.024499999999999966,-0.00031746031746031773,-0.0009689153439153438,0.0003888888888888884,63.0,1.0,1.0,1.0,1,SVM-rbf
f121,,,,,,,,,,,1,SVM-rbf
f122,,,,,,,,,,,1,SVM-rbf
f123,,,,,,,,,,,1,SVM-rbf
f124,-0.030000000000000027,-0.012577380952380923,0.0030000000000000027,-0.0005357142857142862,-0.00022459608843537364,5.3571428571428616e-05,56.0,1.0,1.0,1.0,1,SVM-rbf
f125,-0.044999999999999984,-0.005041666666666611,-0.01150000000000001,-0.0026470588235294108,-0.0002965686274509771,-0.0006764705882352948,17.0,1.0,1.0,1.0,1,SVM-rbf
f126,0.15999999999999992,0.08237797619047604,-0.006500000000000006,0.0034042553191489344,0.001752722897669703,-0.00013829787234042565,47.0,1.0,1.0,1.0,1,SVM-rbf
f127,,,,,,,,,,,1,SVM-rbf
f128,,,,,,,,,,,1,SVM-rbf
f129,-0.024999999999999967,-0.007238095238095321,0.03750000000000003,-0.0014705882352941157,-0.0004257703081232542,0.0022058823529411786,17.0,1.0,1.0,1.0,1,SVM-rbf
f13,-0.017500000000000016,-0.01653571428571432,0.018500000000000016,-0.0004375000000000004,-0.000413392857142858,0.0004625000000000004,40.0,1.0,1.0,1.0,1,SVM-rbf
f130,,,,,,,,,,,1,SVM-rbf
f131,-0.012500000000000011,0.04987499999999989,-0.008000000000000007,-0.0005434782608695657,0.0021684782608695605,-0.00034782608695652203,23.0,1.0,1.0,1.0,1,SVM-rbf
f132,,,,,,,,,,,1,SVM-rbf
f133,,,,,,,,,,,1,SVM-rbf
f134,0.04249999999999998,-0.001374999999999904,-0.0005000000000000004,0.00045698924731182774,-1.4784946236558108e-05,-5.37634408602151e-06,93.0,1.0,1.0,1.0,1,SVM-rbf
f135,-0.03999999999999998,-0.012416666666666576,0.013999999999999846,-0.0010256410256410252,-0.00031837606837606603,0.00035897435897435504,39.0,1.0,1.0,1.0,1,SVM-rbf
f136,-0.05499999999999999,-0.007624999999999937,-0.000500000000000056,-0.0017741935483870967,-0.00024596774193548184,-1.6129032258066323e-05,31.0,1.0,1.0,1.0,1,SVM-rbf
f137,,,,,,,,,,,1,SVM-rbf
f138,-0.02749999999999997,0.031500000000000083,0.0050000000000000044,-0.0004741379310344822,0.0005431034482758636,8.620689655172421e-05,58.0,1.0,0.0,1.0,1,SVM-rbf
f139,,,,,,,,,,,1,SVM-rbf
f14,0.05999999999999989,-0.04854166666666665,-0.0010000000000000564,0.0008571428571428555,-0.0006934523809523808,-1.4285714285715092e-05,70.0,1.0,1.0,1.0,1,SVM-rbf
