model,measure,acc_train_mean,acc_train_std,acc_train_max,gps_train_mean,gps_train_std,gps_train_max,acc_test_mean,acc_test_std,acc_test_max,gps_test_mean,gps_test_std,gps_test_max,complexity_kDN_mean,complexity_kDN_std
KNN,kDN_importances_norm,0.7505,0.019477551180782416,0.7675,0.6599756424703805,0.03846521629282546,0.6902522375915379,0.632,0.06610597552415363,0.72,0.4155060188158746,0.1246906566091116,0.571063829787234,0.41450000000000004,0.008638576271585494
SVM-rbf,kDN_importances_norm,0.8585,0.01409787217987167,0.875,0.8164162237214239,0.022380947639020342,0.8424842484248425,0.6599999999999999,0.017320508075688756,0.69,0.23252868228250914,0.09287778971197817,0.3271469015413652,0.41450000000000004,0.008638576271585494
