model,measure,acc_train_mean,acc_train_std,acc_train_max,gps_train_mean,gps_train_std,gps_train_max,acc_test_mean,acc_test_std,acc_test_max,gps_test_mean,gps_test_std,gps_test_max,complexity_kDN_mean,complexity_kDN_std
KNN,kDN_importances_norm,0.9265277906561119,0.0062990775529403,0.9361065796628603,0.9221466880896532,0.0071205151036958835,0.9328383550968866,0.9001542319155982,0.005782295408876652,0.9042437431991295,0.8937781339842552,0.006771158412853314,0.8987819732034106,0.13216351427232434,0.01743536864529803
SVM-rbf,kDN_importances_norm,0.9164671325937004,0.004682708383790721,0.9203371397498641,0.9109144494370712,0.005335716510347139,0.915611209409158,0.9040677484978946,0.006983003264727543,0.9108695652173913,0.8975832598522947,0.007841047211926837,0.9046186836751525,0.13216351427232434,0.01743536864529803
