model,measure,acc_train_mean,acc_train_std,acc_train_max,gps_train_mean,gps_train_std,gps_train_max,acc_test_mean,acc_test_std,acc_test_max,gps_test_mean,gps_test_std,gps_test_max,complexity_kDN_mean,complexity_kDN_std
KNN,kDN_importances_norm,0.758,0.0064710895527723775,0.765,0.6593248793968225,0.030642790650166236,0.6896771723873931,0.6,0.031622776601683715,0.63,0.3975700841306925,0.08939952685438186,0.4953453128382766,0.42400000000000004,0.01608182203607539
SVM-rbf,kDN_importances_norm,0.7795,0.00958514475634038,0.7875,0.6193970741589113,0.03048249614175177,0.6489491418756802,0.672,0.021679483388678797,0.7,0.15933595960662542,0.05214033471859847,0.20574886535552192,0.42400000000000004,0.01608182203607539
