model,measure,acc_train_mean,acc_train_std,acc_train_max,gps_train_mean,gps_train_std,gps_train_max,acc_test_mean,acc_test_std,acc_test_max,gps_test_mean,gps_test_std,gps_test_max,complexity_kDN_mean,complexity_kDN_std
KNN,kDN_importances_norm,0.765,0.00918558653543692,0.7775,0.6901237923488461,0.022985080916606976,0.7207498057890012,0.6140000000000001,0.04615192303685731,0.67,0.3915394781978754,0.23250084399123971,0.5852560495216658,0.4157,0.017760912138738788
SVM-rbf,kDN_importances_norm,0.8400000000000001,0.013693063937629167,0.855,0.7743536905070418,0.026978575326539307,0.8030188679245283,0.67,0.03674234614174768,0.73,0.2534340214289959,0.1685240204250878,0.5134534682794372,0.4157,0.017760912138738788
