dataset,fold,measure,k,n_available_features,model,acc_test,gps_test
ArtificialDataset18c,1,kDN_importances_norm,1,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,kDN_importances_norm,1,42,KNN,0.58,0.2618181818181818
ArtificialDataset18c,1,kDN_importances_norm,2,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,kDN_importances_norm,2,42,KNN,0.59,0.4266413842142688
ArtificialDataset18c,1,kDN_importances_norm,3,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,kDN_importances_norm,3,42,KNN,0.5,0.22744128553770088
ArtificialDataset18c,1,kDN_importances_norm,4,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,kDN_importances_norm,4,42,KNN,0.56,0.35766423357664234
ArtificialDataset18c,1,kDN_importances_norm,5,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,kDN_importances_norm,5,42,KNN,0.58,0.4200000000000001
ArtificialDataset18c,1,kDN_importances_norm,6,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,kDN_importances_norm,6,42,KNN,0.6,0.4545454545454546
ArtificialDataset18c,1,kDN_importances_norm,7,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,kDN_importances_norm,7,42,KNN,0.65,0.5430809399477806
ArtificialDataset18c,1,kDN_importances_norm,8,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,kDN_importances_norm,8,42,KNN,0.57,0.41349605168700654
ArtificialDataset18c,1,kDN_importances_norm,9,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,kDN_importances_norm,9,42,KNN,0.63,0.4953453128382766
ArtificialDataset18c,1,kDN_importances_norm,10,42,SVM-rbf,0.68,0.10965630114566284
ArtificialDataset18c,1,kDN_importances_norm,10,42,KNN,0.61,0.49714648065948003
ArtificialDataset18c,1,kDN_importances_norm,11,42,SVM-rbf,0.67,0.10666666666666666
ArtificialDataset18c,1,kDN_importances_norm,11,42,KNN,0.6,0.40944881889763785
ArtificialDataset18c,1,kDN_importances_norm,12,42,SVM-rbf,0.71,0.43105830339872897
ArtificialDataset18c,1,kDN_importances_norm,12,42,KNN,0.66,0.4776536312849162
ArtificialDataset18c,1,kDN_importances_norm,13,42,SVM-rbf,0.68,0.32
ArtificialDataset18c,1,kDN_importances_norm,13,42,KNN,0.62,0.46889089269612266
ArtificialDataset18c,1,kDN_importances_norm,14,42,SVM-rbf,0.71,0.43105830339872897
ArtificialDataset18c,1,kDN_importances_norm,14,42,KNN,0.69,0.6132706563008496
ArtificialDataset18c,1,kDN_importances_norm,15,42,SVM-rbf,0.7,0.33460076045627374
ArtificialDataset18c,1,kDN_importances_norm,15,42,KNN,0.6,0.38208032955715754
ArtificialDataset18c,1,kDN_importances_norm,16,42,SVM-rbf,0.71,0.3906481207457828
ArtificialDataset18c,1,kDN_importances_norm,16,42,KNN,0.62,0.3952772073921971
ArtificialDataset18c,1,kDN_importances_norm,17,42,SVM-rbf,0.7,0.33460076045627374
ArtificialDataset18c,1,kDN_importances_norm,17,42,KNN,0.64,0.5030198446937015
ArtificialDataset18c,1,kDN_importances_norm,18,42,SVM-rbf,0.71,0.3906481207457828
ArtificialDataset18c,1,kDN_importances_norm,18,42,KNN,0.64,0.5030198446937015
ArtificialDataset18c,1,kDN_importances_norm,19,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,kDN_importances_norm,19,42,KNN,0.62,0.46889089269612266
ArtificialDataset18c,1,kDN_importances_norm,20,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,kDN_importances_norm,20,42,KNN,0.55,0.40087145969498916
