dataset,fold,measure,k,n_available_features,model,acc_test,gps_test
ArtificialDataset7,1,kDN_importances_norm,1,40,SVM-rbf,0.675,0.6722689075630252
ArtificialDataset7,1,kDN_importances_norm,1,40,KNN,0.64,0.639943741209564
ArtificialDataset7,1,kDN_importances_norm,2,40,SVM-rbf,0.77,0.7685269899359561
ArtificialDataset7,1,kDN_importances_norm,2,40,KNN,0.75,0.7498665955176094
ArtificialDataset7,1,kDN_importances_norm,3,40,SVM-rbf,0.86,0.8599348534201954
ArtificialDataset7,1,kDN_importances_norm,3,40,KNN,0.835,0.8349950597323273
ArtificialDataset7,1,kDN_importances_norm,4,40,SVM-rbf,0.9,0.8999888876541838
ArtificialDataset7,1,kDN_importances_norm,4,40,KNN,0.875,0.8749106504646176
ArtificialDataset7,1,kDN_importances_norm,5,40,SVM-rbf,0.93,0.9299924723088504
ArtificialDataset7,1,kDN_importances_norm,5,40,KNN,0.915,0.9149419002050583
ArtificialDataset7,1,kDN_importances_norm,6,40,SVM-rbf,0.96,0.9599958328992603
ArtificialDataset7,1,kDN_importances_norm,6,40,KNN,0.96,0.9599624648107601
ArtificialDataset7,1,kDN_importances_norm,7,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,7,40,KNN,0.98,0.9799918334013884
ArtificialDataset7,1,kDN_importances_norm,8,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,8,40,KNN,0.99,0.9899989897969492
ArtificialDataset7,1,kDN_importances_norm,9,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,9,40,KNN,0.975,0.9749942294375625
ArtificialDataset7,1,kDN_importances_norm,10,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,10,40,KNN,0.985,0.9849965728212028
ArtificialDataset7,1,kDN_importances_norm,11,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,11,40,KNN,0.98,0.9799979589754056
ArtificialDataset7,1,kDN_importances_norm,12,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,12,40,KNN,0.99,0.9899989897969492
ArtificialDataset7,1,kDN_importances_norm,13,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,13,40,KNN,0.99,0.99
ArtificialDataset7,1,kDN_importances_norm,14,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,14,40,KNN,0.99,0.99
ArtificialDataset7,1,kDN_importances_norm,15,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,15,40,KNN,0.99,0.9899989897969492
ArtificialDataset7,1,kDN_importances_norm,16,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,16,40,KNN,0.985,0.9849965728212028
ArtificialDataset7,1,kDN_importances_norm,17,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,17,40,KNN,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,18,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,18,40,KNN,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,19,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,19,40,KNN,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,20,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,20,40,KNN,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,21,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,21,40,KNN,0.99,0.9899989897969492
ArtificialDataset7,1,kDN_importances_norm,22,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,22,40,KNN,0.99,0.9899989897969492
ArtificialDataset7,1,kDN_importances_norm,23,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,23,40,KNN,0.985,0.984999619279677
ArtificialDataset7,1,kDN_importances_norm,24,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,24,40,KNN,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,25,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,25,40,KNN,0.99,0.99
ArtificialDataset7,1,kDN_importances_norm,26,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,26,40,KNN,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,27,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,27,40,KNN,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,28,40,SVM-rbf,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,28,40,KNN,1.0,1.0
ArtificialDataset7,1,kDN_importances_norm,29,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,29,40,KNN,0.99,0.9899989897969492
ArtificialDataset7,1,kDN_importances_norm,30,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,30,40,KNN,0.99,0.9899989897969492
ArtificialDataset7,1,kDN_importances_norm,31,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,31,40,KNN,0.99,0.9899989897969492
ArtificialDataset7,1,kDN_importances_norm,32,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,32,40,KNN,0.99,0.9899989897969492
ArtificialDataset7,1,kDN_importances_norm,33,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,33,40,KNN,0.985,0.9849965728212028
ArtificialDataset7,1,kDN_importances_norm,34,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,34,40,KNN,0.985,0.9849965728212028
ArtificialDataset7,1,kDN_importances_norm,35,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,35,40,KNN,0.985,0.9849965728212028
ArtificialDataset7,1,kDN_importances_norm,36,40,SVM-rbf,0.995,0.9949998743687027
ArtificialDataset7,1,kDN_importances_norm,36,40,KNN,0.985,0.9849965728212028
ArtificialDataset7,1,kDN_importances_norm,37,40,SVM-rbf,0.99,0.9899989897969492
ArtificialDataset7,1,kDN_importances_norm,37,40,KNN,0.99,0.9899989897969492
ArtificialDataset7,1,kDN_importances_norm,38,40,SVM-rbf,0.985,0.984999619279677
ArtificialDataset7,1,kDN_importances_norm,38,40,KNN,0.985,0.9849965728212028
ArtificialDataset7,1,kDN_importances_norm,39,40,SVM-rbf,0.985,0.984999619279677
ArtificialDataset7,1,kDN_importances_norm,39,40,KNN,0.97,0.9699969068976182
ArtificialDataset7,1,kDN_importances_norm,40,40,SVM-rbf,0.985,0.984999619279677
