feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
Capital_run_length_average,0.11542017949415276,0.002509134336829408,46.0,1.0,1.0,1,SVM-rbf
Capital_run_length_longest,-0.03339679086211589,-0.001518035948277995,22.0,1.0,0.0,1,SVM-rbf
Capital_run_length_total,0.01740549360892027,0.0014504578007433558,12.0,1.0,0.0,1,SVM-rbf
Char_freq1,-0.022355180853956963,-0.0027943976067446204,8.0,1.0,0.0,1,SVM-rbf
Char_freq2,-0.02904541745988576,-0.0029045417459885757,10.0,1.0,0.0,1,SVM-rbf
Char_freq3,-0.2225183573565407,-0.007178011527630345,31.0,1.0,0.0,1,SVM-rbf
Char_freq4,0.3819961925482729,0.00812757856485687,47.0,1.0,6.0,1,SVM-rbf
Char_freq5,15.503780255643187,0.019825805953507913,782.0,0.0,197.0,1,SVM-rbf
Char_freq6,0.11607288550448744,0.0010181832061797143,114.0,1.0,2.0,1,SVM-rbf
Word_freq_000,0.3079684525428337,0.006552520266868802,47.0,1.0,5.0,1,SVM-rbf
Word_freq_1999,-0.037367419091650755,-0.007473483818330151,5.0,1.0,0.0,1,SVM-rbf
Word_freq_3d,-0.010497688332880117,-0.0013122110416100147,8.0,1.0,0.0,1,SVM-rbf
Word_freq_415,,,,,,1,SVM-rbf
Word_freq_650,-0.09219472395974981,-0.04609736197987491,2.0,1.0,0.0,1,SVM-rbf
Word_freq_85,0.08349197715528975,0.001464771529040171,57.0,1.0,3.0,1,SVM-rbf
Word_freq_857,-0.012673375033995127,-0.0007920859396246954,16.0,1.0,0.0,1,SVM-rbf
Word_freq_address,3.0801740549360876,0.004702555809062729,655.0,0.0,70.0,1,SVM-rbf
Word_freq_addresses,-0.06026652162088661,-0.006026652162088661,10.0,1.0,0.0,1,SVM-rbf
Word_freq_all,-0.06162632580908342,-0.004740486600698725,13.0,1.0,0.0,1,SVM-rbf
Word_freq_business,4.6145227087299485,0.006939131892826991,665.0,0.0,90.0,1,SVM-rbf
Word_freq_conference,0.29306499864019575,0.010105689608282613,29.0,1.0,1.0,1,SVM-rbf
Word_freq_credit,2.904922491161273,0.004475997675132932,649.0,0.0,79.0,1,SVM-rbf
Word_freq_cs,0.13396790862115843,0.001886871952410682,71.0,1.0,2.0,1,SVM-rbf
Word_freq_data,-0.03698667391895569,-0.0007705557066449101,48.0,1.0,0.0,1,SVM-rbf
Word_freq_direct,0.041773184661408835,0.0034810987217840698,12.0,1.0,0.0,1,SVM-rbf
Word_freq_edu,0.03241773184661409,0.0015437015165054328,21.0,1.0,0.0,1,SVM-rbf
Word_freq_email,-0.04514549904813708,-0.0021497856689589086,21.0,1.0,0.0,1,SVM-rbf
Word_freq_font,0.24530867555072067,0.003504409650724581,70.0,1.0,4.0,1,SVM-rbf
Word_freq_free,-0.002012510198531464,-8.750044341441148e-05,23.0,1.0,1.0,1,SVM-rbf
Word_freq_george,0.0013598041881969225,3.2376290195164824e-05,42.0,1.0,2.0,1,SVM-rbf
Word_freq_hp,0.051618166983954106,0.0018435059637126466,28.0,1.0,1.0,1,SVM-rbf
Word_freq_hpl,0.03655153657873264,0.0007166967956614243,51.0,1.0,2.0,1,SVM-rbf
Word_freq_internet,-0.020070709817786248,-0.010035354908893124,2.0,1.0,0.0,1,SVM-rbf
Word_freq_lab,-0.010497688332880006,-0.0006561055208050004,16.0,1.0,0.0,1,SVM-rbf
Word_freq_labs,-0.01626325809083498,-0.0013552715075695818,12.0,1.0,0.0,1,SVM-rbf
Word_freq_mail,0.07816154473755774,0.0019540386184389432,40.0,1.0,2.0,1,SVM-rbf
Word_freq_make,-0.008865923307043916,-0.0006332802362174225,14.0,1.0,0.0,1,SVM-rbf
Word_freq_meeting,0.21751427794397613,0.003954805053526839,55.0,1.0,4.0,1,SVM-rbf
Word_freq_money,0.15621430514005982,0.0031880470436746904,49.0,1.0,3.0,1,SVM-rbf
Word_freq_order,0.07266793581724232,0.002691405030268234,27.0,1.0,1.0,1,SVM-rbf
Word_freq_original,0.09910252923579019,0.0021544028094736996,46.0,1.0,1.0,1,SVM-rbf
Word_freq_our,0.01784063094914326,0.0005406251802770685,33.0,1.0,1.0,1,SVM-rbf
Word_freq_over,-0.005602393255371263,-0.0007002991569214079,8.0,1.0,0.0,1,SVM-rbf
Word_freq_parts,-0.09050856676638563,-0.010056507418487293,9.0,1.0,0.0,1,SVM-rbf
Word_freq_people,-0.08610280119662761,-0.0047834889553682,18.0,1.0,0.0,1,SVM-rbf
Word_freq_pm,-0.09670927386456349,-0.00311965399563108,31.0,1.0,0.0,1,SVM-rbf
Word_freq_project,0.6950231166711962,0.0011820121031823065,588.0,0.0,10.0,1,SVM-rbf
Word_freq_re,0.02719608376393806,0.0012361856256335483,22.0,1.0,0.0,1,SVM-rbf
Word_freq_receive,0.022355180853957046,0.0010161445842707748,22.0,1.0,1.0,1,SVM-rbf
Word_freq_remove,0.6234430242045148,0.007793037802556435,80.0,1.0,13.0,1,SVM-rbf
Word_freq_report,-0.020233886320369876,-0.020233886320369876,1.0,1.0,0.0,1,SVM-rbf
