dataset,fold,measure,k,n_available_features,model,acc_test,gps_test
ArtificialDataset20b,1,kDN_importances_norm,1,103,SVM-rbf,0.62,0.0
ArtificialDataset20b,1,kDN_importances_norm,1,103,KNN,0.59,0.30865961703343814
ArtificialDataset20b,1,kDN_importances_norm,2,103,SVM-rbf,0.67,0.0
ArtificialDataset20b,1,kDN_importances_norm,2,103,KNN,0.61,0.2771194165907019
ArtificialDataset20b,1,kDN_importances_norm,3,103,SVM-rbf,0.67,0.25780463242698887
ArtificialDataset20b,1,kDN_importances_norm,3,103,KNN,0.68,0.4687499999999999
ArtificialDataset20b,1,kDN_importances_norm,4,103,SVM-rbf,0.66,0.10383386581469647
ArtificialDataset20b,1,kDN_importances_norm,4,103,KNN,0.59,0.3446220536439989
ArtificialDataset20b,1,kDN_importances_norm,5,103,SVM-rbf,0.66,0.10383386581469647
ArtificialDataset20b,1,kDN_importances_norm,5,103,KNN,0.63,0.33228301346319106
ArtificialDataset20b,1,kDN_importances_norm,6,103,SVM-rbf,0.67,0.25780463242698887
ArtificialDataset20b,1,kDN_importances_norm,6,103,KNN,0.59,0.15860869565217392
ArtificialDataset20b,1,kDN_importances_norm,7,103,SVM-rbf,0.72,0.43999999999999995
ArtificialDataset20b,1,kDN_importances_norm,7,103,KNN,0.67,0.39836734693877557
ArtificialDataset20b,1,kDN_importances_norm,8,103,SVM-rbf,0.71,0.46533367956374966
ArtificialDataset20b,1,kDN_importances_norm,8,103,KNN,0.68,0.32
ArtificialDataset20b,1,kDN_importances_norm,9,103,SVM-rbf,0.72,0.4744525547445256
ArtificialDataset20b,1,kDN_importances_norm,9,103,KNN,0.69,0.4141331142152835
ArtificialDataset20b,1,kDN_importances_norm,10,103,SVM-rbf,0.72,0.4744525547445256
ArtificialDataset20b,1,kDN_importances_norm,10,103,KNN,0.76,0.5694050991501417
ArtificialDataset20b,1,kDN_importances_norm,11,103,SVM-rbf,0.76,0.6105892399658412
ArtificialDataset20b,1,kDN_importances_norm,11,103,KNN,0.79,0.6741308190925162
ArtificialDataset20b,1,kDN_importances_norm,12,103,SVM-rbf,0.79,0.6869220607661822
ArtificialDataset20b,1,kDN_importances_norm,12,103,KNN,0.78,0.6320754716981133
ArtificialDataset20b,1,kDN_importances_norm,13,103,SVM-rbf,0.79,0.6869220607661822
ArtificialDataset20b,1,kDN_importances_norm,13,103,KNN,0.78,0.6486486486486486
ArtificialDataset20b,1,kDN_importances_norm,14,103,SVM-rbf,0.79,0.6869220607661822
ArtificialDataset20b,1,kDN_importances_norm,14,103,KNN,0.76,0.6274509803921569
ArtificialDataset20b,1,kDN_importances_norm,15,103,SVM-rbf,0.77,0.6211764705882353
ArtificialDataset20b,1,kDN_importances_norm,15,103,KNN,0.76,0.6274509803921569
ArtificialDataset20b,1,kDN_importances_norm,16,103,SVM-rbf,0.77,0.6211764705882353
ArtificialDataset20b,1,kDN_importances_norm,16,103,KNN,0.76,0.6274509803921569
ArtificialDataset20b,1,kDN_importances_norm,17,103,SVM-rbf,0.75,0.5810055865921787
ArtificialDataset20b,1,kDN_importances_norm,17,103,KNN,0.74,0.5709188224799286
ArtificialDataset20b,1,kDN_importances_norm,18,103,SVM-rbf,0.78,0.6486486486486486
ArtificialDataset20b,1,kDN_importances_norm,18,103,KNN,0.72,0.5710638297872341
ArtificialDataset20b,1,kDN_importances_norm,19,103,SVM-rbf,0.78,0.6632653061224489
ArtificialDataset20b,1,kDN_importances_norm,19,103,KNN,0.73,0.5389473684210526
ArtificialDataset20b,1,kDN_importances_norm,20,103,SVM-rbf,0.77,0.6379063586178696
ArtificialDataset20b,1,kDN_importances_norm,20,103,KNN,0.68,0.493953488372093
ArtificialDataset20b,1,kDN_importances_norm,21,103,SVM-rbf,0.76,0.5913978494623655
ArtificialDataset20b,1,kDN_importances_norm,21,103,KNN,0.68,0.4397528321318229
ArtificialDataset20b,1,kDN_importances_norm,22,103,SVM-rbf,0.76,0.5913978494623655
ArtificialDataset20b,1,kDN_importances_norm,22,103,KNN,0.71,0.5201584712188301
ArtificialDataset20b,1,kDN_importances_norm,23,103,SVM-rbf,0.78,0.6486486486486486
ArtificialDataset20b,1,kDN_importances_norm,23,103,KNN,0.69,0.4771449523343925
ArtificialDataset20b,1,kDN_importances_norm,24,103,SVM-rbf,0.75,0.5589273112208891
ArtificialDataset20b,1,kDN_importances_norm,24,103,KNN,0.72,0.5710638297872341
ArtificialDataset20b,1,kDN_importances_norm,25,103,SVM-rbf,0.78,0.6486486486486486
ArtificialDataset20b,1,kDN_importances_norm,25,103,KNN,0.78,0.6486486486486486
ArtificialDataset20b,1,kDN_importances_norm,26,103,SVM-rbf,0.8,0.6852871754523997
ArtificialDataset20b,1,kDN_importances_norm,26,103,KNN,0.76,0.6105892399658412
ArtificialDataset20b,1,kDN_importances_norm,27,103,SVM-rbf,0.81,0.7201309328968903
ArtificialDataset20b,1,kDN_importances_norm,27,103,KNN,0.79,0.6596923076923077
ArtificialDataset20b,1,kDN_importances_norm,28,103,SVM-rbf,0.79,0.6983087834151664
ArtificialDataset20b,1,kDN_importances_norm,28,103,KNN,0.77,0.6211764705882353
ArtificialDataset20b,1,kDN_importances_norm,29,103,SVM-rbf,0.79,0.6869220607661822
ArtificialDataset20b,1,kDN_importances_norm,29,103,KNN,0.78,0.6486486486486486
ArtificialDataset20b,1,kDN_importances_norm,30,103,SVM-rbf,0.78,0.6632653061224489
ArtificialDataset20b,1,kDN_importances_norm,30,103,KNN,0.79,0.6596923076923077
