feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
V1,11.992307692307714,0.020928983756208924,573.0,0.0,175.0,1,SVM-rbf
V10,,,,,,1,SVM-rbf
V11,,,,,,1,SVM-rbf
V12,,,,,,1,SVM-rbf
V13,,,,,,1,SVM-rbf
V14,,,,,,1,SVM-rbf
V15,,,,,,1,SVM-rbf
V16,0.04102564102564099,0.0024132730015082936,17.0,1.0,0.0,1,SVM-rbf
V17,-0.023076923076923078,-0.007692307692307693,3.0,1.0,0.0,1,SVM-rbf
V18,5.006410256410245,0.0077981468168383875,642.0,0.0,159.0,1,SVM-rbf
V19,13.020512820512833,0.02141531713900137,608.0,0.0,192.0,1,SVM-rbf
V2,1.956410256410256,0.008289873967840068,236.0,1.0,34.0,1,SVM-rbf
V20,10.16538461538463,0.016343062082611944,622.0,0.0,187.0,1,SVM-rbf
V21,-0.03205128205128205,-0.00641025641025641,5.0,1.0,0.0,1,SVM-rbf
V22,,,,,,1,SVM-rbf
V3,0.02435897435897441,0.000624589086127549,39.0,1.0,1.0,1,SVM-rbf
V4,0.17692307692307685,0.001565690946221919,113.0,1.0,5.0,1,SVM-rbf
V5,,,,,,1,SVM-rbf
V6,,,,,,1,SVM-rbf
V7,,,,,,1,SVM-rbf
V8,,,,,,1,SVM-rbf
V9,0.1884615384615385,0.005710955710955713,33.0,1.0,4.0,1,SVM-rbf
V1,15.79358974358975,0.027090205392092198,583.0,0.0,193.0,2,SVM-rbf
V10,,,,,,2,SVM-rbf
V11,,,,,,2,SVM-rbf
V12,,,,,,2,SVM-rbf
V13,,,,,,2,SVM-rbf
V14,,,,,,2,SVM-rbf
V15,,,,,,2,SVM-rbf
V16,0.039743589743589755,0.0012820512820512825,31.0,1.0,1.0,2,SVM-rbf
V17,0.01282051282051283,0.0010683760683760691,12.0,1.0,0.0,2,SVM-rbf
V18,-0.0038461538461538047,-0.0012820512820512682,3.0,1.0,0.0,2,SVM-rbf
V19,8.58461538461537,0.013801632451150113,622.0,0.0,172.0,2,SVM-rbf
V2,0.046153846153846184,0.009230769230769237,5.0,1.0,0.0,2,SVM-rbf
V20,3.852564102564095,0.0064857981524648065,594.0,0.0,131.0,2,SVM-rbf
V21,0.1974358974358972,0.0033463711429813085,59.0,1.0,7.0,2,SVM-rbf
V22,,,,,,2,SVM-rbf
V3,2.023076923076922,0.0128858402743753,157.0,1.0,31.0,2,SVM-rbf
V4,2.591025641025638,0.0043693518398408735,593.0,0.0,75.0,2,SVM-rbf
V5,,,,,,2,SVM-rbf
V6,,,,,,2,SVM-rbf
V7,,,,,,2,SVM-rbf
V8,,,,,,2,SVM-rbf
V9,0.08205128205128212,0.0024132730015082975,34.0,1.0,1.0,2,SVM-rbf
V1,17.25769230769231,0.029703429101019467,581.0,0.0,198.0,3,SVM-rbf
V10,,,,,,3,SVM-rbf
V11,,,,,,3,SVM-rbf
V12,,,,,,3,SVM-rbf
V13,,,,,,3,SVM-rbf
V14,,,,,,3,SVM-rbf
V15,,,,,,3,SVM-rbf
V16,0.023076923076923134,0.0012820512820512853,18.0,1.0,0.0,3,SVM-rbf
V17,0.01794871794871794,0.002564102564102563,7.0,1.0,0.0,3,SVM-rbf
V18,8.002564102564088,0.013404629987544537,597.0,0.0,179.0,3,SVM-rbf
V19,0.1448717948717949,0.004995579133510169,29.0,1.0,2.0,3,SVM-rbf
V2,1.3346153846153848,0.00808857808857809,165.0,1.0,24.0,3,SVM-rbf
V20,9.132051282051268,0.015069391554540047,606.0,0.0,174.0,3,SVM-rbf
V21,-0.019230769230769246,-0.006410256410256415,3.0,1.0,0.0,3,SVM-rbf
V22,,,,,,3,SVM-rbf
V3,-0.010256410256410248,-0.010256410256410248,1.0,1.0,0.0,3,SVM-rbf
V4,0.05897435897435915,0.002808302808302817,21.0,1.0,2.0,3,SVM-rbf
V5,,,,,,3,SVM-rbf
V6,,,,,,3,SVM-rbf
V7,,,,,,3,SVM-rbf
V8,,,,,,3,SVM-rbf
V9,5.271794871794868,0.00861404390816155,612.0,0.0,155.0,3,SVM-rbf
V1,15.401282051282054,0.02225618793537869,692.0,0.0,197.0,4,SVM-rbf
V10,,,,,,4,SVM-rbf
V11,,,,,,4,SVM-rbf
V12,,,,,,4,SVM-rbf
V13,,,,,,4,SVM-rbf
V14,,,,,,4,SVM-rbf
V15,,,,,,4,SVM-rbf
V16,-0.015384615384615385,-0.0013986013986013986,11.0,1.0,0.0,4,SVM-rbf
V17,-0.01282051282051283,-0.006410256410256415,2.0,1.0,0.0,4,SVM-rbf
V18,0.12435897435897433,0.009566074950690333,13.0,1.0,1.0,4,SVM-rbf
V19,12.265384615384622,0.01701162914755149,721.0,0.0,205.0,4,SVM-rbf
V2,0.34615384615384615,0.008241758241758242,42.0,1.0,9.0,4,SVM-rbf
