subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps
1,SVM-rbf,f0,0.724,0.006633249580710806,0.0,0.0
1,KNN,f0,0.621,0.027730849247724097,0.08129385619644101,0.0851536647368129
2,SVM-rbf,"f0,f1",0.724,0.006633249580710806,0.0,0.0
2,KNN,"f0,f1",0.689,0.018138357147217024,0.33208972202008613,0.08901183979223246
3,SVM-rbf,"f0,f1,f2",0.725,0.0050000000000000044,0.0,0.0
3,KNN,"f0,f1,f2",0.666,0.024979991993593575,0.25007184517754233,0.11148193629798327
4,SVM-rbf,"f0,f1,f2,f3",0.725,0.0050000000000000044,0.0,0.0
4,KNN,"f0,f1,f2,f3",0.679,0.03207802986469086,0.27361251081292903,0.11487528221097484
5,SVM-rbf,"f0,f1,f2,f3,f4",0.724,0.004898979485566361,0.0,0.0
5,KNN,"f0,f1,f2,f3,f4",0.666,0.03666060555964671,0.2511229108372238,0.1038456195987029
6,SVM-rbf,"f0,f1,f2,f3,f4,f5",0.725,0.0050000000000000044,0.025096830071020267,0.05020167563916871
6,KNN,"f0,f1,f2,f3,f4,f5",0.678,0.013999999999999976,0.2465118134137203,0.10801551832534503
7,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6",0.7230000000000001,0.0078102496759066605,0.025096830071020267,0.05020167563916871
7,KNN,"f0,f1,f2,f3,f4,f5,f6",0.6910000000000001,0.03935733730830884,0.27010107176773046,0.10937028886304846
8,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7",0.73,0.007745966692414841,0.10475437201324003,0.10132345568618711
8,KNN,"f0,f1,f2,f3,f4,f5,f6,f7",0.696,0.02973213749463699,0.30990006538388415,0.09047355533276352
9,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.735,0.011180339887498959,0.14789099037072795,0.11695436613309242
9,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.704,0.02009975124224176,0.3067085729642484,0.0798927036921938
10,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.732,0.008717797887081356,0.11056122500928471,0.08283792570238604
10,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.697,0.014177446878757802,0.27901477526312796,0.09450710507330323
11,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.7310000000000001,0.015132745950421569,0.13968808016916895,0.10774720432943931
11,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.6839999999999999,0.022449944320643622,0.26255383237261326,0.0952053387354206
12,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.7310000000000001,0.013000000000000012,0.15963508071278917,0.09595516078960169
12,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.6969999999999998,0.03001666203960726,0.2755345751911895,0.14363898335316402
