subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps
1,SVM-rbf,f0,0.508,0.03789459064299284,0.4905775400792341,0.04603828434585162
1,KNN,f0,0.5,0.04959838707054897,0.4975161894305411,0.04895188446989096
2,SVM-rbf,"f0,f1",0.7030000000000001,0.043139309220245975,0.6999805723983623,0.04326620198539233
2,KNN,"f0,f1",0.683,0.05848931526355905,0.679652315650789,0.06015184327114974
3,SVM-rbf,"f0,f1,f2",0.7679999999999999,0.025612496949731417,0.7667787487843475,0.026013386089564397
3,KNN,"f0,f1,f2",0.732,0.04664761515876242,0.7307565122768229,0.04722488416454087
4,SVM-rbf,"f0,f1,f2,f3",0.799,0.039102429592034305,0.7977334200446554,0.039746475006413574
4,KNN,"f0,f1,f2,f3",0.776,0.04779121258139408,0.7745577633594427,0.0484587707981094
5,SVM-rbf,"f0,f1,f2,f3,f4",0.82,0.02720294101747087,0.8193028933812194,0.027394937614800403
5,KNN,"f0,f1,f2,f3,f4",0.781,0.04721228653645151,0.779574512545371,0.04792905705842633
6,SVM-rbf,"f0,f1,f2,f3,f4,f5",0.8390000000000001,0.02947880594596735,0.8383898300473793,0.029847715241730702
6,KNN,"f0,f1,f2,f3,f4,f5",0.804,0.035832945734337825,0.8035470195367175,0.03578603040183573
7,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6",0.8789999999999999,0.022113344387496,0.8787525278089012,0.02219897089904665
7,KNN,"f0,f1,f2,f3,f4,f5,f6",0.828,0.030594117081556703,0.8273872090021156,0.030663041568203906
8,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7",0.89,0.016733200530681523,0.8898377151535376,0.01672595674521179
8,KNN,"f0,f1,f2,f3,f4,f5,f6,f7",0.844,0.02835489375751564,0.8436050989191214,0.028209615693230057
9,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.908,0.010770329614269016,0.9078168044125814,0.010799509195359928
9,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.877,0.026095976701399803,0.8767306698518361,0.026237942586990467
10,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.916,0.017999999999999995,0.9158818453451264,0.018040339995295307
10,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.8969999999999999,0.021470910553583907,0.8968183105357861,0.02156249457958152
11,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.9349999999999999,0.0224722050542442,0.9349008059528631,0.022544507918304115
11,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.916,0.01799999999999998,0.9158933454595996,0.01805682110250071
