subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps
1,SVM-rbf,f0,0.65,0.010000000000000009,0.0,0.0
1,KNN,f0,0.6040000000000001,0.06499230723708768,0.44495540447528337,0.12268275907626117
2,SVM-rbf,"f0,f1",0.65,0.010000000000000009,0.0,0.0
2,KNN,"f0,f1",0.56,0.05585696017507577,0.29401384303795963,0.18294649243599997
3,SVM-rbf,"f0,f1,f2",0.642,0.022715633383201112,0.0,0.0
3,KNN,"f0,f1,f2",0.5720000000000001,0.050754310161798086,0.3663480928804353,0.09887487993678876
4,SVM-rbf,"f0,f1,f2,f3",0.642,0.022715633383201112,0.0,0.0
4,KNN,"f0,f1,f2,f3",0.5780000000000001,0.043312815655415435,0.3449314091522663,0.11079088591520728
5,SVM-rbf,"f0,f1,f2,f3,f4",0.6439999999999999,0.01743559577416271,0.0,0.0
5,KNN,"f0,f1,f2,f3,f4",0.6060000000000001,0.05141984052872974,0.4601390030399785,0.07080648342946023
6,SVM-rbf,"f0,f1,f2,f3,f4,f5",0.6479999999999999,0.013266499161421611,0.01857764876632801,0.05573294629898403
6,KNN,"f0,f1,f2,f3,f4,f5",0.58,0.04732863826479693,0.4114967180197519,0.07843551037035093
7,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6",0.6399999999999999,0.012649110640673528,0.016925246826516225,0.05077574047954868
7,KNN,"f0,f1,f2,f3,f4,f5,f6",0.6,0.05865151319446071,0.43249503306888837,0.11222292671136676
8,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7",0.6439999999999999,0.026532998322843223,0.13343144372386673,0.11880013512854307
8,KNN,"f0,f1,f2,f3,f4,f5,f6,f7",0.598,0.04770744176750624,0.42818675563660175,0.09399999568749412
9,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.6340000000000001,0.04476605857119879,0.18158474958553306,0.14771324946494607
9,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.6140000000000001,0.053702886328390195,0.46809315017134895,0.09254327612952729
10,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.6300000000000001,0.02720294101747091,0.1559414692547347,0.12034245975500353
10,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.602,0.04512205669071391,0.4560105800469641,0.08374469494139618
11,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.64,0.028284271247461905,0.22270256898314655,0.07711255774343342
11,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.6119999999999999,0.060794736614282655,0.48848226497811814,0.08657850547016538
12,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.642,0.0384187454245971,0.22126288558800514,0.14553443237017302
12,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.6020000000000001,0.07560423268574319,0.48343941766778176,0.11212869500276734
13,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12",0.6579999999999999,0.033999999999999996,0.2911228377069643,0.13162554493335546
13,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12",0.5940000000000001,0.06696267617113282,0.4387796436593298,0.14764133790399026
14,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13",0.6639999999999999,0.035552777669262355,0.3456378111237476,0.09020398746972144
14,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13",0.604,0.07255342858886821,0.4662773610360443,0.13418190510827013
15,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14",0.666,0.031048349392520044,0.30001762342480054,0.09617391197435293
15,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14",0.5960000000000001,0.05851495535331117,0.4496547525285609,0.1253316927480581
