subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps
1,SVM-rbf,f0,0.6636666666666666,0.00912262145560268,0.2698439199001043,0.040760009971176896
1,KNN,f0,0.6140000000000001,0.018061622912192075,0.44617381772798953,0.03042416601533851
2,SVM-rbf,"f0,f1",0.6723333333333333,0.013085190950927012,0.3076881569506603,0.04727284633939018
2,KNN,"f0,f1",0.6170000000000001,0.02198231612506339,0.473542933418145,0.035436593210179695
3,SVM-rbf,"f0,f1,f2",0.6816666666666666,0.011279282877125743,0.3359713141233675,0.05296412303304298
3,KNN,"f0,f1,f2",0.6266666666666667,0.018915014612148128,0.48188855272835623,0.03282161852429113
4,SVM-rbf,"f0,f1,f2,f3",0.6803333333333335,0.012512216252748974,0.34209343172348733,0.048517348497751314
4,KNN,"f0,f1,f2,f3",0.6383333333333334,0.013270686158262926,0.492790317659869,0.030739621097470436
5,SVM-rbf,"f0,f1,f2,f3,f4",0.6819999999999999,0.013012814197295419,0.3647151103325451,0.04364616633516262
5,KNN,"f0,f1,f2,f3,f4",0.6303333333333334,0.018101565309847287,0.48325714094846683,0.030877925776373737
6,SVM-rbf,"f0,f1,f2,f3,f4,f5",0.6903333333333335,0.012862520921049813,0.4080932825242104,0.03722803649851249
6,KNN,"f0,f1,f2,f3,f4,f5",0.6300000000000001,0.02649947588580238,0.46512699996739687,0.0486064585981551
7,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6",0.6886666666666668,0.017009801096230754,0.4219761368379117,0.04598747515204466
7,KNN,"f0,f1,f2,f3,f4,f5,f6",0.6339999999999999,0.018487232831816074,0.48605749314135904,0.030975433326337842
8,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7",0.692,0.014313940369055936,0.44992000265156384,0.04135142713089661
8,KNN,"f0,f1,f2,f3,f4,f5,f6,f7",0.6619999999999999,0.03377046704510384,0.5358379456125028,0.05625692794438747
9,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.7183333333333335,0.01845414738088856,0.544708387847416,0.04164080053909188
9,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.6789999999999999,0.029365512652316027,0.5668952547084265,0.051970336137728966
10,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.727,0.020135651080718624,0.5848779121270191,0.040538168389911984
