subset_k,model,fold,variables_incluidas,acc,gps
1,SVM-rbf,1,f0,0.58,0.0
1,SVM-rbf,2,f0,0.58,0.0
1,SVM-rbf,3,f0,0.58,0.0
1,SVM-rbf,4,f0,0.58,0.0
1,SVM-rbf,5,f0,0.58,0.0
1,SVM-rbf,6,f0,0.58,0.0
1,SVM-rbf,7,f0,0.58,0.0
1,SVM-rbf,8,f0,0.5833333333333334,0.0
1,SVM-rbf,9,f0,0.5833333333333334,0.0
1,SVM-rbf,10,f0,0.5833333333333334,0.0
1,KNN,1,f0,0.5133333333333333,0.45182367856446265
1,KNN,2,f0,0.51,0.46361880231809405
1,KNN,3,f0,0.5466666666666666,0.5054984036892515
1,KNN,4,f0,0.5266666666666666,0.4720941176470589
1,KNN,5,f0,0.4866666666666667,0.43728100911002105
1,KNN,6,f0,0.47,0.3936057991398664
1,KNN,7,f0,0.53,0.4550426602493984
1,KNN,8,f0,0.55,0.5107728800158134
1,KNN,9,f0,0.5533333333333333,0.4795994759498409
1,KNN,10,f0,0.53,0.47088810743196996
2,SVM-rbf,1,"f0,f1",0.61,0.3785086064265188
2,SVM-rbf,2,"f0,f1",0.5866666666666667,0.3736654804270463
2,SVM-rbf,3,"f0,f1",0.59,0.3332210345778078
2,SVM-rbf,4,"f0,f1",0.5933333333333334,0.3105156210312421
2,SVM-rbf,5,"f0,f1",0.6,0.38208032955715754
2,SVM-rbf,6,"f0,f1",0.5866666666666667,0.39208913649025073
2,SVM-rbf,7,"f0,f1",0.6133333333333333,0.39079803630551435
2,SVM-rbf,8,"f0,f1",0.6433333333333333,0.4994789015729902
2,SVM-rbf,9,"f0,f1",0.61,0.44036697247706424
2,SVM-rbf,10,"f0,f1",0.6066666666666667,0.38639999999999997
2,KNN,1,"f0,f1",0.5733333333333334,0.5413333333333333
2,KNN,2,"f0,f1",0.5166666666666667,0.4683619160260202
2,KNN,3,"f0,f1",0.5333333333333333,0.4483302137720422
2,KNN,4,"f0,f1",0.5466666666666666,0.4965237020316027
2,KNN,5,"f0,f1",0.5533333333333333,0.520975105521578
2,KNN,6,"f0,f1",0.5333333333333333,0.49816291782417776
2,KNN,7,"f0,f1",0.5533333333333333,0.5133029931734641
2,KNN,8,"f0,f1",0.58,0.5531550627751507
2,KNN,9,"f0,f1",0.54,0.5032
2,KNN,10,"f0,f1",0.59,0.5521384048877825
3,SVM-rbf,1,"f0,f1,f2",0.6166666666666667,0.4450820313518871
3,SVM-rbf,2,"f0,f1,f2",0.6166666666666667,0.43733305122847843
3,SVM-rbf,3,"f0,f1,f2",0.64,0.42850843346929773
3,SVM-rbf,4,"f0,f1,f2",0.5866666666666667,0.2332771219786397
