subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps
1,SVM-rbf,f0,0.598,0.00979795897113272,0.07597893847422951,0.06859457064595133
1,KNN,f0,0.542,0.0370944739819828,0.47978309601913055,0.043846680421642206
2,SVM-rbf,"f0,f1",0.598,0.016613247725836167,0.11341750360793523,0.07639248372296953
2,KNN,"f0,f1",0.534,0.05748043145279965,0.4360133962201547,0.0805781260639634
3,SVM-rbf,"f0,f1,f2",0.587,0.017349351572897465,0.060027604030837366,0.0751693412621916
3,KNN,"f0,f1,f2",0.5290000000000001,0.04085339643163098,0.4547492922010605,0.04392235245870534
4,SVM-rbf,"f0,f1,f2,f3",0.595,0.020615528128088322,0.1258912989097934,0.10400387653866125
4,KNN,"f0,f1,f2,f3",0.528,0.04069397989875159,0.45324322180351395,0.04538351292476587
5,SVM-rbf,"f0,f1,f2,f3,f4",0.593,0.018466185312619406,0.1400135087458358,0.06858845038020418
5,KNN,"f0,f1,f2,f3,f4",0.5349999999999999,0.03263433774416143,0.4587180738088238,0.06301105104531725
6,SVM-rbf,"f0,f1,f2,f3,f4,f5",0.592,0.022271057451320075,0.23696625617466122,0.0792671951074845
6,KNN,"f0,f1,f2,f3,f4,f5",0.5290000000000001,0.03806573262134857,0.45350368251795,0.056190253392543243
7,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6",0.587,0.018999999999999993,0.30852487940136175,0.06802555650933864
7,KNN,"f0,f1,f2,f3,f4,f5,f6",0.5359999999999999,0.04820788317277581,0.4571446785004068,0.05200805563511842
8,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7",0.5820000000000001,0.03280243893371345,0.29160143436576913,0.0948446516855659
8,KNN,"f0,f1,f2,f3,f4,f5,f6,f7",0.5410000000000001,0.057697486947006625,0.4694737778812456,0.07038332796941969
9,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.5930000000000001,0.02794637722496423,0.34624387168174353,0.08285712383405587
9,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.539,0.03360059523282289,0.4636820430434908,0.03487373871886098
10,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.585,0.023345235059857496,0.3386074296183067,0.07944442723842358
10,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.552,0.049959983987187186,0.47443440822842653,0.06739057802466089
11,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.5820000000000001,0.027129319932501055,0.3348731205831974,0.06623759235185735
11,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.571,0.04276680956068618,0.49266973844054274,0.061582350610763836
12,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.59,0.03224903099319419,0.3729033892235438,0.07059031265242718
12,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.5730000000000001,0.03132091952673163,0.498238078778126,0.052096995166915246
13,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12",0.6,0.034351128074635334,0.38390790778354766,0.0687048519234276
13,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12",0.55,0.03847076812334269,0.45586344814454816,0.05137740666273908
14,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13",0.5880000000000001,0.03544009029333871,0.36662960828251306,0.05672080870516534
14,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13",0.5599999999999999,0.03605551275463988,0.48218654558392726,0.043991155851751514
15,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14",0.588,0.03893584466786357,0.3851575267717337,0.08596517430336459
15,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14",0.5509999999999999,0.05593746508378798,0.4676274489702169,0.05191191543381168
