subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps
1,SVM-rbf,f0,0.645,0.036124783736376884,0.6433963918171874,0.03637713345143433
1,KNN,f0,0.61,0.043817804600413304,0.6090335449292028,0.0444043956325229
2,SVM-rbf,"f0,f1",0.686,0.032619012860600156,0.6812686804745351,0.033603994831248915
2,KNN,"f0,f1",0.6399999999999999,0.057445626465380276,0.6389147565572274,0.058859984172873504
3,SVM-rbf,"f0,f1,f2",0.6819999999999999,0.042614551505325025,0.6781158493400167,0.04343951310921873
3,KNN,"f0,f1,f2",0.655,0.03324154027718932,0.653965723967357,0.03331190943676876
4,SVM-rbf,"f0,f1,f2,f3",0.7270000000000001,0.028301943396169815,0.724241916130843,0.028409396198384593
4,KNN,"f0,f1,f2,f3",0.6969999999999998,0.047127486671792715,0.6948934925552286,0.04856978863735206
5,SVM-rbf,"f0,f1,f2,f3,f4",0.775,0.032939338184001216,0.7738401320815612,0.0335276096665342
5,KNN,"f0,f1,f2,f3,f4",0.7230000000000001,0.02899999999999999,0.7216655774469778,0.029886818229878376
6,SVM-rbf,"f0,f1,f2,f3,f4,f5",0.792,0.0351567916624939,0.7914638989444611,0.03521311275304754
6,KNN,"f0,f1,f2,f3,f4,f5",0.7489999999999999,0.02385372088375315,0.74847670446119,0.024071909072457064
7,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6",0.808,0.036823905279043924,0.8074078067058451,0.03749792563814033
7,KNN,"f0,f1,f2,f3,f4,f5,f6",0.742,0.03218695387886219,0.7415614046297505,0.032480523973623235
8,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7",0.8230000000000001,0.027586228448267424,0.822608159351053,0.027630753795009382
8,KNN,"f0,f1,f2,f3,f4,f5,f6,f7",0.783,0.0374299345444258,0.7827538270323157,0.03742115146581651
9,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.876,0.035832945734337845,0.8757817576991187,0.03598897246581451
9,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.836,0.03527038417709679,0.835788019949908,0.03532701503394935
10,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.9129999999999999,0.03848376280978773,0.9128865287219572,0.0386708197845265
10,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.873,0.03716180835212409,0.8728786447452903,0.03719013939387375
11,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.924,0.02416609194718913,0.9238673093245726,0.024291762419556794
11,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.8869999999999999,0.03551056180912942,0.8868255263408091,0.03560925453342961
12,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.9489999999999998,0.018138357147217034,0.9489805346633672,0.0181581569319023
12,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.9229999999999998,0.030016662039607248,0.9229710023736585,0.03002437251758133
13,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12",0.9469999999999998,0.016763054614240186,0.9469842252053209,0.016764736799241946
13,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12",0.9269999999999999,0.01846618531261936,0.9269701222970976,0.018453244797324037
