subset_k,model,fold,variables_incluidas,acc,gps
1,SVM-rbf,1,f0,0.72,0.0
1,SVM-rbf,2,f0,0.72,0.0
1,SVM-rbf,3,f0,0.71,0.0
1,SVM-rbf,4,f0,0.72,0.0
1,SVM-rbf,5,f0,0.72,0.0
1,SVM-rbf,6,f0,0.73,0.0
1,SVM-rbf,7,f0,0.73,0.0
1,SVM-rbf,8,f0,0.73,0.0
1,SVM-rbf,9,f0,0.73,0.0
1,SVM-rbf,10,f0,0.73,0.0
1,KNN,1,f0,0.62,0.1692524682651622
1,KNN,2,f0,0.59,0.0
1,KNN,3,f0,0.63,0.1731110322809507
1,KNN,4,f0,0.56,0.20516129032258063
1,KNN,5,f0,0.62,0.0
1,KNN,6,f0,0.67,0.0
1,KNN,7,f0,0.64,0.0
1,KNN,8,f0,0.63,0.09616130283055448
1,KNN,9,f0,0.63,0.0
1,KNN,10,f0,0.62,0.1692524682651622
2,SVM-rbf,1,"f0,f1",0.72,0.0
2,SVM-rbf,2,"f0,f1",0.72,0.0
2,SVM-rbf,3,"f0,f1",0.71,0.0
2,SVM-rbf,4,"f0,f1",0.72,0.0
2,SVM-rbf,5,"f0,f1",0.72,0.0
2,SVM-rbf,6,"f0,f1",0.73,0.0
2,SVM-rbf,7,"f0,f1",0.73,0.0
2,SVM-rbf,8,"f0,f1",0.73,0.0
2,SVM-rbf,9,"f0,f1",0.73,0.0
2,SVM-rbf,10,"f0,f1",0.73,0.0
2,KNN,1,"f0,f1",0.71,0.4310583033987289
2,KNN,2,"f0,f1",0.7,0.33460076045627374
2,KNN,3,"f0,f1",0.72,0.44
2,KNN,4,"f0,f1",0.66,0.3065512978986403
2,KNN,5,"f0,f1",0.69,0.11281625881377022
2,KNN,6,"f0,f1",0.67,0.3131407269338304
2,KNN,7,"f0,f1",0.69,0.3271469015413652
2,KNN,8,"f0,f1",0.7,0.42244224422442245
2,KNN,9,"f0,f1",0.67,0.3131407269338304
2,KNN,10,"f0,f1",0.68,0.32000000000000006
3,SVM-rbf,1,"f0,f1,f2",0.72,0.0
3,SVM-rbf,2,"f0,f1,f2",0.72,0.0
3,SVM-rbf,3,"f0,f1,f2",0.72,0.0
3,SVM-rbf,4,"f0,f1,f2",0.72,0.0
3,SVM-rbf,5,"f0,f1,f2",0.72,0.0
3,SVM-rbf,6,"f0,f1,f2",0.73,0.0
3,SVM-rbf,7,"f0,f1,f2",0.73,0.0
3,SVM-rbf,8,"f0,f1,f2",0.73,0.0
3,SVM-rbf,9,"f0,f1,f2",0.73,0.0
3,SVM-rbf,10,"f0,f1,f2",0.73,0.0
3,KNN,1,"f0,f1,f2",0.62,0.09384615384615384
3,KNN,2,"f0,f1,f2",0.64,0.0
3,KNN,3,"f0,f1,f2",0.7,0.38235294117647056
3,KNN,4,"f0,f1,f2",0.65,0.3453237410071943
3,KNN,5,"f0,f1,f2",0.67,0.3131407269338304
3,KNN,6,"f0,f1,f2",0.65,0.2464392182842001
3,KNN,7,"f0,f1,f2",0.69,0.3271469015413652
3,KNN,8,"f0,f1,f2",0.67,0.25780463242698887
3,KNN,9,"f0,f1,f2",0.67,0.25780463242698887
3,KNN,10,"f0,f1,f2",0.7,0.2768595041322314
4,SVM-rbf,1,"f0,f1,f2,f3",0.72,0.0
4,SVM-rbf,2,"f0,f1,f2,f3",0.72,0.0
4,SVM-rbf,3,"f0,f1,f2,f3",0.72,0.0
4,SVM-rbf,4,"f0,f1,f2,f3",0.72,0.0
4,SVM-rbf,5,"f0,f1,f2,f3",0.72,0.0
4,SVM-rbf,6,"f0,f1,f2,f3",0.73,0.0
4,SVM-rbf,7,"f0,f1,f2,f3",0.73,0.0
4,SVM-rbf,8,"f0,f1,f2,f3",0.73,0.0
4,SVM-rbf,9,"f0,f1,f2,f3",0.73,0.0
4,SVM-rbf,10,"f0,f1,f2,f3",0.73,0.0
4,KNN,1,"f0,f1,f2,f3",0.65,0.24643921828420004
4,KNN,2,"f0,f1,f2,f3",0.65,0.30021531836358045
4,KNN,3,"f0,f1,f2,f3",0.7,0.2768595041322314
4,KNN,4,"f0,f1,f2,f3",0.73,0.48389630793401417
4,KNN,5,"f0,f1,f2,f3",0.67,0.10666666666666667
4,KNN,6,"f0,f1,f2,f3",0.68,0.10965630114566284
4,KNN,7,"f0,f1,f2,f3",0.74,0.41767554479418884
4,KNN,8,"f0,f1,f2,f3",0.67,0.3131407269338304
4,KNN,9,"f0,f1,f2,f3",0.65,0.30021531836358045
4,KNN,10,"f0,f1,f2,f3",0.65,0.18136020151133503
5,SVM-rbf,1,"f0,f1,f2,f3,f4",0.72,0.0
5,SVM-rbf,2,"f0,f1,f2,f3,f4",0.72,0.0
5,SVM-rbf,3,"f0,f1,f2,f3,f4",0.72,0.0
5,SVM-rbf,4,"f0,f1,f2,f3,f4",0.72,0.0
5,SVM-rbf,5,"f0,f1,f2,f3,f4",0.72,0.0
5,SVM-rbf,6,"f0,f1,f2,f3,f4",0.73,0.0
5,SVM-rbf,7,"f0,f1,f2,f3,f4",0.73,0.0
5,SVM-rbf,8,"f0,f1,f2,f3,f4",0.73,0.0
5,SVM-rbf,9,"f0,f1,f2,f3,f4",0.72,0.0
5,SVM-rbf,10,"f0,f1,f2,f3,f4",0.73,0.0
5,KNN,1,"f0,f1,f2,f3,f4",0.66,0.1857764876632801
5,KNN,2,"f0,f1,f2,f3,f4",0.73,0.40828580006004206
5,KNN,3,"f0,f1,f2,f3,f4",0.71,0.21141325162772887
5,KNN,4,"f0,f1,f2,f3,f4",0.69,0.3271469015413651
5,KNN,5,"f0,f1,f2,f3,f4",0.62,0.09384615384615384
5,KNN,6,"f0,f1,f2,f3,f4",0.65,0.10114579217700513
5,KNN,7,"f0,f1,f2,f3,f4",0.67,0.3131407269338304
5,KNN,8,"f0,f1,f2,f3,f4",0.66,0.3908794788273615
5,KNN,9,"f0,f1,f2,f3,f4",0.6,0.22178988326848248
5,KNN,10,"f0,f1,f2,f3,f4",0.67,0.25780463242698887
6,SVM-rbf,1,"f0,f1,f2,f3,f4,f5",0.73,0.12749003984063742
6,SVM-rbf,2,"f0,f1,f2,f3,f4,f5",0.72,0.0
6,SVM-rbf,3,"f0,f1,f2,f3,f4,f5",0.72,0.0
6,SVM-rbf,4,"f0,f1,f2,f3,f4,f5",0.72,0.0
6,SVM-rbf,5,"f0,f1,f2,f3,f4,f5",0.72,0.12347826086956522
6,SVM-rbf,6,"f0,f1,f2,f3,f4,f5",0.73,0.0
6,SVM-rbf,7,"f0,f1,f2,f3,f4,f5",0.73,0.0
6,SVM-rbf,8,"f0,f1,f2,f3,f4,f5",0.73,0.0
6,SVM-rbf,9,"f0,f1,f2,f3,f4,f5",0.72,0.0
6,SVM-rbf,10,"f0,f1,f2,f3,f4,f5",0.73,0.0
6,KNN,1,"f0,f1,f2,f3,f4,f5",0.67,0.19040644452581473
6,KNN,2,"f0,f1,f2,f3,f4,f5",0.69,0.3271469015413651
6,KNN,3,"f0,f1,f2,f3,f4,f5",0.69,0.3271469015413651
6,KNN,4,"f0,f1,f2,f3,f4,f5",0.7,0.20574886535552192
6,KNN,5,"f0,f1,f2,f3,f4,f5",0.68,0.36670547147846333
6,KNN,6,"f0,f1,f2,f3,f4,f5",0.68,0.1952662721893491
6,KNN,7,"f0,f1,f2,f3,f4,f5",0.65,0.30021531836358045
6,KNN,8,"f0,f1,f2,f3,f4,f5",0.68,0.36670547147846333
6,KNN,9,"f0,f1,f2,f3,f4,f5",0.66,0.18577648766328012
6,KNN,10,"f0,f1,f2,f3,f4,f5",0.68,0.0
7,SVM-rbf,1,"f0,f1,f2,f3,f4,f5,f6",0.73,0.12749003984063742
7,SVM-rbf,2,"f0,f1,f2,f3,f4,f5,f6",0.71,0.0
7,SVM-rbf,3,"f0,f1,f2,f3,f4,f5,f6",0.72,0.0
7,SVM-rbf,4,"f0,f1,f2,f3,f4,f5,f6",0.72,0.0
7,SVM-rbf,5,"f0,f1,f2,f3,f4,f5,f6",0.72,0.12347826086956522
7,SVM-rbf,6,"f0,f1,f2,f3,f4,f5,f6",0.73,0.0
7,SVM-rbf,7,"f0,f1,f2,f3,f4,f5,f6",0.73,0.0
7,SVM-rbf,8,"f0,f1,f2,f3,f4,f5,f6",0.73,0.0
7,SVM-rbf,9,"f0,f1,f2,f3,f4,f5,f6",0.71,0.0
7,SVM-rbf,10,"f0,f1,f2,f3,f4,f5,f6",0.73,0.0
7,KNN,1,"f0,f1,f2,f3,f4,f5,f6",0.7,0.20574886535552192
7,KNN,2,"f0,f1,f2,f3,f4,f5,f6",0.71,0.34238262535931013
7,KNN,3,"f0,f1,f2,f3,f4,f5,f6",0.75,0.4274809160305344
7,KNN,4,"f0,f1,f2,f3,f4,f5,f6",0.74,0.23040000000000002
7,KNN,5,"f0,f1,f2,f3,f4,f5,f6",0.68,0.40611353711790393
7,KNN,6,"f0,f1,f2,f3,f4,f5,f6",0.73,0.12749003984063745
7,KNN,7,"f0,f1,f2,f3,f4,f5,f6",0.65,0.18136020151133503
7,KNN,8,"f0,f1,f2,f3,f4,f5,f6",0.67,0.1904064445258147
7,KNN,9,"f0,f1,f2,f3,f4,f5,f6",0.65,0.4165170556552963
7,KNN,10,"f0,f1,f2,f3,f4,f5,f6",0.63,0.1731110322809507
8,SVM-rbf,1,"f0,f1,f2,f3,f4,f5,f6,f7",0.72,0.12347826086956522
8,SVM-rbf,2,"f0,f1,f2,f3,f4,f5,f6,f7",0.73,0.12749003984063742
8,SVM-rbf,3,"f0,f1,f2,f3,f4,f5,f6,f7",0.73,0.12749003984063742
8,SVM-rbf,4,"f0,f1,f2,f3,f4,f5,f6,f7",0.72,0.0
8,SVM-rbf,5,"f0,f1,f2,f3,f4,f5,f6,f7",0.74,0.30691642651296824
8,SVM-rbf,6,"f0,f1,f2,f3,f4,f5,f6,f7",0.73,0.0
8,SVM-rbf,7,"f0,f1,f2,f3,f4,f5,f6,f7",0.73,0.0
8,SVM-rbf,8,"f0,f1,f2,f3,f4,f5,f6,f7",0.74,0.2304
8,SVM-rbf,9,"f0,f1,f2,f3,f4,f5,f6,f7",0.72,0.0
8,SVM-rbf,10,"f0,f1,f2,f3,f4,f5,f6,f7",0.74,0.13176895306859207
8,KNN,1,"f0,f1,f2,f3,f4,f5,f6,f7",0.67,0.25780463242698887
8,KNN,2,"f0,f1,f2,f3,f4,f5,f6,f7",0.71,0.2838260869565218
8,KNN,3,"f0,f1,f2,f3,f4,f5,f6,f7",0.72,0.39928486293206195
8,KNN,4,"f0,f1,f2,f3,f4,f5,f6,f7",0.73,0.22371012209531313
8,KNN,5,"f0,f1,f2,f3,f4,f5,f6,f7",0.68,0.32
8,KNN,6,"f0,f1,f2,f3,f4,f5,f6,f7",0.73,0.3590243902439024
8,KNN,7,"f0,f1,f2,f3,f4,f5,f6,f7",0.7,0.38235294117647056
8,KNN,8,"f0,f1,f2,f3,f4,f5,f6,f7",0.68,0.10965630114566284
8,KNN,9,"f0,f1,f2,f3,f4,f5,f6,f7",0.63,0.33228301346319106
8,KNN,10,"f0,f1,f2,f3,f4,f5,f6,f7",0.71,0.4310583033987289
9,SVM-rbf,1,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.73,0.12749003984063742
9,SVM-rbf,2,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.72,0.0
9,SVM-rbf,3,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.73,0.12749003984063742
9,SVM-rbf,4,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.72,0.0
9,SVM-rbf,5,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.74,0.30691642651296824
9,SVM-rbf,6,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.74,0.2304
9,SVM-rbf,7,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.74,0.13176895306859207
9,SVM-rbf,8,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.74,0.2304
9,SVM-rbf,9,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.73,0.0
9,SVM-rbf,10,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.76,0.32444444444444437
9,KNN,1,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.72,0.35051546391752575
9,KNN,2,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.73,0.3590243902439025
9,KNN,3,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.71,0.2838260869565218
9,KNN,4,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.71,0.21141325162772887
9,KNN,5,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.69,0.3743784732377888
9,KNN,6,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.71,0.34238262535931013
9,KNN,7,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.72,0.39928486293206195
9,KNN,8,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.71,0.11970927746900385
9,KNN,9,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.68,0.32000000000000006
9,KNN,10,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.66,0.3065512978986403
10,SVM-rbf,1,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.72,0.12347826086956522
10,SVM-rbf,2,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.73,0.12749003984063742
10,SVM-rbf,3,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.73,0.12749003984063742
10,SVM-rbf,4,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.72,0.0
10,SVM-rbf,5,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.74,0.23040000000000002
10,SVM-rbf,6,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.75,0.23749491663277753
10,SVM-rbf,7,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.73,0.0
10,SVM-rbf,8,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.73,0.12749003984063745
10,SVM-rbf,9,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.73,0.0
10,SVM-rbf,10,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.74,0.13176895306859207
10,KNN,1,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.72,0.35051546391752575
10,KNN,2,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.7,0.33460076045627374
10,KNN,3,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.69,0.20037383177570095
10,KNN,4,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.69,0.20037383177570095
10,KNN,5,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.71,0.34238262535931013
10,KNN,6,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.68,0.32000000000000006
10,KNN,7,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.71,0.21141325162772884
