subset_k,model,fold,variables_incluidas,acc,gps
1,SVM-rbf,1,f0,0.6,0.1620111731843575
1,SVM-rbf,2,f0,0.59,0.08751414560543191
1,SVM-rbf,3,f0,0.59,0.08751414560543191
1,SVM-rbf,4,f0,0.58,0.0
1,SVM-rbf,5,f0,0.61,0.16555594528235706
1,SVM-rbf,6,f0,0.61,0.0916380297823597
1,SVM-rbf,7,f0,0.59,0.0
1,SVM-rbf,8,f0,0.6,0.0
1,SVM-rbf,9,f0,0.6,0.0
1,SVM-rbf,10,f0,0.61,0.16555594528235706
1,KNN,1,f0,0.6,0.564902102973169
1,KNN,2,f0,0.53,0.46716577540106957
1,KNN,3,f0,0.52,0.4602076124567474
1,KNN,4,f0,0.55,0.48124083001467205
1,KNN,5,f0,0.56,0.5183737294761532
1,KNN,6,f0,0.57,0.48280227896180633
1,KNN,7,f0,0.57,0.4955752212389381
1,KNN,8,f0,0.46,0.3827037773359841
1,KNN,9,f0,0.55,0.48124083001467194
1,KNN,10,f0,0.51,0.4636188023180941
2,SVM-rbf,1,"f0,f1",0.6,0.1620111731843575
2,SVM-rbf,2,"f0,f1",0.6,0.08952959028831563
2,SVM-rbf,3,"f0,f1",0.57,0.08373831775700934
2,SVM-rbf,4,"f0,f1",0.57,0.0
2,SVM-rbf,5,"f0,f1",0.62,0.2310704960835509
2,SVM-rbf,6,"f0,f1",0.62,0.1692524682651622
2,SVM-rbf,7,"f0,f1",0.6,0.08952959028831561
2,SVM-rbf,8,"f0,f1",0.61,0.0916380297823597
2,SVM-rbf,9,"f0,f1",0.6,0.0
2,SVM-rbf,10,"f0,f1",0.59,0.21740537043028146
2,KNN,1,"f0,f1",0.61,0.525244462183197
2,KNN,2,"f0,f1",0.59,0.5321988010056082
2,KNN,3,"f0,f1",0.54,0.4323583180987203
2,KNN,4,"f0,f1",0.43,0.2914137033824805
2,KNN,5,"f0,f1",0.57,0.5069402534701267
2,KNN,6,"f0,f1",0.56,0.4883720930232558
2,KNN,7,"f0,f1",0.57,0.45229050279329613
2,KNN,8,"f0,f1",0.5,0.44641275465013286
2,KNN,9,"f0,f1",0.53,0.36631900279827023
2,KNN,10,"f0,f1",0.44,0.3185840707964602
3,SVM-rbf,1,"f0,f1,f2",0.58,0.0
3,SVM-rbf,2,"f0,f1,f2",0.6,0.08952959028831563
3,SVM-rbf,3,"f0,f1,f2",0.57,0.08373831775700934
3,SVM-rbf,4,"f0,f1,f2",0.57,0.0
3,SVM-rbf,5,"f0,f1,f2",0.6,0.0
3,SVM-rbf,6,"f0,f1,f2",0.6,0.0
3,SVM-rbf,7,"f0,f1,f2",0.6,0.08952959028831561
3,SVM-rbf,8,"f0,f1,f2",0.6,0.08952959028831561
3,SVM-rbf,9,"f0,f1,f2",0.6,0.0
3,SVM-rbf,10,"f0,f1,f2",0.55,0.2479489516864175
3,KNN,1,"f0,f1,f2",0.59,0.46612226881483115
3,KNN,2,"f0,f1,f2",0.53,0.4413545638035434
3,KNN,3,"f0,f1,f2",0.59,0.5218422613164657
3,KNN,4,"f0,f1,f2",0.47,0.38871165644171785
3,KNN,5,"f0,f1,f2",0.52,0.47073791348600513
3,KNN,6,"f0,f1,f2",0.55,0.5021122510561256
3,KNN,7,"f0,f1,f2",0.51,0.45329249617151607
3,KNN,8,"f0,f1,f2",0.46,0.3827037773359841
3,KNN,9,"f0,f1,f2",0.53,0.42590458631020967
3,KNN,10,"f0,f1,f2",0.54,0.4947111472742067
4,SVM-rbf,1,"f0,f1,f2,f3",0.58,0.0
4,SVM-rbf,2,"f0,f1,f2,f3",0.58,0.08558558558558559
4,SVM-rbf,3,"f0,f1,f2,f3",0.58,0.08558558558558559
4,SVM-rbf,4,"f0,f1,f2,f3",0.58,0.08558558558558559
4,SVM-rbf,5,"f0,f1,f2,f3",0.62,0.2310704960835509
4,SVM-rbf,6,"f0,f1,f2,f3",0.64,0.29411764705882354
4,SVM-rbf,7,"f0,f1,f2,f3",0.6,0.08952959028831561
4,SVM-rbf,8,"f0,f1,f2,f3",0.6,0.08952959028831561
4,SVM-rbf,9,"f0,f1,f2,f3",0.6,0.0
4,SVM-rbf,10,"f0,f1,f2,f3",0.57,0.29790890862217134
4,KNN,1,"f0,f1,f2,f3",0.58,0.5143540669856459
4,KNN,2,"f0,f1,f2,f3",0.58,0.5143540669856459
4,KNN,3,"f0,f1,f2,f3",0.52,0.41953488372093023
4,KNN,4,"f0,f1,f2,f3",0.51,0.4415642458100559
4,KNN,5,"f0,f1,f2,f3",0.58,0.48994974874371855
4,KNN,6,"f0,f1,f2,f3",0.45,0.36129032258064514
4,KNN,7,"f0,f1,f2,f3",0.52,0.46020761245674735
4,KNN,8,"f0,f1,f2,f3",0.51,0.4415642458100559
4,KNN,9,"f0,f1,f2,f3",0.49,0.41543859649122805
4,KNN,10,"f0,f1,f2,f3",0.54,0.4741744284504657
5,SVM-rbf,1,"f0,f1,f2,f3,f4",0.57,0.08373831775700934
5,SVM-rbf,2,"f0,f1,f2,f3,f4",0.58,0.1553398058252427
5,SVM-rbf,3,"f0,f1,f2,f3,f4",0.58,0.08558558558558559
5,SVM-rbf,4,"f0,f1,f2,f3,f4",0.58,0.08558558558558559
5,SVM-rbf,5,"f0,f1,f2,f3,f4",0.62,0.2310704960835509
5,SVM-rbf,6,"f0,f1,f2,f3,f4",0.62,0.2310704960835509
5,SVM-rbf,7,"f0,f1,f2,f3,f4",0.61,0.0916380297823597
5,SVM-rbf,8,"f0,f1,f2,f3,f4",0.6,0.08952959028831561
