subset_k,model,fold,variables_incluidas,acc,gps
1,SVM-rbf,1,f0,0.7,0.0
1,SVM-rbf,2,f0,0.7,0.0
1,SVM-rbf,3,f0,0.7,0.0
1,SVM-rbf,4,f0,0.7,0.0
1,SVM-rbf,5,f0,0.7,0.0
1,SVM-rbf,6,f0,0.7,0.0
1,SVM-rbf,7,f0,0.7,0.0
1,SVM-rbf,8,f0,0.7,0.0
1,SVM-rbf,9,f0,0.7,0.0
1,SVM-rbf,10,f0,0.7,0.0
1,KNN,1,f0,0.645,0.41284697737034437
1,KNN,2,f0,0.65,0.4165170556552963
1,KNN,3,f0,0.605,0.38531284161790236
1,KNN,4,f0,0.59,0.3273081201334816
1,KNN,5,f0,0.695,0.5289182732374021
1,KNN,6,f0,0.645,0.39707721677308927
1,KNN,7,f0,0.665,0.49297297297297293
1,KNN,8,f0,0.7,0.5226187769947716
1,KNN,9,f0,0.63,0.332283013463191
1,KNN,10,f0,0.635,0.37319991886958287
2,SVM-rbf,1,"f0,f1",0.7,0.3823529411764706
2,SVM-rbf,2,"f0,f1",0.69,0.35181818181818186
2,SVM-rbf,3,"f0,f1",0.73,0.42968750000000006
2,SVM-rbf,4,"f0,f1",0.7,0.3071593533487298
2,SVM-rbf,5,"f0,f1",0.73,0.44928751047778703
2,SVM-rbf,6,"f0,f1",0.745,0.46391534391534395
2,SVM-rbf,7,"f0,f1",0.73,0.46729729729729735
2,SVM-rbf,8,"f0,f1",0.69,0.300065445026178
2,SVM-rbf,9,"f0,f1",0.75,0.4871444201312911
2,SVM-rbf,10,"f0,f1",0.725,0.38039002408515266
2,KNN,1,"f0,f1",0.685,0.5397045490907151
2,KNN,2,"f0,f1",0.675,0.5312249585982158
2,KNN,3,"f0,f1",0.66,0.5095081967213114
2,KNN,4,"f0,f1",0.665,0.5135651509361865
2,KNN,5,"f0,f1",0.69,0.5528846153846154
2,KNN,6,"f0,f1",0.745,0.6122761365375785
2,KNN,7,"f0,f1",0.71,0.6012780790085206
2,KNN,8,"f0,f1",0.7,0.5528109028960816
2,KNN,9,"f0,f1",0.715,0.5752696576520244
2,KNN,10,"f0,f1",0.715,0.5664131070801639
3,SVM-rbf,1,"f0,f1,f2",0.8,0.6710526315789473
3,SVM-rbf,2,"f0,f1,f2",0.82,0.7363814966958385
3,SVM-rbf,3,"f0,f1,f2",0.78,0.6229400131839157
3,SVM-rbf,4,"f0,f1,f2",0.795,0.7088562368808897
3,SVM-rbf,5,"f0,f1,f2",0.805,0.7034710743801653
3,SVM-rbf,6,"f0,f1,f2",0.815,0.7204634994206258
3,SVM-rbf,7,"f0,f1,f2",0.825,0.7420838729846815
3,SVM-rbf,8,"f0,f1,f2",0.805,0.7091843823815479
3,SVM-rbf,9,"f0,f1,f2",0.795,0.6727245343641749
3,SVM-rbf,10,"f0,f1,f2",0.83,0.7646764509673115
3,KNN,1,"f0,f1,f2",0.75,0.6391454965357968
3,KNN,2,"f0,f1,f2",0.805,0.7450773415614469
3,KNN,3,"f0,f1,f2",0.765,0.6542622241453917
3,KNN,4,"f0,f1,f2",0.755,0.6825961992192527
3,KNN,5,"f0,f1,f2",0.81,0.7299526232672399
3,KNN,6,"f0,f1,f2",0.81,0.7466666666666667
3,KNN,7,"f0,f1,f2",0.815,0.7590587671287602
3,KNN,8,"f0,f1,f2",0.795,0.7309644670050762
3,KNN,9,"f0,f1,f2",0.765,0.6474827197411638
3,KNN,10,"f0,f1,f2",0.79,0.7296284224250326
4,SVM-rbf,1,"f0,f1,f2,f3",0.835,0.7664731556421882
4,SVM-rbf,2,"f0,f1,f2,f3",0.89,0.8628082959641256
4,SVM-rbf,3,"f0,f1,f2,f3",0.825,0.7420838729846815
4,SVM-rbf,4,"f0,f1,f2,f3",0.86,0.8116100766703176
4,SVM-rbf,5,"f0,f1,f2,f3",0.86,0.7992998833138856
4,SVM-rbf,6,"f0,f1,f2,f3",0.845,0.7975578654507515
4,SVM-rbf,7,"f0,f1,f2,f3",0.865,0.8249184752052175
4,SVM-rbf,8,"f0,f1,f2,f3",0.88,0.8349742147210503
4,SVM-rbf,9,"f0,f1,f2,f3",0.855,0.7933663902662611
4,SVM-rbf,10,"f0,f1,f2,f3",0.865,0.8249184752052175
4,KNN,1,"f0,f1,f2,f3",0.81,0.750324464633355
4,KNN,2,"f0,f1,f2,f3",0.885,0.8632745591939547
4,KNN,3,"f0,f1,f2,f3",0.79,0.6983087834151663
4,KNN,4,"f0,f1,f2,f3",0.86,0.821656050955414
4,KNN,5,"f0,f1,f2,f3",0.85,0.8030888030888031
4,KNN,6,"f0,f1,f2,f3",0.84,0.7999702336657241
4,KNN,7,"f0,f1,f2,f3",0.855,0.8205796157603387
4,KNN,8,"f0,f1,f2,f3",0.835,0.7773423296028443
4,KNN,9,"f0,f1,f2,f3",0.805,0.7413814407512664
4,KNN,10,"f0,f1,f2,f3",0.85,0.8130224373075231
5,SVM-rbf,1,"f0,f1,f2,f3,f4",0.86,0.8087674714104193
5,SVM-rbf,2,"f0,f1,f2,f3,f4",0.895,0.8651673302485742
5,SVM-rbf,3,"f0,f1,f2,f3,f4",0.82,0.7410526315789474
5,SVM-rbf,4,"f0,f1,f2,f3,f4",0.865,0.8145766345123259
5,SVM-rbf,5,"f0,f1,f2,f3,f4",0.86,0.8026229508196722
5,SVM-rbf,6,"f0,f1,f2,f3,f4",0.855,0.8161631139944393
5,SVM-rbf,7,"f0,f1,f2,f3,f4",0.855,0.8161631139944393
5,SVM-rbf,8,"f0,f1,f2,f3,f4",0.91,0.8827319587628866
5,SVM-rbf,9,"f0,f1,f2,f3,f4",0.86,0.7992998833138856
5,SVM-rbf,10,"f0,f1,f2,f3,f4",0.88,0.8461538461538461
5,KNN,1,"f0,f1,f2,f3,f4",0.86,0.8259864142217082
5,KNN,2,"f0,f1,f2,f3,f4",0.885,0.8588369915739104
5,KNN,3,"f0,f1,f2,f3,f4",0.85,0.7973295183595613
5,KNN,4,"f0,f1,f2,f3,f4",0.835,0.7806043234205182
5,KNN,5,"f0,f1,f2,f3,f4",0.855,0.8086731741193719
5,KNN,6,"f0,f1,f2,f3,f4",0.825,0.7890410958904109
5,KNN,7,"f0,f1,f2,f3,f4",0.84,0.7974683544303797
5,KNN,8,"f0,f1,f2,f3,f4",0.9,0.8709677419354839
5,KNN,9,"f0,f1,f2,f3,f4",0.815,0.7520046054525268
5,KNN,10,"f0,f1,f2,f3,f4",0.865,0.8352903840050777
6,SVM-rbf,1,"f0,f1,f2,f3,f4,f5",0.885,0.8409703504043127
6,SVM-rbf,2,"f0,f1,f2,f3,f4,f5",0.965,0.9564628919467628
6,SVM-rbf,3,"f0,f1,f2,f3,f4,f5",0.915,0.8871804170444242
6,SVM-rbf,4,"f0,f1,f2,f3,f4,f5",0.905,0.8734498620055198
6,SVM-rbf,5,"f0,f1,f2,f3,f4,f5",0.94,0.9225700164744647
6,SVM-rbf,6,"f0,f1,f2,f3,f4,f5",0.91,0.8794879340788699
6,SVM-rbf,7,"f0,f1,f2,f3,f4,f5",0.915,0.8871804170444242
6,SVM-rbf,8,"f0,f1,f2,f3,f4,f5",0.95,0.9364548494983278
6,SVM-rbf,9,"f0,f1,f2,f3,f4,f5",0.92,0.8932714617169374
6,SVM-rbf,10,"f0,f1,f2,f3,f4,f5",0.94,0.9261393399685699
6,KNN,1,"f0,f1,f2,f3,f4,f5",0.885,0.8498838452745308
6,KNN,2,"f0,f1,f2,f3,f4,f5",0.925,0.9088340615657544
6,KNN,3,"f0,f1,f2,f3,f4,f5",0.905,0.8751769445755145
6,KNN,4,"f0,f1,f2,f3,f4,f5",0.875,0.8384356881716459
6,KNN,5,"f0,f1,f2,f3,f4,f5",0.92,0.8986784140969163
6,KNN,6,"f0,f1,f2,f3,f4,f5",0.89,0.8576
6,KNN,7,"f0,f1,f2,f3,f4,f5",0.925,0.9021198546788473
6,KNN,8,"f0,f1,f2,f3,f4,f5",0.935,0.9165149902125759
6,KNN,9,"f0,f1,f2,f3,f4,f5",0.92,0.8974216027874565
6,KNN,10,"f0,f1,f2,f3,f4,f5",0.91,0.8896077638495754
7,SVM-rbf,1,"f0,f1,f2,f3,f4,f5,f34",0.89,0.8493614402215726
7,SVM-rbf,2,"f0,f1,f2,f3,f4,f5,f34",0.955,0.9438803826189154
7,SVM-rbf,3,"f0,f1,f2,f3,f4,f5,f34",0.915,0.8871804170444242
7,SVM-rbf,4,"f0,f1,f2,f3,f4,f5,f34",0.905,0.8734498620055198
7,SVM-rbf,5,"f0,f1,f2,f3,f4,f5,f34",0.935,0.9154464192549825
7,SVM-rbf,6,"f0,f1,f2,f3,f4,f5,f34",0.915,0.8871804170444242
7,SVM-rbf,7,"f0,f1,f2,f3,f4,f5,f34",0.91,0.8794879340788699
7,SVM-rbf,8,"f0,f1,f2,f3,f4,f5,f34",0.95,0.9364548494983278
7,SVM-rbf,9,"f0,f1,f2,f3,f4,f5,f34",0.92,0.8932714617169374
7,SVM-rbf,10,"f0,f1,f2,f3,f4,f5,f34",0.945,0.9320032706459527
7,KNN,1,"f0,f1,f2,f3,f4,f5,f34",0.885,0.8498838452745308
7,KNN,2,"f0,f1,f2,f3,f4,f5,f34",0.935,0.9194366197183097
7,KNN,3,"f0,f1,f2,f3,f4,f5,f34",0.915,0.8886980787807235
7,KNN,4,"f0,f1,f2,f3,f4,f5,f34",0.885,0.8518505040212526
7,KNN,5,"f0,f1,f2,f3,f4,f5,f34",0.92,0.8974216027874565
7,KNN,6,"f0,f1,f2,f3,f4,f5,f34",0.89,0.8611544461778471
7,KNN,7,"f0,f1,f2,f3,f4,f5,f34",0.92,0.8961038961038961
7,KNN,8,"f0,f1,f2,f3,f4,f5,f34",0.955,0.9438803826189154
7,KNN,9,"f0,f1,f2,f3,f4,f5,f34",0.895,0.8651673302485742
7,KNN,10,"f0,f1,f2,f3,f4,f5,f34",0.9,0.8770323814728788
8,SVM-rbf,1,"f0,f1,f2,f3,f4,f5,f34,f56",0.89,0.8493614402215726
8,SVM-rbf,2,"f0,f1,f2,f3,f4,f5,f34,f56",0.94,0.9253079062375843
8,SVM-rbf,3,"f0,f1,f2,f3,f4,f5,f34,f56",0.92,0.8932714617169374
8,SVM-rbf,4,"f0,f1,f2,f3,f4,f5,f34,f56",0.91,0.8811493252067916
8,SVM-rbf,5,"f0,f1,f2,f3,f4,f5,f34,f56",0.935,0.9154464192549825
8,SVM-rbf,6,"f0,f1,f2,f3,f4,f5,f34,f56",0.915,0.8871804170444242
8,SVM-rbf,7,"f0,f1,f2,f3,f4,f5,f34,f56",0.92,0.8947217851523389
8,SVM-rbf,8,"f0,f1,f2,f3,f4,f5,f34,f56",0.945,0.9304193580775796
8,SVM-rbf,9,"f0,f1,f2,f3,f4,f5,f34,f56",0.915,0.8855871428046044
8,SVM-rbf,10,"f0,f1,f2,f3,f4,f5,f34,f56",0.95,0.9385987590486039
8,KNN,1,"f0,f1,f2,f3,f4,f5,f34,f56",0.865,0.8173607038123167
8,KNN,2,"f0,f1,f2,f3,f4,f5,f34,f56",0.925,0.90457030847003
8,KNN,3,"f0,f1,f2,f3,f4,f5,f34,f56",0.91,0.8794879340788699
8,KNN,4,"f0,f1,f2,f3,f4,f5,f34,f56",0.88,0.8461538461538461
8,KNN,5,"f0,f1,f2,f3,f4,f5,f34,f56",0.915,0.8901444260037429
8,KNN,6,"f0,f1,f2,f3,f4,f5,f34,f56",0.9,0.874143476436862
8,KNN,7,"f0,f1,f2,f3,f4,f5,f34,f56",0.915,0.8901444260037429
8,KNN,8,"f0,f1,f2,f3,f4,f5,f34,f56",0.96,0.9504580054186558
8,KNN,9,"f0,f1,f2,f3,f4,f5,f34,f56",0.895,0.8651673302485742
8,KNN,10,"f0,f1,f2,f3,f4,f5,f34,f56",0.91,0.8883587786259542
9,SVM-rbf,1,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.875,0.8235815960320981
9,SVM-rbf,2,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.94,0.9244372990353696
9,SVM-rbf,3,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.925,0.9008042895442359
9,SVM-rbf,4,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.89,0.8515767131594906
9,SVM-rbf,5,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.935,0.9154464192549825
9,SVM-rbf,6,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.915,0.8871804170444242
9,SVM-rbf,7,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.915,0.8871804170444242
9,SVM-rbf,8,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.945,0.9304193580775796
9,SVM-rbf,9,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.91,0.877742946708464
9,SVM-rbf,10,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.935,0.9194366197183097
9,KNN,1,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.875,0.8263819992856859
9,KNN,2,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.93,0.9115969581749048
9,KNN,3,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.895,0.8596078431372549
9,KNN,4,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.89,0.8536840532057989
9,KNN,5,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.915,0.8901444260037429
9,KNN,6,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.93,0.9093819599109132
9,KNN,7,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.9,0.8674716536592547
9,KNN,8,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.935,0.9185075927726191
9,KNN,9,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.9,0.8655913978494624
9,KNN,10,"f0,f1,f2,f3,f4,f5,f34,f56,f24",0.885,0.8537242643095828
10,SVM-rbf,1,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.875,0.8206305604526261
10,SVM-rbf,2,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.94,0.9244372990353696
10,SVM-rbf,3,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.92,0.8932714617169374
10,SVM-rbf,4,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.89,0.8515767131594906
10,SVM-rbf,5,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.925,0.9008042895442359
10,SVM-rbf,6,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.915,0.8871804170444242
10,SVM-rbf,7,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.905,0.8716359971632264
10,SVM-rbf,8,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.945,0.9304193580775796
10,SVM-rbf,9,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.91,0.877742946708464
10,SVM-rbf,10,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.945,0.9320032706459527
10,KNN,1,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.87,0.8175806451612903
10,KNN,2,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.93,0.9115969581749048
10,KNN,3,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.895,0.8596078431372549
10,KNN,4,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.89,0.8576
10,KNN,5,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.91,0.8827319587628866
10,KNN,6,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.915,0.8886980787807235
10,KNN,7,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.905,0.8751769445755145
10,KNN,8,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.94,0.9244372990353696
10,KNN,9,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.895,0.85541751605831
10,KNN,10,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30",0.89,0.8594198736358415
11,SVM-rbf,1,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.88,0.8323809523809523
11,SVM-rbf,2,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.945,0.9312295325989878
11,SVM-rbf,3,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.92,0.8947217851523389
11,SVM-rbf,4,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.885,0.8433688584510022
11,SVM-rbf,5,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.92,0.8932714617169374
11,SVM-rbf,6,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.905,0.8716359971632264
11,SVM-rbf,7,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.91,0.8794879340788699
11,SVM-rbf,8,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.95,0.9364548494983278
11,SVM-rbf,9,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.895,0.85541751605831
11,SVM-rbf,10,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.94,0.9253079062375843
11,KNN,1,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.9,0.8674716536592547
11,KNN,2,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.925,0.90457030847003
11,KNN,3,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.875,0.8315688161693936
11,KNN,4,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.885,0.8456492890995259
11,KNN,5,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.895,0.8634034666957375
11,KNN,6,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.865,0.822523652114442
11,KNN,7,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.905,0.8768222357534295
11,KNN,8,"f0,f1,f2,f3,f4,f5,f34,f56,f24,f30,f13",0.94,0.9225700164744647
