subset_k,model,fold,variables_incluidas,acc,gps
1,SVM-rbf,1,f0,0.68,0.0
1,SVM-rbf,2,f0,0.68,0.0
1,SVM-rbf,3,f0,0.68,0.0
1,SVM-rbf,4,f0,0.68,0.0
1,SVM-rbf,5,f0,0.68,0.0
1,SVM-rbf,6,f0,0.68,0.0
1,SVM-rbf,7,f0,0.68,0.0
1,SVM-rbf,8,f0,0.68,0.0
1,SVM-rbf,9,f0,0.68,0.0
1,SVM-rbf,10,f0,0.7,0.0
1,KNN,1,f0,0.74,0.6073469387755103
1,KNN,2,f0,0.74,0.6073469387755103
1,KNN,3,f0,0.62,0.46889089269612266
1,KNN,4,f0,0.64,0.43749999999999994
1,KNN,5,f0,0.52,0.13812154696132597
1,KNN,6,f0,0.64,0.37662337662337664
1,KNN,7,f0,0.64,0.48387096774193555
1,KNN,8,f0,0.7,0.5989304812834224
1,KNN,9,f0,0.6,0.4545454545454546
1,KNN,10,f0,0.64,0.4375
2,SVM-rbf,1,"f0,f1",0.68,0.0
2,SVM-rbf,2,"f0,f1",0.68,0.0
2,SVM-rbf,3,"f0,f1",0.68,0.0
2,SVM-rbf,4,"f0,f1",0.68,0.0
2,SVM-rbf,5,"f0,f1",0.68,0.0
2,SVM-rbf,6,"f0,f1",0.68,0.0
2,SVM-rbf,7,"f0,f1",0.68,0.0
2,SVM-rbf,8,"f0,f1",0.68,0.0
2,SVM-rbf,9,"f0,f1",0.68,0.0
2,SVM-rbf,10,"f0,f1",0.7,0.0
2,KNN,1,"f0,f1",0.64,0.37662337662337664
2,KNN,2,"f0,f1",0.68,0.5160142348754448
2,KNN,3,"f0,f1",0.58,0.2618181818181818
2,KNN,4,"f0,f1",0.62,0.28258221680876977
2,KNN,5,"f0,f1",0.7,0.5333333333333333
2,KNN,6,"f0,f1",0.62,0.28258221680876977
2,KNN,7,"f0,f1",0.48,0.2876712328767123
2,KNN,8,"f0,f1",0.64,0.29411764705882354
2,KNN,9,"f0,f1",0.64,0.37662337662337664
2,KNN,10,"f0,f1",0.54,0.0
3,SVM-rbf,1,"f0,f1,f2",0.68,0.0
