subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps
1,SVM-rbf,f0,0.5999999999999999,1.1102230246251565e-16,0.0,0.0
1,KNN,f0,0.5346666666666667,0.02659156090023882,0.44883614378227693,0.034742630185493936
2,SVM-rbf,"f0,f1",0.601,0.0039581140290126686,0.028403868886825407,0.02516556829191928
2,KNN,"f0,f1",0.5123333333333334,0.017387735140993302,0.4201751652875597,0.02490532158226408
3,SVM-rbf,"f0,f1,f2",0.6623333333333333,0.022363164156959367,0.5065941449685301,0.051092480259041374
3,KNN,"f0,f1,f2",0.6283333333333332,0.03373919580152042,0.5728448141463024,0.04892012036729905
4,SVM-rbf,"f0,f1,f2,f3",0.7030000000000001,0.03209188197798455,0.6144746505903841,0.04960717470576987
4,KNN,"f0,f1,f2,f3",0.6606666666666667,0.03179098404684362,0.6155605177805296,0.03847280597011526
5,SVM-rbf,"f0,f1,f2,f3,f4",0.7696666666666666,0.01968925256749649,0.7374683045109492,0.02299743297894886
5,KNN,"f0,f1,f2,f3,f4",0.7333333333333334,0.014681810363696835,0.7001586898211357,0.02114750238641781
6,SVM-rbf,"f0,f1,f2,f3,f4,f5",0.7796666666666667,0.017413277182145307,0.7503317460962144,0.021110059196775097
6,KNN,"f0,f1,f2,f3,f4,f5",0.7283333333333333,0.026130016796354676,0.6968272928996957,0.030646480527978012
7,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6",0.798,0.022271057451320075,0.7747973153861784,0.02611317486076497
7,KNN,"f0,f1,f2,f3,f4,f5,f6",0.7456666666666667,0.021809783737274123,0.7134091106938045,0.02562556440028132
8,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7",0.8176666666666668,0.02129423500491259,0.8029813046004689,0.023109611283600156
8,KNN,"f0,f1,f2,f3,f4,f5,f6,f7",0.7849999999999999,0.020883273476902768,0.7637146051122603,0.022435662784435116
9,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.8316666666666667,0.01765408356915382,0.8176617904171645,0.019882714781421715
9,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.7816666666666666,0.020883273476902785,0.7620899475462616,0.023216425047094976
10,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.8613333333333333,0.013759844960366857,0.850661958008294,0.01497439503752605
10,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.8093333333333333,0.015549205052920791,0.7913009380227753,0.016043240104030805
11,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.8993333333333334,0.014590712418826188,0.892965790871785,0.015734441165764945
11,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.8476666666666667,0.014302291968616628,0.83709611462935,0.014682604179567684
12,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.9163333333333334,0.010999999999999982,0.912086634169612,0.011778682607161691
12,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.8713333333333333,0.01024152766382481,0.8633707558092534,0.010461313516491362
13,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12",0.9286666666666665,0.01359738536958075,0.924861130265284,0.014683404085605273
13,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12",0.882,0.01687865186822955,0.8747916970471137,0.01782471048818095
14,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13",0.9369999999999999,0.010999999999999982,0.9333959781225405,0.011945668611507148
14,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13",0.8933333333333333,0.012382783747337813,0.8863907255455465,0.013456852187229154
15,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14",0.9433333333333334,0.015491933384829676,0.9404342922118956,0.016547194264937677
15,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14",0.8986666666666668,0.01720465053408524,0.8935604293285222,0.01828193940424766
16,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15",0.9566666666666667,0.011642832797715339,0.954518948987405,0.012513167937752975
16,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15",0.9206666666666667,0.013316656236958786,0.9163661185654206,0.014487233153960409
17,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16",0.9656666666666667,0.010225241100118647,0.9640392838056033,0.010886421022060975
17,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16",0.9266666666666667,0.012823589374447551,0.9232726571572595,0.01326573055011917
18,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17",0.9723333333333333,0.007895146188218013,0.9711031040211647,0.008242278959135403
18,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17",0.9403333333333332,0.013203534880225574,0.9376377196282875,0.013902117889226694
19,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18",0.978,0.007916228058025263,0.9770066687273313,0.008361148695703998
19,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18",0.9556666666666667,0.009073771725877474,0.9536676602397487,0.009804830750352959
