subset_k,model,variables_incluidas,mean_acc,std_acc,mean_gps,std_gps
1,SVM-rbf,f0,0.696,0.007999999999999964,0.0,0.0
1,KNN,f0,0.616,0.05425863986500215,0.2917795778741771,0.1228652767976381
2,SVM-rbf,"f0,f1",0.696,0.007999999999999964,0.0,0.0
2,KNN,"f0,f1",0.638,0.042379240200834195,0.3102778893608499,0.17108928424938308
3,SVM-rbf,"f0,f1,f2",0.694,0.009165151389911636,0.0,0.0
3,KNN,"f0,f1,f2",0.6859999999999999,0.036932370625238756,0.4381373242883499,0.11024871031551904
4,SVM-rbf,"f0,f1,f2,f3",0.704,0.011999999999999988,0.1269420509110044,0.10374578618357527
4,KNN,"f0,f1,f2,f3",0.6619999999999999,0.046000000000000006,0.40118284097236934,0.10928752133680023
5,SVM-rbf,"f0,f1,f2,f3,f4",0.708,0.013266499161421587,0.12927053870946523,0.1056024478139484
5,KNN,"f0,f1,f2,f3,f4",0.636,0.0656048778674269,0.36505383991253126,0.12882797616141123
6,SVM-rbf,"f0,f1,f2,f3,f4,f5",0.7,0.015491933384829638,0.06521739130434782,0.09962121075990957
6,KNN,"f0,f1,f2,f3,f4,f5",0.6300000000000001,0.06826419266350403,0.2953676468725951,0.12145621367264871
7,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6",0.7,0.019999999999999976,0.10084683991497286,0.1305860956035522
7,KNN,"f0,f1,f2,f3,f4,f5,f6",0.6459999999999999,0.059363288318623315,0.37586585783554244,0.13083936925416645
8,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7",0.7,0.02190890230020662,0.0735873850197109,0.1471747700394218
8,KNN,"f0,f1,f2,f3,f4,f5,f6,f7",0.6679999999999999,0.04749736834815167,0.391932020715708,0.09152176864366644
9,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.7,0.019999999999999976,0.12979227783990002,0.14465447775459084
9,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8",0.6839999999999999,0.05919459434779495,0.4277185908364534,0.15427148978535912
10,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.706,0.023748684174075822,0.1599014019900457,0.17270267887883803
10,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9",0.6779999999999999,0.05688585061331154,0.4247459471382399,0.15605319248294539
11,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.7019999999999998,0.020880613017821084,0.12747167182891278,0.16153701933244907
11,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10",0.6779999999999998,0.04599999999999999,0.3953507284274971,0.12812724580778403
12,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.7,0.026832815729997458,0.1286359157281432,0.16213782803389387
12,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11",0.646,0.03693237062523877,0.31370582320022006,0.1384355588434063
13,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12",0.704,0.02939387691339812,0.19451627808040498,0.17524060172207295
13,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12",0.6359999999999999,0.029393876913398162,0.34899694347472127,0.12239070144610402
14,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13",0.704,0.023323807579381177,0.20577775177502072,0.1784292173559205
14,KNN,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13",0.648,0.05528109984434101,0.39762382875567653,0.12399103275100488
15,SVM-rbf,"f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14",0.704,0.024979991993593572,0.24546744880049776,0.14641705003321387
