subset_k,model,fold,variables_incluidas,acc,gps
1,SVM-rbf,1,f0,0.69,0.6899550659515872
1,SVM-rbf,2,f0,0.61,0.6099360550909987
1,SVM-rbf,3,f0,0.71,0.7089752650176677
1,SVM-rbf,4,f0,0.65,0.6433610283743534
1,SVM-rbf,5,f0,0.65,0.6499461455608556
1,SVM-rbf,6,f0,0.59,0.5893736207774573
1,SVM-rbf,7,f0,0.65,0.6499461455608556
1,SVM-rbf,8,f0,0.61,0.6099360550909987
1,SVM-rbf,9,f0,0.67,0.6687640449438202
1,SVM-rbf,10,f0,0.62,0.6137704918032788
1,KNN,1,f0,0.66,0.6591737545565006
1,KNN,2,f0,0.61,0.6083950617283951
1,KNN,3,f0,0.66,0.66
1,KNN,4,f0,0.61,0.60942373994418
1,KNN,5,f0,0.65,0.649514712679094
1,KNN,6,f0,0.59,0.5882553191489363
1,KNN,7,f0,0.64,0.6397748592870545
1,KNN,8,f0,0.51,0.5075862068965517
1,KNN,9,f0,0.59,0.5893736207774573
1,KNN,10,f0,0.58,0.578838174273859
2,SVM-rbf,1,"f0,f1",0.74,0.7398593834505139
2,SVM-rbf,2,"f0,f1",0.7,0.6886120996441281
2,SVM-rbf,3,"f0,f1",0.73,0.7281754240794373
2,SVM-rbf,4,"f0,f1",0.7,0.6886120996441281
2,SVM-rbf,5,"f0,f1",0.66,0.6566707466340269
2,SVM-rbf,6,"f0,f1",0.64,0.6390977443609024
2,SVM-rbf,7,"f0,f1",0.68,0.6798116539140672
2,SVM-rbf,8,"f0,f1",0.67,0.6675687866486243
2,SVM-rbf,9,"f0,f1",0.7,0.6956521739130435
2,SVM-rbf,10,"f0,f1",0.64,0.6286266924564797
2,KNN,1,"f0,f1",0.7,0.6998284734133792
2,KNN,2,"f0,f1",0.7,0.6993127147766323
2,KNN,3,"f0,f1",0.71,0.7099591491759403
2,KNN,4,"f0,f1",0.65,0.6499461455608556
2,KNN,5,"f0,f1",0.66,0.66
2,KNN,6,"f0,f1",0.57,0.5681057268722466
2,KNN,7,"f0,f1",0.65,0.649514712679094
2,KNN,8,"f0,f1",0.61,0.6099360550909987
2,KNN,9,"f0,f1",0.52,0.514018691588785
2,KNN,10,"f0,f1",0.63,0.6285258964143425
3,SVM-rbf,1,"f0,f1,f2",0.74,0.74
3,SVM-rbf,2,"f0,f1,f2",0.7,0.6913580246913581
3,SVM-rbf,3,"f0,f1,f2",0.71,0.7096319277957975
3,SVM-rbf,4,"f0,f1,f2",0.7,0.6956521739130435
3,SVM-rbf,5,"f0,f1,f2",0.62,0.6177806619078521
3,SVM-rbf,6,"f0,f1,f2",0.6,0.5997331554369579
3,SVM-rbf,7,"f0,f1,f2",0.68,0.68
3,SVM-rbf,8,"f0,f1,f2",0.7,0.6972318339100347
3,SVM-rbf,9,"f0,f1,f2",0.72,0.716056338028169
3,SVM-rbf,10,"f0,f1,f2",0.65,0.6337143777169538
3,KNN,1,"f0,f1,f2",0.68,0.68
3,KNN,2,"f0,f1,f2",0.67,0.6687640449438202
3,KNN,3,"f0,f1,f2",0.71,0.7079846830236846
3,KNN,4,"f0,f1,f2",0.67,0.6687640449438202
3,KNN,5,"f0,f1,f2",0.65,0.649514712679094
3,KNN,6,"f0,f1,f2",0.62,0.6177806619078521
3,KNN,7,"f0,f1,f2",0.64,0.6379635449402891
3,KNN,8,"f0,f1,f2",0.69,0.6899550659515872
3,KNN,9,"f0,f1,f2",0.6,0.5989304812834225
3,KNN,10,"f0,f1,f2",0.62,0.62
4,SVM-rbf,1,"f0,f1,f2,f3",0.74,0.7394366197183099
4,SVM-rbf,2,"f0,f1,f2,f3",0.75,0.7483559253791437
4,SVM-rbf,3,"f0,f1,f2,f3",0.7,0.6972318339100347
4,SVM-rbf,4,"f0,f1,f2,f3",0.73,0.7188703465982028
4,SVM-rbf,5,"f0,f1,f2,f3",0.73,0.7290721649484535
4,SVM-rbf,6,"f0,f1,f2,f3",0.67,0.6687640449438202
4,SVM-rbf,7,"f0,f1,f2,f3",0.72,0.7198443579766537
4,SVM-rbf,8,"f0,f1,f2,f3",0.78,0.7771428571428571
4,SVM-rbf,9,"f0,f1,f2,f3",0.74,0.7387289516567085
4,SVM-rbf,10,"f0,f1,f2,f3",0.71,0.7049720590342456
4,KNN,1,"f0,f1,f2,f3",0.71,0.7089752650176677
4,KNN,2,"f0,f1,f2,f3",0.73,0.7269704945283282
4,KNN,3,"f0,f1,f2,f3",0.69,0.6888727272727273
4,KNN,4,"f0,f1,f2,f3",0.79,0.7897604866303385
4,KNN,5,"f0,f1,f2,f3",0.66,0.6566707466340269
4,KNN,6,"f0,f1,f2,f3",0.64,0.6342857142857142
4,KNN,7,"f0,f1,f2,f3",0.63,0.6251808972503617
4,KNN,8,"f0,f1,f2,f3",0.75,0.7499666622216296
4,KNN,9,"f0,f1,f2,f3",0.69,0.6899550659515872
4,KNN,10,"f0,f1,f2,f3",0.68,0.6782968657599053
5,SVM-rbf,1,"f0,f1,f2,f3,f4",0.8,0.8000000000000002
5,SVM-rbf,2,"f0,f1,f2,f3,f4",0.78,0.779887121600821
5,SVM-rbf,3,"f0,f1,f2,f3,f4",0.84,0.8393113342898135
5,SVM-rbf,4,"f0,f1,f2,f3,f4",0.79,0.7878245299910474
5,SVM-rbf,5,"f0,f1,f2,f3,f4",0.78,0.7795477903391571
5,SVM-rbf,6,"f0,f1,f2,f3,f4",0.72,0.7185929648241207
5,SVM-rbf,7,"f0,f1,f2,f3,f4",0.76,0.7594936708860758
5,SVM-rbf,8,"f0,f1,f2,f3,f4",0.79,0.7899734143562475
5,SVM-rbf,9,"f0,f1,f2,f3,f4",0.76,0.7568
5,SVM-rbf,10,"f0,f1,f2,f3,f4",0.73,0.7269704945283282
5,KNN,1,"f0,f1,f2,f3,f4",0.72,0.7198443579766537
5,KNN,2,"f0,f1,f2,f3,f4",0.73,0.7296667123851324
5,KNN,3,"f0,f1,f2,f3,f4",0.72,0.72
5,KNN,4,"f0,f1,f2,f3,f4",0.77,0.7692508143322474
5,KNN,5,"f0,f1,f2,f3,f4",0.74,0.7398593834505139
5,KNN,6,"f0,f1,f2,f3,f4",0.68,0.6769596199524941
5,KNN,7,"f0,f1,f2,f3,f4",0.71,0.7089752650176677
5,KNN,8,"f0,f1,f2,f3,f4",0.75,0.749699639567481
5,KNN,9,"f0,f1,f2,f3,f4",0.74,0.7364383561643835
5,KNN,10,"f0,f1,f2,f3,f4",0.67,0.6659616256232059
6,SVM-rbf,1,"f0,f1,f2,f3,f4,f5",0.79,0.7899734143562475
6,SVM-rbf,2,"f0,f1,f2,f3,f4,f5",0.83,0.8299795156042896
6,SVM-rbf,3,"f0,f1,f2,f3,f4,f5",0.8,0.8000000000000002
6,SVM-rbf,4,"f0,f1,f2,f3,f4,f5",0.81,0.8099765403136189
6,SVM-rbf,5,"f0,f1,f2,f3,f4,f5",0.82,0.8177777777777777
6,SVM-rbf,6,"f0,f1,f2,f3,f4,f5",0.77,0.7692508143322474
6,SVM-rbf,7,"f0,f1,f2,f3,f4,f5",0.81,0.8099765403136189
6,SVM-rbf,8,"f0,f1,f2,f3,f4,f5",0.78,0.7789799072642969
6,SVM-rbf,9,"f0,f1,f2,f3,f4,f5",0.81,0.8094117647058824
6,SVM-rbf,10,"f0,f1,f2,f3,f4,f5",0.7,0.6993127147766323
