feature,level,Hostility,N1,kDN
f0,0,0.34,0.495,0.5092
f0,1,0.328,0.494,0.48719999999999997
f0,dataset,0.334,0.4945,0.49820000000000003
f1,0,0.278,0.406,0.4092
f1,1,0.286,0.405,0.39
f1,dataset,0.282,0.4055,0.3996
f10,0,0.246,0.416,0.4152
f10,1,0.312,0.415,0.418
f10,dataset,0.279,0.4155,0.4166
f11,0,0.32,0.441,0.43
f11,1,0.274,0.441,0.4352
f11,dataset,0.297,0.441,0.43260000000000004
f12,0,0.314,0.544,0.5124
f12,1,0.37,0.544,0.5112
f12,dataset,0.342,0.544,0.5118
f13,0,0.346,0.425,0.4188
f13,1,0.316,0.424,0.42640000000000006
f13,dataset,0.331,0.4245,0.42260000000000003
f14,0,0.332,0.511,0.5127999999999999
f14,1,0.36,0.512,0.5096
f14,dataset,0.346,0.5115,0.5111999999999999
f15,0,0.37,0.439,0.4452
f15,1,0.254,0.439,0.4456
f15,dataset,0.312,0.439,0.4454
f16,0,0.34,0.404,0.41919999999999996
f16,1,0.306,0.405,0.42440000000000005
f16,dataset,0.323,0.4045,0.4218
f17,0,0.35,0.413,0.422
f17,1,0.304,0.412,0.42960000000000004
f17,dataset,0.327,0.4125,0.4258
f18,0,0.388,0.486,0.49319999999999997
f18,1,0.306,0.486,0.482
f18,dataset,0.347,0.486,0.48760000000000003
f19,0,0.29,0.417,0.42240000000000005
f19,1,0.302,0.417,0.4288
f19,dataset,0.296,0.417,0.42560000000000003
f2,0,0.372,0.429,0.424
f2,1,0.344,0.429,0.42160000000000003
f2,dataset,0.358,0.429,0.42280000000000006
f20,0,0.29,0.494,0.48719999999999997
f20,1,0.37,0.496,0.48719999999999997
f20,dataset,0.33,0.495,0.48719999999999997
f21,0,0.358,0.485,0.49760000000000004
f21,1,0.324,0.486,0.48119999999999996
f21,dataset,0.341,0.4855,0.48940000000000006
f22,0,0.38,0.531,0.5176000000000001
f22,1,0.328,0.532,0.5127999999999999
f22,dataset,0.354,0.5315,0.5152
f23,0,0.324,0.481,0.476
f23,1,0.318,0.482,0.48719999999999997
f23,dataset,0.321,0.4815,0.48160000000000003
f24,0,0.468,0.518,0.5076
f24,1,0.428,0.518,0.498
f24,dataset,0.448,0.518,0.5028
f25,0,0.296,0.486,0.504
f25,1,0.344,0.486,0.5004000000000001
f25,dataset,0.32,0.486,0.5022000000000001
f26,0,0.394,0.542,0.5112
f26,1,0.432,0.542,0.5108
f26,dataset,0.413,0.542,0.511
f27,0,0.352,0.499,0.4828
f27,1,0.338,0.5,0.5008
f27,dataset,0.345,0.4995,0.4918
f28,0,0.334,0.504,0.49960000000000004
f28,1,0.326,0.503,0.5016
f28,dataset,0.33,0.5035,0.5006
f29,0,0.37,0.499,0.5008
f29,1,0.338,0.498,0.5152
f29,dataset,0.354,0.4985,0.508
f3,0,0.308,0.449,0.444
f3,1,0.314,0.449,0.4424
f3,dataset,0.311,0.449,0.44320000000000004
f30,0,0.326,0.483,0.46840000000000004
f30,1,0.316,0.483,0.46640000000000004
f30,dataset,0.321,0.483,0.46740000000000004
f31,0,0.252,0.403,0.42319999999999997
f31,1,0.334,0.403,0.4176
f31,dataset,0.293,0.403,0.4204
f32,0,0.342,0.47,0.4756
f32,1,0.314,0.47,0.4716
f32,dataset,0.328,0.47,0.4736
f33,0,0.312,0.423,0.4168
f33,1,0.252,0.423,0.41240000000000004
f33,dataset,0.282,0.423,0.4146
f34,0,0.448,0.494,0.482
f34,1,0.398,0.494,0.48319999999999996
f34,dataset,0.423,0.494,0.48260000000000003
f35,0,0.254,0.424,0.42640000000000006
f35,1,0.346,0.423,0.42240000000000005
f35,dataset,0.3,0.4235,0.42440000000000005
f36,0,0.336,0.504,0.504
f36,1,0.364,0.506,0.5147999999999999
f36,dataset,0.35,0.505,0.5094000000000001
f37,0,0.282,0.506,0.492
f37,1,0.392,0.506,0.5044000000000001
f37,dataset,0.337,0.506,0.49820000000000003
f38,0,0.37,0.465,0.48719999999999997
f38,1,0.3,0.464,0.49040000000000006
f38,dataset,0.335,0.4645,0.4888
f39,0,0.38,0.492,0.48960000000000004
f39,1,0.404,0.492,0.4676
f39,dataset,0.392,0.492,0.4786
f4,0,0.316,0.528,0.504
f4,1,0.368,0.529,0.512
f4,dataset,0.342,0.5285,0.508
f40,0,0.392,0.427,0.4136
f40,1,0.282,0.426,0.4068
f40,dataset,0.337,0.4265,0.41020000000000006
f41,0,0.36,0.453,0.4484
f41,1,0.282,0.453,0.4588
f41,dataset,0.321,0.453,0.4536
f42,0,0.216,0.486,0.474
f42,1,0.424,0.48433333333333334,0.4728
f42,dataset,0.32,0.48516666666666663,0.4734
f43,0,0.378,0.503,0.522
f43,1,0.332,0.503,0.5096
f43,dataset,0.355,0.503,0.5157999999999999
f44,0,0.372,0.475,0.49319999999999997
f44,1,0.326,0.476,0.48440000000000005
f44,dataset,0.349,0.4755,0.48880000000000007
f45,0,0.352,0.509,0.512
f45,1,0.322,0.51,0.5072
f45,dataset,0.337,0.5095,0.5096
f46,0,0.292,0.476,0.48640000000000005
f46,1,0.37,0.477,0.4796
f46,dataset,0.331,0.4765,0.48300000000000004
f47,0,0.276,0.468,0.4928
f47,1,0.368,0.467,0.48640000000000005
f47,dataset,0.322,0.4675,0.48960000000000004
f48,0,0.398,0.475,0.47040000000000004
f48,1,0.262,0.475,0.48440000000000005
f48,dataset,0.33,0.475,0.47740000000000005
f49,0,0.32,0.503,0.5004000000000001
f49,1,0.376,0.504,0.4948
f49,dataset,0.348,0.5035,0.49760000000000004
f5,0,0.3,0.502,0.48319999999999996
f5,1,0.342,0.502,0.49319999999999997
f5,dataset,0.321,0.502,0.4882
f6,0,0.438,0.478,0.48919999999999997
f6,1,0.366,0.479,0.49760000000000004
f6,dataset,0.402,0.4785,0.49339999999999995
f7,0,0.296,0.508,0.5088
f7,1,0.36,0.507,0.5092
f7,dataset,0.328,0.5075,0.509
f8,0,0.39,0.518,0.504
f8,1,0.328,0.518,0.5207999999999999
f8,dataset,0.359,0.518,0.5124000000000001
f9,0,0.232,0.432,0.438
f9,1,0.36,0.433,0.4384
f9,dataset,0.296,0.4325,0.4382
