feature,level,Hostility,N1,kDN
f0,0,0.2396,0.4388,0.43463999999999997
f0,1,0.3728,0.439,0.43376000000000003
f0,dataset,0.3062,0.4389,0.4342
f1,0,0.2956,0.4924,0.48968
f1,1,0.3656,0.4924,0.4956
f1,dataset,0.3306,0.4924,0.49263999999999997
f10,0,0.2288,0.445,0.44592
f10,1,0.376,0.445,0.43976000000000004
f10,dataset,0.3024,0.445,0.44284000000000007
f11,0,0.3848,0.4984,0.48968
f11,1,0.4208,0.4982,0.49616000000000005
f11,dataset,0.4028,0.4983,0.49291999999999997
f12,0,0.4,0.4316,0.43888
f12,1,0.2332,0.4316,0.434
f12,dataset,0.3166,0.4316,0.43643999999999994
f13,0,0.26,0.43946666666666667,0.4416
f13,1,0.368,0.4398,0.44008
f13,dataset,0.314,0.4396333333333333,0.44083999999999995
f14,0,0.3272,0.4986,0.49543999999999994
f14,1,0.3532,0.4983333333333333,0.49512
f14,dataset,0.3402,0.4984666666666666,0.49527999999999994
f15,0,0.2916,0.4916,0.49072
f15,1,0.3892,0.4916,0.4944
f15,dataset,0.3404,0.4916,0.49256000000000005
f16,0,0.3084,0.4398,0.436
f16,1,0.3328,0.4398,0.43928
f16,dataset,0.3206,0.4398,0.43764
f17,0,0.3356,0.5052666666666666,0.50744
f17,1,0.334,0.5056,0.50112
f17,dataset,0.3348,0.5054333333333333,0.5042800000000001
f18,0,0.3592,0.4302,0.43616000000000005
f18,1,0.2876,0.4299333333333333,0.4404
f18,dataset,0.3234,0.4300666666666667,0.43828
f19,0,0.3044,0.4458666666666667,0.44928
f19,1,0.356,0.4461333333333333,0.44296
f19,dataset,0.3302,0.446,0.44611999999999996
f2,0,0.2964,0.5024,0.49432
f2,1,0.3752,0.5026,0.50024
f2,dataset,0.3358,0.5025,0.49728
f20,0,0.2768,0.449,0.4512
f20,1,0.3804,0.449,0.45311999999999997
f20,dataset,0.3286,0.449,0.45216000000000006
f21,0,0.3588,0.4968,0.49672
f21,1,0.3076,0.4968,0.48832
f21,dataset,0.3332,0.4968,0.49252000000000007
f22,0,0.3052,0.4354,0.43672
f22,1,0.3212,0.4354,0.4384
f22,dataset,0.3132,0.4354,0.43756000000000006
f23,0,0.3056,0.4999333333333333,0.4928
f23,1,0.3624,0.4993333333333333,0.49816000000000005
f23,dataset,0.334,0.4996333333333334,0.4954799999999999
f24,0,0.356,0.5014,0.50408
f24,1,0.3196,0.5016,0.49863999999999997
f24,dataset,0.3378,0.5015,0.50136
f25,0,0.3432,0.4959333333333333,0.50016
f25,1,0.3368,0.496,0.5029600000000001
