method,informative_total,caught_informative,recall_informative,extended_recall_informative,caught_redundant_linear,caught_redundant_nonlinear,caught_noise,redundant_f,redundant_f_%
mutual_info,5000.0,2641.0,0.5282,0.7496,795.0,804.0,760.0,453.0,0.0906
f_classif,5000.0,2647.0,0.5294,0.7154,781.0,774.0,798.0,629.0,0.1258
rf,5000.0,2633.0,0.5266,0.7412,789.0,798.0,780.0,450.0,0.09
relief,5000.0,2447.0,0.4894,0.683,769.0,875.0,909.0,600.0,0.12
xgb,5000.0,4397.0,0.8794,0.893,278.0,39.0,286.0,254.0,0.0508
complexity_Hostility,5000.0,2628.0,0.5256,0.7486,779.0,820.0,773.0,458.0,0.0916
complexity_N1,5000.0,2619.0,0.5238,0.7434,803.0,779.0,799.0,425.0,0.085
complexity_kDN,5000.0,2640.0,0.528,0.7452,773.0,776.0,811.0,451.0,0.0902
