method,informative_total,caught_informative,recall_informative,extended_recall_informative,caught_redundant_linear,caught_redundant_nonlinear,caught_noise,redundant_f,redundant_f_%
mutual_info,300.0,150.0,0.5,0.7433333333333333,59.0,51.0,40.0,36.0,0.12
f_classif,300.0,144.0,0.48,0.67,51.0,46.0,59.0,35.0,0.11666666666666667
rf,300.0,139.0,0.4633333333333333,0.6933333333333334,55.0,46.0,60.0,28.0,0.09333333333333334
relief,300.0,108.0,0.36,0.6166666666666667,47.0,61.0,84.0,33.0,0.11
xgb,300.0,136.0,0.4533333333333333,0.7233333333333334,53.0,53.0,58.0,23.0,0.07666666666666666
complexity_Hostility,300.0,159.0,0.53,0.7266666666666667,44.0,42.0,55.0,30.0,0.1
complexity_N1,300.0,152.0,0.5066666666666667,0.7033333333333334,44.0,47.0,57.0,22.0,0.07333333333333333
complexity_kDN,300.0,156.0,0.52,0.73,41.0,42.0,61.0,25.0,0.08333333333333333
