method,informative_total,caught_informative,recall_informative,extended_recall_informative,caught_redundant_linear,caught_redundant_nonlinear,caught_noise,redundant_f,redundant_f_%
mutual_info,25.0,9.0,0.36,0.36,0.0,3.0,13.0,3.0,0.12
f_classif,25.0,11.0,0.44,0.44,3.0,0.0,11.0,3.0,0.12
rf,25.0,6.0,0.24,0.24,3.0,1.0,15.0,4.0,0.16
relief,25.0,5.0,0.2,0.36,2.0,3.0,15.0,2.0,0.08
xgb,25.0,8.0,0.32,0.48,2.0,2.0,13.0,2.0,0.08
complexity_Hostility,25.0,14.0,0.56,0.72,5.0,2.0,4.0,2.0,0.08
complexity_N1,25.0,15.0,0.6,0.72,5.0,4.0,1.0,5.0,0.2
complexity_kDN,25.0,15.0,0.6,0.76,6.0,4.0,0.0,5.0,0.2
