feature,level,Hostility,N1,kDN
f0,0,0.6366685299049748,0.6377864728898827,0.6383454443823365
f0,1,0.18312052320149486,0.3551853005294301,0.3539707256306447
f0,dataset,0.3454,0.4563,0.45571999999999996
f1,0,0.6607043040804919,0.6492453884851872,0.6384572386808273
f1,1,0.16630333229523514,0.3618810339458113,0.35976331360946745
f1,dataset,0.3432,0.4647,0.45948
f10,0,0.6679709334823924,0.6361095584125209,0.6419228619340415
f10,1,0.1853005294300841,0.35409529741513546,0.36063531610090316
f10,dataset,0.358,0.455,0.46128
f100,0,0.6707657909446618,0.6528787031861375,0.649636668529905
f100,1,0.17533478667081906,0.36374961071317347,0.3581438804110869
f100,dataset,0.3526,0.4672,0.46243999999999996
f101,0,0.6450531022917831,0.6377864728898827,0.640581330352152
f101,1,0.18467767050763,0.35539292017024815,0.35502958579881655
f101,dataset,0.3494,0.4564333333333333,0.4572
f102,0,0.6629401900503075,0.6327557294577977,0.6424818334264953
f102,1,0.17751479289940827,0.3522267206477733,0.35789473684210527
f102,dataset,0.3512,0.4526,0.45971999999999996
f103,0,0.655114589155953,0.6461710452766909,0.6353269983230855
f103,1,0.17408906882591094,0.35985674244783555,0.35758330738087823
f103,dataset,0.3462,0.4623,0.45696000000000003
f104,0,0.6607043040804919,0.6372275013974288,0.6469536053661263
f104,1,0.18000622858922455,0.3551853005294301,0.36181874805356584
f104,dataset,0.352,0.4561,0.46384000000000003
f105,0,0.6674119619899385,0.6327557294577977,0.6434879821129122
f105,1,0.17066334475241357,0.3525381501090003,0.3613204609156026
f105,dataset,0.3484,0.4528,0.46228
f106,0,0.6847400782560089,0.6271660145332588,0.6335382895472331
f106,1,0.1709747742136406,0.34926814076611645,0.35646216132046094
f106,dataset,0.3548,0.4487,0.4556
f107,0,0.6640581330352152,0.6629401900503075,0.6541084404695361
f107,1,0.18903768296480847,0.36935534101526,0.35421986919962634
f107,dataset,0.359,0.4744,0.4615199999999999
f108,0,0.6500838457238681,0.6419787590832867,0.6420346562325321
f108,1,0.18280909374026783,0.35752102148863285,0.3565244472127063
f108,dataset,0.35,0.4593,0.4586800000000001
f109,0,0.6752375628842929,0.6416992733370598,0.6447177193963108
f109,1,0.1728433509810028,0.35752102148863285,0.35689816256617873
f109,dataset,0.3526,0.4592,0.4598799999999999
f11,0,0.6433761878144215,0.6285634432643935,0.6353269983230855
f11,1,0.18218623481781376,0.3499429045987751,0.35216443475552783
f11,dataset,0.3472,0.44963333333333333,0.45348
f110,0,0.640581330352152,0.630799329234209,0.6324203465623254
f110,1,0.18467767050763,0.3512924322640922,0.3487387106820305
f110,dataset,0.3478,0.4513,0.45024000000000003
f111,0,0.6780324203465623,0.6411403018446059,0.6413638904415875
f111,1,0.1756462161320461,0.3573653067580193,0.3533478667081906
