method,informative_total,caught_informative,recall_informative,extended_recall_informative,caught_redundant_linear,caught_redundant_nonlinear,caught_noise,redundant_f,redundant_f_%
mutual_info,70.0,38.0,0.5428571428571428,0.6714285714285714,11.0,5.0,16.0,4.0,0.05714285714285714
f_classif,70.0,20.0,0.2857142857142857,0.6,14.0,18.0,18.0,11.0,0.15714285714285714
rf,70.0,23.0,0.32857142857142857,0.7,17.0,18.0,12.0,7.0,0.1
relief,70.0,20.0,0.2857142857142857,0.6,14.0,12.0,24.0,1.0,0.014285714285714285
xgb,70.0,25.0,0.35714285714285715,0.7285714285714285,19.0,12.0,14.0,5.0,0.07142857142857142
complexity_Hostility,70.0,26.0,0.37142857142857144,0.6714285714285714,16.0,11.0,17.0,9.0,0.12857142857142856
complexity_N1,70.0,29.0,0.4142857142857143,0.7714285714285715,12.0,17.0,12.0,2.0,0.02857142857142857
complexity_kDN,70.0,27.0,0.38571428571428573,0.7428571428571429,13.0,17.0,13.0,3.0,0.04285714285714286
