method,informative_total,caught_informative,recall_informative,extended_recall_informative,caught_redundant_linear,caught_redundant_nonlinear,caught_noise,redundant_f,redundant_f_%
mutual_info,25.0,3.0,0.12,0.64,7.0,1.0,14.0,0.0,0.0
f_classif,25.0,4.0,0.16,0.56,4.0,2.0,15.0,0.0,0.0
rf,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
relief,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
xgb,25.0,1.0,0.04,0.56,3.0,5.0,16.0,0.0,0.0
complexity_Hostility,25.0,6.0,0.24,0.8,6.0,10.0,3.0,0.0,0.0
complexity_N1,25.0,4.0,0.16,0.68,10.0,8.0,3.0,2.0,0.08
complexity_kDN,25.0,7.0,0.28,0.72,9.0,9.0,0.0,3.0,0.12
