method,informative_total,caught_informative,recall_informative,extended_recall_informative,caught_redundant_linear,caught_redundant_nonlinear,caught_noise,redundant_f,redundant_f_%
mutual_info,8.0,1.0,0.125,0.125,0.0,0.0,7.0,0.0,0.0
f_classif,8.0,1.0,0.125,0.25,1.0,0.0,6.0,0.0,0.0
rf,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
relief,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
xgb,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
complexity_Hostility,8.0,5.0,0.625,0.75,1.0,2.0,0.0,2.0,0.25
complexity_N1,8.0,5.0,0.625,0.75,1.0,2.0,0.0,2.0,0.25
complexity_kDN,8.0,5.0,0.625,0.75,2.0,1.0,0.0,2.0,0.25
