method,informative_total,caught_informative,recall_informative,extended_recall_informative,caught_redundant_linear,caught_redundant_nonlinear,caught_noise,redundant_f,redundant_f_%
mutual_info,20.0,9.0,0.45,0.6,2.0,2.0,7.0,2.0,0.1
f_classif,20.0,9.0,0.45,0.55,2.0,1.0,8.0,1.0,0.05
rf,20.0,3.0,0.15,0.45,2.0,5.0,10.0,0.0,0.0
relief,20.0,3.0,0.15,0.55,1.0,6.0,10.0,1.0,0.05
xgb,20.0,4.0,0.2,0.55,2.0,5.0,9.0,0.0,0.0
complexity_Hostility,20.0,11.0,0.55,0.75,4.0,3.0,2.0,2.0,0.1
complexity_N1,20.0,11.0,0.55,0.9,5.0,4.0,0.0,1.0,0.05
complexity_kDN,20.0,11.0,0.55,0.8,5.0,4.0,0.0,3.0,0.15
