feature,level,Hostility,N1,kDN
f0,0,0.500402900886382,0.556809024979855,0.5693795326349718
f0,1,0.2546901648664014,0.3923630850862232,0.39681637293917
f0,dataset,0.35633333333333334,0.46038888888888885,0.46819999999999995
f1,0,0.5858178887993554,0.5737308622078968,0.579532634971797
f1,1,0.2581011938601478,0.4044911881750995,0.415349630471859
f1,dataset,0.39366666666666666,0.4745,0.48326666666666673
f10,0,0.5560032232070911,0.5633897394574268,0.5737308622078968
f10,1,0.26606026151222284,0.39738487777146103,0.3985218874360432
f10,dataset,0.386,0.46605555555555556,0.471
f100,0,0.5624496373892023,0.5632554391619662,0.5767929089443997
f100,1,0.2558271745309835,0.3976691301876066,0.4051165434906197
f100,dataset,0.38266666666666665,0.4661666666666667,0.47613333333333335
f101,0,0.5656728444802579,0.5753424657534246,0.5874294923448832
f101,1,0.23706651506537807,0.4059124502558272,0.4070494599204093
f101,dataset,0.373,0.476,0.4816666666666667
f102,0,0.5535858178887993,0.5918614020950846,0.5816277195809831
f102,1,0.24388857305287096,0.4171877960962668,0.4123934053439454
f102,dataset,0.372,0.4894444444444445,0.4824
f103,0,0.5680902497985496,0.5749395648670427,0.5846897663174859
f103,1,0.2495736213757817,0.4059124502558272,0.4096645821489483
f103,dataset,0.38133333333333336,0.47583333333333333,0.4820666666666667
f104,0,0.5358581788879936,0.5930701047542305,0.5729250604351329
f104,1,0.2586696986924389,0.41813530415008526,0.39874928936895965
f104,dataset,0.37333333333333335,0.4905,0.47080000000000005
f105,0,0.508460918614021,0.580983078162772,0.5748589846897663
f105,1,0.2643547470153496,0.4094182300549554,0.39874928936895965
f105,dataset,0.36533333333333334,0.48038888888888887,0.47159999999999996
f106,0,0.5624496373892023,0.5789685737308622,0.5796937953263497
f106,1,0.2637862421830586,0.408470722001137,0.4136441159749858
f106,dataset,0.3873333333333333,0.479,0.48233333333333334
f107,0,0.5511684125705076,0.580177276390008,0.5774375503626108
f107,1,0.25241614553723707,0.4096077316657192,0.4076179647527004
f107,dataset,0.376,0.4801666666666667,0.47786666666666666
f108,0,0.5318291700241741,0.5817888799355359,0.5759871071716358
f108,1,0.2853894258101194,0.40970248247110097,0.40795906765207507
f108,dataset,0.3873333333333333,0.4808888888888889,0.4774666666666667
f109,0,0.5463336019339242,0.5761482675261885,0.5687348912167607
f109,1,0.26833428084138716,0.4061967026719727,0.4004548038658328
f109,dataset,0.38333333333333336,0.4765,0.47006666666666663
f11,0,0.5560032232070911,0.5777598710717163,0.5837228041901692
f11,1,0.2654917566799318,0.40733371233655485,0.41250710631040366
f11,dataset,0.38566666666666666,0.47783333333333333,0.48333333333333334
f110,0,0.5269943593875906,0.5705076551168412,0.5624496373892023
f110,1,0.25639567936327456,0.40278567367822626,0.39693007390562823
f110,dataset,0.36833333333333335,0.4721666666666667,0.46540000000000004
f111,0,0.5511684125705076,0.564867042707494,0.5751813053988718
f111,1,0.2643547470153496,0.39909039226833426,0.4069357589539511
f111,dataset,0.383,0.4676666666666667,0.4765333333333333
f112,0,0.5785656728444802,0.5962933118452861,0.5859790491539082
f112,1,0.2558271745309835,0.42069357589539513,0.4161455372370665
f112,dataset,0.3893333333333333,0.49333333333333335,0.48639999999999994
f113,0,0.5318291700241741,0.5745366639806607,0.5837228041901692
f113,1,0.28140989198408184,0.4050596930073906,0.41398521887436046
f113,dataset,0.385,0.4751666666666667,0.48419999999999996
f114,0,0.572119258662369,0.5922643029814666,0.5755036261079775
f114,1,0.2757248436611711,0.41813530415008526,0.4133030130756111
f114,dataset,0.3983333333333333,0.49016666666666664,0.48039999999999994
f12,0,0.5737308622078968,0.5850120870265915,0.5856567284448027
f12,1,0.25753268902785675,0.4133030130756111,0.4100056850483229
f12,dataset,0.3883333333333333,0.48433333333333334,0.4826666666666667
f13,0,0.5551974214343272,0.5850120870265915,0.580983078162772
f13,1,0.27288231949971575,0.4127345082433201,0.4127345082433201
f13,dataset,0.38966666666666666,0.484,0.48233333333333334
f14,0,0.5535858178887993,0.5966962127316681,0.5882352941176471
f14,1,0.25525866969869243,0.42069357589539513,0.4147811256395679
f14,dataset,0.37866666666666665,0.4935,0.4865333333333333
f15,0,0.5463336019339242,0.5902497985495568,0.5880741337630943
f15,1,0.29732802728823193,0.4167140420693576,0.41546333143831726
f15,dataset,0.4003333333333333,0.4885,0.4868666666666666
f16,0,0.6051571313456889,0.5761482675261885,0.5798549556809025
f16,1,0.28197839681637293,0.40676520750426376,0.4136441159749858
f16,dataset,0.4156666666666667,0.47683333333333333,0.4824
f17,0,0.5439161966156325,0.5926672038678485,0.5835616438356165
f17,1,0.2694712905059693,0.4189880613985219,0.4096645821489483
f17,dataset,0.383,0.49083333333333334,0.4816000000000001
f18,0,0.580983078162772,0.5934730056406124,0.5763094278807414
f18,1,0.2495736213757817,0.41870380898237636,0.4158044343376919
f18,dataset,0.38666666666666666,0.491,0.4822000000000001
f19,0,0.580177276390008,0.5769540692989524,0.5756647864625302
f19,1,0.2427515633882888,0.4070494599204093,0.41102899374644686
f19,dataset,0.38233333333333336,0.47733333333333333,0.47913333333333336
f2,0,0.6027397260273972,0.5825946817082998,0.5941982272360999
f2,1,0.251847640704946,0.41102899374644686,0.41432632177373513
f2,dataset,0.397,0.482,0.48873333333333335
f20,0,0.540692989524577,0.5772226698898738,0.5666398066075746
f20,1,0.24673109721432632,0.4070494599204093,0.3992040932347925
f20,dataset,0.36833333333333335,0.4774444444444445,0.4684666666666667
f21,0,0.5471394037066881,0.5797743755036261,0.5751813053988719
f21,1,0.2609437180216032,0.40875497441728254,0.4068220579874929
f21,dataset,0.37933333333333336,0.4795,0.4764666666666667
f22,0,0.5471394037066881,0.5793714746172441,0.5885576148267526
f22,1,0.2404775440591245,0.40875497441728254,0.4081864695849915
f22,dataset,0.36733333333333335,0.47933333333333333,0.4828
f23,0,0.5269943593875906,0.5858178887993554,0.5775987107171635
f23,1,0.2626492325184764,0.4133030130756111,0.4090960773166572
f23,dataset,0.372,0.4846666666666667,0.4788
f24,0,0.5463336019339242,0.5785656728444802,0.5737308622078968
f24,1,0.2495736213757817,0.408470722001137,0.4090960773166572
f24,dataset,0.37233333333333335,0.47883333333333333,0.47720000000000007
f25,0,0.613215149073328,0.5878323932312651,0.5950040290088638
f25,1,0.2689027856736782,0.4144400227401933,0.41705514496873225
f25,dataset,0.41133333333333333,0.4861666666666667,0.49066666666666664
f26,0,0.6116035455278002,0.6059629331184528,0.6019339242546333
f26,1,0.25127913587265494,0.427515633882888,0.4196702671972712
f26,dataset,0.4003333333333333,0.5013333333333333,0.49506666666666665
f27,0,0.5269943593875906,0.572119258662369,0.5740531829170024
f27,1,0.2654917566799318,0.4030699260943718,0.40920977828311544
f27,dataset,0.37366666666666665,0.473,0.4774
f28,0,0.5737308622078968,0.5950846091861403,0.5932312651087833
f28,1,0.2694712905059693,0.41955656623081294,0.41603183627060836
f28,dataset,0.3953333333333333,0.49216666666666664,0.48933333333333334
f29,0,0.515713134568896,0.5829975825946817,0.5834004834810637
f29,1,0.25298465036952816,0.41102899374644686,0.41432632177373513
f29,dataset,0.3616666666666667,0.4821666666666667,0.4842666666666667
f3,0,0.5463336019339242,0.5962933118452861,0.5888799355358583
f3,1,0.289937464468448,0.4202198218684859,0.4106878908470722
f3,dataset,0.396,0.4930555555555556,0.4844
f30,0,0.5519742143432715,0.5797743755036261,0.5732473811442385
f30,1,0.24843661171119955,0.40932347924957363,0.41318931210915294
f30,dataset,0.374,0.47983333333333333,0.4794
f31,0,0.547945205479452,0.5829975825946817,0.5834004834810637
f31,1,0.2581011938601478,0.4115974985787379,0.4204661739624787
f31,dataset,0.378,0.4825,0.4878666666666667
f32,0,0.5713134568896051,0.5793714746172441,0.5882352941176471
f32,1,0.2626492325184764,0.4090392268334281,0.42012507106310404
f32,dataset,0.3903333333333333,0.4795,0.48966666666666664
f33,0,0.5874294923448832,0.588638195004029,0.583883964544722
f33,1,0.24729960204661738,0.41557703240477545,0.41625923820352473
f33,dataset,0.388,0.4871666666666667,0.4856000000000001
f34,0,0.5729250604351329,0.5737308622078968,0.5896857373086221
f34,1,0.27345082433200685,0.40477544059124504,0.4133030130756111
f34,dataset,0.3973333333333333,0.4746666666666667,0.48626666666666674
f35,0,0.5769540692989524,0.5882352941176471,0.5824335213537469
f35,1,0.25525866969869243,0.4144400227401933,0.40977828311540654
f35,dataset,0.3883333333333333,0.48633333333333334,0.48119999999999996
f36,0,0.5527800161160354,0.5874294923448832,0.589041095890411
f36,1,0.2700397953382604,0.4147242751563388,0.4222853894258102
f36,dataset,0.387,0.4861666666666667,0.49126666666666663
f37,0,0.5753424657534246,0.5789685737308622,0.5822723609991942
f37,1,0.2689027856736782,0.40875497441728254,0.41557703240477545
f37,dataset,0.39566666666666667,0.4791666666666667,0.48453333333333337
f38,0,0.5511684125705076,0.6099919419822724,0.5879129734085415
f38,1,0.25525866969869243,0.43007390562819786,0.4188743604320637
f38,dataset,0.37766666666666665,0.5045,0.4888
f39,0,0.5834004834810637,0.5995165189363416,0.5883964544721999
f39,1,0.2643547470153496,0.42268334280841385,0.4152359295054008
f39,dataset,0.3963333333333333,0.49583333333333335,0.4868666666666666
f4,0,0.5672844480257857,0.5616438356164384,0.5711522965350524
f4,1,0.2654917566799318,0.39738487777146103,0.40420693575895394
f4,dataset,0.3903333333333333,0.4653333333333333,0.47326666666666656
f40,0,0.5100725221595488,0.5705076551168412,0.5751813053988719
f40,1,0.2541216600341103,0.4030699260943718,0.41250710631040366
f40,dataset,0.36,0.4723333333333333,0.4798
f41,0,0.5495568090249798,0.5987107171635777,0.5950040290088638
f41,1,0.2757248436611711,0.42183058555997727,0.41944286526435476
f41,dataset,0.389,0.495,0.4920666666666666
f42,0,0.5560032232070911,0.580177276390008,0.5769540692989524
