method,informative_total,caught_informative,recall_informative,extended_recall_informative,caught_redundant_linear,caught_redundant_nonlinear,caught_noise,redundant_f,redundant_f_%
mutual_info,40.0,19.0,0.475,0.65,5.0,6.0,10.0,3.0,0.075
f_classif,40.0,19.0,0.475,0.6,5.0,5.0,11.0,4.0,0.1
rf,40.0,15.0,0.375,0.55,5.0,5.0,15.0,2.0,0.05
relief,40.0,9.0,0.225,0.6,6.0,10.0,15.0,1.0,0.025
xgb,40.0,15.0,0.375,0.7,6.0,6.0,13.0,0.0,0.0
complexity_Hostility,40.0,20.0,0.5,0.75,11.0,4.0,5.0,4.0,0.1
complexity_N1,40.0,19.0,0.475,0.7,9.0,9.0,3.0,6.0,0.15
complexity_kDN,40.0,19.0,0.475,0.7,9.0,9.0,3.0,9.0,0.225
