method,informative_total,caught_informative,recall_informative,extended_recall_informative,caught_redundant_linear,caught_redundant_nonlinear,caught_noise,redundant_f,redundant_f_%
mutual_info,10.0,6.0,0.6,0.8,2.0,0.0,2.0,0.0,0.0
f_classif,10.0,5.0,0.5,0.7,2.0,2.0,1.0,0.0,0.0
rf,10.0,6.0,0.6,0.8,2.0,0.0,2.0,0.0,0.0
relief,10.0,5.0,0.5,0.7,2.0,1.0,2.0,0.0,0.0
xgb,10.0,6.0,0.6,0.9,2.0,0.0,2.0,0.0,0.0
complexity_Hostility,10.0,5.0,0.5,0.8,3.0,2.0,0.0,1.0,0.1
complexity_N1,10.0,4.0,0.4,0.8,4.0,2.0,0.0,1.0,0.1
complexity_kDN,10.0,5.0,0.5,0.7,3.0,2.0,0.0,1.0,0.1
