method,informative_total,caught_informative,recall_informative,extended_recall_informative,caught_redundant_linear,caught_redundant_nonlinear,caught_noise,redundant_f,redundant_f_%
mutual_info,300.0,178.0,0.5933333333333334,0.75,42.0,37.0,43.0,32.0,0.10666666666666667
f_classif,300.0,186.0,0.62,0.7333333333333333,39.0,32.0,43.0,33.0,0.11
rf,300.0,189.0,0.63,0.7633333333333333,37.0,36.0,38.0,33.0,0.11
relief,300.0,174.0,0.58,0.7133333333333334,34.0,40.0,52.0,31.0,0.10333333333333333
xgb,300.0,181.0,0.6033333333333334,0.76,42.0,37.0,40.0,23.0,0.07666666666666666
complexity_Hostility,300.0,194.0,0.6466666666666666,0.75,33.0,36.0,37.0,39.0,0.13
complexity_N1,300.0,195.0,0.65,0.7766666666666666,35.0,37.0,33.0,28.0,0.09333333333333334
complexity_kDN,300.0,189.0,0.63,0.7433333333333333,35.0,42.0,34.0,38.0,0.12666666666666668
