feature,level,Hostility,N1,kDN
f0,0,0.35,0.508,0.5132000000000001
f0,1,0.304,0.507,0.5044000000000001
f0,dataset,0.327,0.5075,0.5087999999999999
f1,0,0.33,0.435,0.4456
f1,1,0.282,0.435,0.43760000000000004
f1,dataset,0.306,0.435,0.44160000000000005
f10,0,0.386,0.492,0.48840000000000006
f10,1,0.272,0.492,0.49560000000000004
f10,dataset,0.329,0.492,0.492
f11,0,0.308,0.487,0.4716
f11,1,0.33,0.487,0.46440000000000003
f11,dataset,0.319,0.487,0.4680000000000001
f12,0,0.358,0.46,0.4668
f12,1,0.322,0.46,0.4736
f12,dataset,0.34,0.46,0.47020000000000006
f13,0,0.352,0.473,0.48719999999999997
f13,1,0.324,0.474,0.49119999999999997
f13,dataset,0.338,0.4735,0.4892
f14,0,0.384,0.5,0.5004000000000001
f14,1,0.322,0.5,0.5108
f14,dataset,0.353,0.5,0.5056
f15,0,0.42,0.502,0.5036
f15,1,0.448,0.503,0.5048
f15,dataset,0.434,0.5025,0.5042
f16,0,0.382,0.49,0.5
f16,1,0.272,0.49,0.49760000000000004
f16,dataset,0.327,0.49,0.4988
f17,0,0.362,0.485,0.48360000000000003
f17,1,0.29,0.484,0.5024000000000001
f17,dataset,0.326,0.4845,0.493
f18,0,0.38,0.504,0.5084000000000001
f18,1,0.312,0.504,0.508
f18,dataset,0.346,0.504,0.5082000000000001
f19,0,0.348,0.521,0.51
f19,1,0.338,0.521,0.5147999999999999
f19,dataset,0.343,0.521,0.5124000000000001
f2,0,0.356,0.543,0.5052
f2,1,0.346,0.543,0.498
f2,dataset,0.351,0.543,0.5016
f20,0,0.3,0.48,0.51
f20,1,0.378,0.479,0.5008
f20,dataset,0.339,0.4795,0.5054
f21,0,0.45,0.497,0.472
f21,1,0.33,0.496,0.482
f21,dataset,0.39,0.4965,0.477
f22,0,0.392,0.528,0.5048
f22,1,0.312,0.527,0.5144
f22,dataset,0.352,0.5275,0.5096
f23,0,0.34,0.483,0.488
f23,1,0.33,0.483,0.49319999999999997
f23,dataset,0.335,0.483,0.49060000000000004
f24,0,0.29,0.477,0.48040000000000005
f24,1,0.352,0.478,0.488
f24,dataset,0.321,0.4775,0.4842
f25,0,0.412,0.5,0.49319999999999997
f25,1,0.306,0.501,0.5147999999999999
f25,dataset,0.359,0.5005,0.504
f26,0,0.358,0.469,0.4696
f26,1,0.4,0.469,0.4632
f26,dataset,0.379,0.469,0.4664
f27,0,0.356,0.496,0.508
f27,1,0.336,0.496,0.5012
f27,dataset,0.346,0.496,0.5046
f28,0,0.258,0.486,0.49
f28,1,0.374,0.485,0.4848
f28,dataset,0.316,0.4855,0.48740000000000006
f29,0,0.354,0.491,0.48560000000000003
f29,1,0.294,0.49,0.49040000000000006
f29,dataset,0.324,0.4905,0.48800000000000004
f3,0,0.45,0.541,0.5192
f3,1,0.474,0.54,0.5096
f3,dataset,0.462,0.5405,0.5144000000000001
f30,0,0.382,0.514,0.5036
f30,1,0.328,0.514,0.508
f30,dataset,0.355,0.514,0.5058
f31,0,0.298,0.435,0.4492
f31,1,0.316,0.435,0.4388
f31,dataset,0.307,0.435,0.444
f32,0,0.382,0.433,0.432
f32,1,0.266,0.432,0.436
f32,dataset,0.324,0.4325,0.434
f33,0,0.33,0.492,0.48960000000000004
f33,1,0.332,0.492,0.5044000000000001
f33,dataset,0.331,0.492,0.497
f34,0,0.402,0.474,0.47
f34,1,0.304,0.474,0.48519999999999996
f34,dataset,0.353,0.474,0.4776
f35,0,0.404,0.489,0.47440000000000004
f35,1,0.432,0.489,0.47840000000000005
f35,dataset,0.418,0.489,0.4764
f36,0,0.364,0.46,0.468
f36,1,0.284,0.459,0.4716
f36,dataset,0.324,0.4595,0.4698
f37,0,0.302,0.472,0.49040000000000006
f37,1,0.358,0.474,0.48360000000000003
f37,dataset,0.33,0.473,0.48700000000000004
f38,0,0.374,0.49,0.48640000000000005
f38,1,0.278,0.492,0.4776
f38,dataset,0.326,0.491,0.48200000000000004
f39,0,0.346,0.449,0.46040000000000003
f39,1,0.298,0.449,0.4736
f39,dataset,0.322,0.449,0.467
f4,0,0.322,0.461,0.46640000000000004
f4,1,0.328,0.461,0.4568
f4,dataset,0.325,0.461,0.4616
f40,0,0.334,0.496,0.5104000000000001
f40,1,0.328,0.495,0.4952
f40,dataset,0.331,0.4955,0.5027999999999999
f41,0,0.334,0.493,0.5116
f41,1,0.34,0.492,0.5108
f41,dataset,0.337,0.4925,0.5112000000000001
f42,0,0.304,0.488,0.494
f42,1,0.338,0.487,0.4908
f42,dataset,0.321,0.4875,0.49240000000000006
f43,0,0.328,0.47,0.484
f43,1,0.334,0.471,0.488
f43,dataset,0.331,0.4705,0.486
f44,0,0.36,0.468,0.474
f44,1,0.308,0.468,0.4968
f44,dataset,0.334,0.468,0.48540000000000005
f45,0,0.306,0.502,0.502
f45,1,0.382,0.5,0.5008
f45,dataset,0.344,0.501,0.5014000000000001
f46,0,0.35,0.509,0.5
f46,1,0.326,0.51,0.49
f46,dataset,0.338,0.5095,0.495
f47,0,0.328,0.52,0.5072
f47,1,0.372,0.519,0.504
f47,dataset,0.35,0.5195,0.5055999999999999
f48,0,0.318,0.531,0.5016
f48,1,0.334,0.53,0.502
f48,dataset,0.326,0.5305,0.5018
f49,0,0.388,0.503,0.4988
f49,1,0.378,0.504,0.4808
f49,dataset,0.383,0.5035,0.48979999999999996
f5,0,0.308,0.467,0.464
f5,1,0.33,0.466,0.4628
f5,dataset,0.319,0.4665,0.4634
f50,0,0.356,0.517,0.514
f50,1,0.358,0.518,0.5096
f50,dataset,0.357,0.5175,0.5117999999999999
f51,0,0.376,0.501,0.48719999999999997
f51,1,0.292,0.5,0.508
f51,dataset,0.334,0.5005,0.49760000000000004
f52,0,0.314,0.51,0.49440000000000006
f52,1,0.35,0.511,0.5112
f52,dataset,0.332,0.5105,0.5028
f53,0,0.456,0.524,0.5244
f53,1,0.466,0.526,0.5144
f53,dataset,0.461,0.525,0.5194
f54,0,0.402,0.485,0.488
f54,1,0.388,0.485,0.49
f54,dataset,0.395,0.485,0.48900000000000005
f55,0,0.354,0.422,0.42319999999999997
f55,1,0.25,0.421,0.4248
f55,dataset,0.302,0.4215,0.424
f56,0,0.282,0.462,0.464
f56,1,0.346,0.463,0.4752
f56,dataset,0.314,0.4625,0.4696
f57,0,0.352,0.465,0.4592
f57,1,0.284,0.464,0.472
f57,dataset,0.318,0.4645,0.4656
f58,0,0.306,0.451,0.472
f58,1,0.326,0.45,0.458
f58,dataset,0.316,0.4505,0.465
f59,0,0.378,0.4483333333333333,0.4484
f59,1,0.278,0.451,0.4516
f59,dataset,0.328,0.4496666666666666,0.45000000000000007
f6,0,0.372,0.494,0.4968
f6,1,0.292,0.493,0.5048
f6,dataset,0.332,0.4935,0.5008
f60,0,0.33,0.477,0.47240000000000004
f60,1,0.306,0.478,0.46240000000000003
f60,dataset,0.318,0.4775,0.4674
f61,0,0.37,0.504,0.5124
f61,1,0.322,0.504,0.5
f61,dataset,0.346,0.504,0.5062
f62,0,0.408,0.478,0.502
f62,1,0.282,0.478,0.484
f62,dataset,0.345,0.478,0.493
f63,0,0.442,0.493,0.4988
f63,1,0.394,0.492,0.4988
f63,dataset,0.418,0.4925,0.4988
f64,0,0.332,0.496,0.4964
f64,1,0.346,0.496,0.486
f64,dataset,0.339,0.496,0.4912
f65,0,0.366,0.519,0.4888
f65,1,0.298,0.519,0.4988
f65,dataset,0.332,0.519,0.4938
f66,0,0.3,0.494,0.5048
f66,1,0.34,0.495,0.4948
f66,dataset,0.32,0.4945,0.49979999999999997
f67,0,0.332,0.479,0.48240000000000005
f67,1,0.326,0.479,0.48240000000000005
f67,dataset,0.329,0.479,0.4824
f68,0,0.336,0.437,0.4408
f68,1,0.278,0.437,0.44
f68,dataset,0.307,0.437,0.44039999999999996
f69,0,0.286,0.498,0.4848
f69,1,0.358,0.498,0.48760000000000003
f69,dataset,0.322,0.498,0.48619999999999997
f7,0,0.354,0.52,0.5036
f7,1,0.316,0.52,0.4984
f7,dataset,0.335,0.52,0.5010000000000001
f70,0,0.37,0.488,0.5044000000000001
f70,1,0.316,0.487,0.48919999999999997
f70,dataset,0.343,0.4875,0.4968
f71,0,0.438,0.469,0.4708
f71,1,0.396,0.47,0.48160000000000003
f71,dataset,0.417,0.4695,0.4762
f72,0,0.372,0.509,0.51
f72,1,0.34,0.508,0.5068
f72,dataset,0.356,0.5085,0.5084
f73,0,0.326,0.488,0.5012
f73,1,0.394,0.489,0.5028
f73,dataset,0.36,0.4885,0.502
f74,0,0.324,0.474,0.4676
f74,1,0.328,0.475,0.472
f74,dataset,0.326,0.4745,0.46979999999999994
f75,0,0.36,0.473,0.49
f75,1,0.414,0.473,0.48119999999999996
f75,dataset,0.387,0.473,0.48560000000000003
f76,0,0.31,0.496,0.5028
f76,1,0.356,0.494,0.5096
f76,dataset,0.333,0.495,0.5062000000000001
f77,0,0.338,0.466,0.4656
f77,1,0.304,0.464,0.474
f77,dataset,0.321,0.465,0.4698
f78,0,0.384,0.535,0.5336000000000001
f78,1,0.334,0.536,0.51
f78,dataset,0.359,0.5355,0.5217999999999999
f79,0,0.41,0.474,0.4676
f79,1,0.244,0.473,0.47040000000000004
f79,dataset,0.327,0.4735,0.469
f8,0,0.278,0.476,0.4576
f8,1,0.368,0.477,0.46240000000000003
f8,dataset,0.323,0.4765,0.46
f80,0,0.31,0.508,0.49360000000000004
f80,1,0.368,0.506,0.484
f80,dataset,0.339,0.507,0.4888
f81,0,0.386,0.479,0.47240000000000004
f81,1,0.284,0.478,0.474
f81,dataset,0.335,0.4785,0.4732
f82,0,0.326,0.494,0.5072
f82,1,0.35,0.493,0.49
f82,dataset,0.338,0.4935,0.49860000000000004
f83,0,0.342,0.449,0.4428
f83,1,0.296,0.45,0.44360000000000005
f83,dataset,0.319,0.4495,0.44320000000000004
f84,0,0.372,0.477,0.49040000000000006
f84,1,0.324,0.478,0.4748
f84,dataset,0.348,0.4775,0.48260000000000003
f9,0,0.284,0.514,0.4984
f9,1,0.388,0.515,0.49240000000000006
f9,dataset,0.336,0.5145,0.4954
