method,informative_total,caught_informative,recall_informative,extended_recall_informative,caught_redundant_linear,caught_redundant_nonlinear,caught_noise,redundant_f,redundant_f_%
mutual_info,20.0,6.0,0.3,0.4,2.0,0.0,12.0,0.0,0.0
f_classif,20.0,4.0,0.2,0.35,2.0,1.0,13.0,1.0,0.05
rf,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
relief,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
xgb,20.0,0.0,0.0,0.15,1.0,1.0,18.0,0.0,0.0
complexity_Hostility,20.0,9.0,0.45,0.75,6.0,5.0,0.0,4.0,0.2
complexity_N1,20.0,7.0,0.35,0.75,9.0,4.0,0.0,3.0,0.15
complexity_kDN,20.0,8.0,0.4,0.75,8.0,4.0,0.0,5.0,0.25
