feature,level,Hostility,N1,kDN
f0,0,0.314,0.43033333333333335,0.43093333333333333
f0,1,0.32066666666666666,0.43033333333333335,0.42866666666666664
f0,dataset,0.31733333333333336,0.43033333333333335,0.4298
f1,0,0.348,0.5063333333333333,0.5073333333333333
f1,1,0.3333333333333333,0.506,0.49493333333333334
f1,dataset,0.3406666666666667,0.5061666666666667,0.5011333333333333
f10,0,0.33666666666666667,0.5026666666666667,0.49506666666666665
f10,1,0.32866666666666666,0.502,0.4888
f10,dataset,0.33266666666666667,0.5023333333333333,0.49193333333333333
f11,0,0.34933333333333333,0.508,0.5061333333333333
f11,1,0.32066666666666666,0.5071111111111111,0.5017333333333334
f11,dataset,0.335,0.5075555555555555,0.5039333333333333
f12,0,0.3273333333333333,0.508,0.5033333333333333
f12,1,0.3586666666666667,0.5076666666666667,0.5095999999999999
f12,dataset,0.343,0.5078333333333334,0.5064666666666667
f13,0,0.3333333333333333,0.5006666666666667,0.49613333333333337
f13,1,0.32266666666666666,0.5006666666666667,0.5009333333333333
f13,dataset,0.328,0.5006666666666667,0.49853333333333333
f14,0,0.3446666666666667,0.496,0.49213333333333337
f14,1,0.3253333333333333,0.49566666666666664,0.4981333333333334
f14,dataset,0.335,0.49583333333333335,0.4951333333333333
f15,0,0.344,0.511,0.49920000000000003
f15,1,0.334,0.511,0.5004000000000001
f15,dataset,0.339,0.511,0.4998
f16,0,0.3453333333333333,0.486,0.5001333333333333
f16,1,0.29933333333333334,0.486,0.4916
f16,dataset,0.32233333333333336,0.486,0.49586666666666673
f17,0,0.2966666666666667,0.496,0.5018666666666667
f17,1,0.368,0.496,0.5046666666666667
f17,dataset,0.3323333333333333,0.496,0.5032666666666668
f18,0,0.3253333333333333,0.49966666666666665,0.49093333333333333
f18,1,0.3426666666666667,0.5,0.498
f18,dataset,0.334,0.49983333333333335,0.4944666666666667
f19,0,0.32666666666666666,0.498,0.498
f19,1,0.33,0.49866666666666665,0.4988
f19,dataset,0.3283333333333333,0.49833333333333335,0.4984
f2,0,0.37933333333333336,0.51,0.4928
f2,1,0.42333333333333334,0.51,0.5029333333333333
f2,dataset,0.4013333333333333,0.51,0.4978666666666666
f20,0,0.346,0.5266666666666666,0.5082666666666666
f20,1,0.3313333333333333,0.5266666666666666,0.5104
f20,dataset,0.33866666666666667,0.5266666666666666,0.5093333333333333
f21,0,0.31333333333333335,0.5133333333333333,0.504
f21,1,0.35533333333333333,0.5126666666666667,0.5052000000000001
f21,dataset,0.3343333333333333,0.513,0.5045999999999999
f22,0,0.31666666666666665,0.502,0.5032000000000001
f22,1,0.36133333333333334,0.502,0.49773333333333336
f22,dataset,0.339,0.502,0.5004666666666667
f23,0,0.37466666666666665,0.49933333333333335,0.4985333333333334
f23,1,0.30533333333333335,0.499,0.5045333333333334
f23,dataset,0.34,0.49916666666666665,0.5015333333333333
f24,0,0.32466666666666666,0.49166666666666664,0.49946666666666667
f24,1,0.344,0.492,0.5030666666666667
f24,dataset,0.3343333333333333,0.49183333333333334,0.5012666666666666
f25,0,0.3233333333333333,0.47733333333333333,0.5005333333333334
f25,1,0.3433333333333333,0.47733333333333333,0.4930666666666667
f25,dataset,0.3333333333333333,0.47733333333333333,0.4968
f26,0,0.336,0.498,0.5015999999999999
f26,1,0.3446666666666667,0.49833333333333335,0.4988
f26,dataset,0.3403333333333333,0.49816666666666665,0.5002
f27,0,0.3353333333333333,0.498,0.5010666666666667
f27,1,0.3233333333333333,0.49866666666666665,0.4944
f27,dataset,0.3293333333333333,0.49833333333333335,0.49773333333333325
f28,0,0.32666666666666666,0.495,0.4928
f28,1,0.3373333333333333,0.49533333333333335,0.49506666666666665
f28,dataset,0.332,0.49516666666666664,0.4939333333333334
f29,0,0.3433333333333333,0.5116666666666667,0.5028
f29,1,0.332,0.5116666666666667,0.5028
f29,dataset,0.33766666666666667,0.5116666666666667,0.5028
f3,0,0.352,0.49477777777777776,0.49133333333333334
f3,1,0.31533333333333335,0.49533333333333335,0.49573333333333336
f3,dataset,0.33366666666666667,0.4950555555555555,0.4935333333333333
f30,0,0.302,0.4693333333333333,0.47533333333333333
f30,1,0.36533333333333334,0.469,0.4758666666666667
f30,dataset,0.33366666666666667,0.4691666666666667,0.47559999999999997
f31,0,0.41133333333333333,0.4713333333333333,0.4569333333333333
f31,1,0.368,0.4713333333333333,0.46320000000000006
f31,dataset,0.38966666666666666,0.4713333333333333,0.4600666666666667
f32,0,0.33066666666666666,0.44566666666666666,0.4401333333333334
f32,1,0.338,0.44566666666666666,0.4418666666666667
f32,dataset,0.3343333333333333,0.44566666666666666,0.441
f33,0,0.378,0.43833333333333335,0.44426666666666664
f33,1,0.256,0.43833333333333335,0.4481333333333334
f33,dataset,0.317,0.43833333333333335,0.4462
f34,0,0.43666666666666665,0.456,0.456
f34,1,0.30866666666666664,0.456,0.4537333333333333
f34,dataset,0.37266666666666665,0.456,0.45486666666666664
f35,0,0.38533333333333336,0.4754444444444444,0.4885333333333334
f35,1,0.2826666666666667,0.476,0.48693333333333333
f35,dataset,0.334,0.47572222222222216,0.48773333333333335
f36,0,0.36466666666666664,0.49933333333333335,0.5045333333333334
f36,1,0.312,0.49933333333333335,0.49733333333333335
f36,dataset,0.3383333333333333,0.49933333333333335,0.5009333333333333
f37,0,0.394,0.4251111111111111,0.43466666666666665
f37,1,0.2906666666666667,0.42533333333333334,0.43666666666666665
f37,dataset,0.3423333333333333,0.42522222222222217,0.43566666666666665
