pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2023-09-27,94.8,-2.06,5.79,"Cole, Gerrit",595281,543037,,foul,,,,,1.0,Foul,R,L,R,TOR,NYY,S,,,0,1,2023,-0.49,1.52,-0.38,3.49,,,,0,9,Bot,,,,,,,5.505419945407574,-137.89173787644015,-3.6747336060496494,-7.531239697077821,34.98698288825222,-12.31400633896274,3.45,1.64,237.0,76.3,30.0,94.9,2279.0,6.7,716413,666163,518934,650402,672724,683011,665828,664314,592450,53.83,,,,,,,,66,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,211.0,-0.001,-0.054,67.9,6.5,,0.054,88.0,-6,-6,0.003,0.003,32,33,33,33,3,2,6.0,1.0,,1.0,1.05,0.49,-0.49,43.8,3.364174963128629,11.09985090684937,23.84970992345661,43.80737700857589,17.788594513894527
SL,2023-09-27,87.0,-2.27,5.95,"Cole, Gerrit",595281,543037,,called_strike,,,,,7.0,Called Strike,R,L,R,TOR,NYY,S,,,0,0,2023,0.41,0.3,-0.77,2.15,,,,0,9,Bot,,,,,,,2.7581217574641497,-126.66375617001373,-3.5781925693798406,3.901987249058772,25.237382194143706,-28.38659945315496,3.28,1.67,,,,87.2,2566.0,6.3,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.19,,,,,,,,66,1,Slider,0,6,0,6,6,0,0,6,Infield shade,Standard,116.0,0.0,-0.042,,,,0.042,,-6,-6,0.003,0.003,32,33,33,33,3,2,6.0,1.0,,1.0,2.7,-0.41,0.41,43.5,,,,,
FF,2023-09-27,95.9,-2.02,5.82,"Cole, Gerrit",593160,543037,field_out,hit_into_play,,,,,11.0,Whit Merrifield pops out to first baseman DJ LeMahieu in foul territory.,R,R,R,TOR,NYY,X,3.0,popup,0,1,2023,-0.77,1.5,-0.38,3.47,,,,2,8,Bot,154.57,181.95,,,,,6.109603867737265,-139.37671696272758,-3.9169663737100473,-11.532917293509518,35.5534349925637,-12.011622372012717,3.29,1.55,87.0,81.5,74.0,95.6,2372.0,6.5,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.01,0.003,0.002,0.0,1.0,0.0,0.0,3.0,60,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,211.0,-0.001,-0.23,59.7,6.2,0.003,0.23,88.0,-6,-6,0.004,0.004,32,34,33,34,3,2,6.0,3.0,,3.0,1.01,0.77,0.77,40.5,15.389715591629168,-8.08722864299016,23.338691569613903,32.15789931625108,30.23255498070654
SL,2023-09-27,89.7,-2.1,5.96,"Cole, Gerrit",593160,543037,,swinging_strike,,,,,9.0,Swinging Strike,R,R,R,TOR,NYY,S,,,0,0,2023,0.43,0.47,0.55,1.59,,,,2,8,Bot,,,,,,,5.633988464233722,-130.45387460650585,-5.764612322084595,3.6312991518414006,28.47490589796821,-25.803043453989584,3.29,1.55,,,,89.3,2483.0,6.2,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.33,,,,,,,,60,1,Slider,0,6,0,6,6,0,0,6,Standard,Standard,176.0,0.0,-0.045,67.5,7.8,,0.045,,-6,-6,0.004,0.004,32,34,33,34,3,2,6.0,3.0,,3.0,2.38,-0.43,-0.43,43.0,23.11411253859268,-17.21726959292072,34.909403252118665,42.77214517619476,37.32879025138261
KC,2023-09-27,82.3,-1.92,5.96,"Cole, Gerrit",656305,543037,field_out,hit_into_play,,,,,9.0,"Matt Chapman grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,X,6.0,ground_ball,1,2,2023,1.1,-1.22,0.65,1.63,,,,1,8,Bot,117.36,166.46,,,,,3.694197287033079,-119.64433990200172,-0.7756886966984267,9.48656147096766,28.207255841675927,-43.77914487086832,3.51,1.66,25.0,95.8,-2.0,81.2,2846.0,6.1,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.41,0.342,0.347,0.0,1.0,0.0,0.0,2.0,59,4,Knuckle Curve,0,6,0,6,6,0,0,6,Strategic,Standard,41.0,-0.002,-0.189,73.9,7.6,0.37,0.189,95.8,-6,-6,0.006,0.006,32,30,33,30,3,2,6.0,1.0,,1.0,4.65,-1.1,-1.1,47.8,8.24763278177481,2.670941110400976,31.143414339907608,45.330500908377104,26.239007922518724
FF,2023-09-27,95.9,-1.83,5.99,"Cole, Gerrit",656305,543037,,ball,,,,,12.0,Ball,R,R,R,TOR,NYY,B,,,0,2,2023,-0.66,1.47,0.7,3.48,,,,1,8,Bot,,,,,,,8.125576258883711,-139.28005277795708,-4.242938350187875,-10.59900520342674,36.612805162176464,-12.344860546958706,3.25,1.58,,,,94.8,2333.0,6.2,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.35,,,,,,,,59,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,214.0,0.001,0.019,,,,-0.019,,-6,-6,0.005,0.005,32,30,33,30,3,2,6.0,1.0,,1.0,1.05,0.66,0.66,45.4,,,,,
CH,2023-09-27,87.7,-2.08,5.71,"Cole, Gerrit",656305,543037,,foul,,,,,13.0,Foul,R,R,R,TOR,NYY,S,,,0,1,2023,-1.34,0.63,-0.88,1.92,,,,1,8,Bot,,,,,,,5.696509570369764,-127.60923263119216,-4.346563006279798,-15.834255600349964,26.77487350496188,-24.637404224903907,3.51,1.66,5.0,93.0,-20.0,87.9,1820.0,6.5,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.03,,,,,,,,59,2,Changeup,0,6,0,6,6,0,0,6,Strategic,Standard,235.0,-0.001,-0.057,,,,0.057,93.0,-6,-6,0.006,0.006,32,30,33,30,3,2,6.0,1.0,,1.0,2.34,1.34,1.34,41.5,,,,,
FF,2023-09-27,94.3,-1.86,5.93,"Cole, Gerrit",656305,543037,,foul,,,,,5.0,Foul,R,R,R,TOR,NYY,S,,,0,0,2023,-0.59,1.44,-0.2,2.42,,,,1,8,Bot,,,,,,,5.624620670714193,-137.04289989195252,-6.600658430603049,-8.755639026606884,31.653293933975917,-12.741367001098816,3.51,1.66,141.0,81.2,73.0,93.9,2283.0,6.2,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.26,,,,,,,,59,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,206.0,0.0,-0.041,76.3,7.3,,0.041,88.0,-6,-6,0.006,0.006,32,30,33,30,3,2,6.0,1.0,,1.0,1.14,0.59,0.59,44.5,8.662950351738125,-2.953211509032587,32.26026304484395,35.50296700041588,25.127042872575597
FF,2023-09-27,96.5,-1.98,5.89,"Cole, Gerrit",672386,543037,field_out,hit_into_play,,,,,1.0,Alejandro Kirk lines out to center fielder Estevan Florial.,R,R,R,TOR,NYY,X,8.0,line_drive,3,2,2023,-0.49,1.44,-0.3,2.78,,,,0,8,Bot,146.54,58.59,,,,,5.610411171859027,-140.2717900963668,-5.942960629756472,-7.832588836159976,33.821274437969336,-12.09030773114817,3.05,1.42,351.0,96.4,22.0,96.4,2258.0,6.4,716413,666163,518934,650402,672724,683011,665828,664314,592450,54.08,0.234,0.294,0.0,1.0,0.0,0.0,3.0,58,7,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,209.0,-0.005,-0.353,69.7,6.9,0.489,0.353,96.4,-6,-6,0.011,0.011,32,24,33,25,3,2,6.0,1.0,,1.0,1.03,0.49,0.49,44.2,6.058876743535169,2.7821091368128923,16.478893038555736,39.116650237531545,27.691941786211736
FF,2023-09-27,95.5,-1.81,5.83,"Cole, Gerrit",672386,543037,,foul,,,,,4.0,Foul,R,R,R,TOR,NYY,S,,,3,2,2023,-0.71,1.7,-0.29,2.02,,,,0,8,Bot,,,,,,,5.631249936674945,-138.6491283974539,-8.144955153732509,-10.574793704322518,36.84158244850431,-8.654154835046112,3.05,1.42,191.0,71.5,32.0,95.0,2412.0,6.6,716413,666163,518934,650402,672724,683011,665828,664314,592450,53.93,,,,,,,,58,6,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,206.0,0.0,0.0,71.7,7.0,,0.0,88.0,-6,-6,0.011,0.011,32,24,33,25,3,2,6.0,1.0,,1.0,0.85,0.71,0.71,42.1,-2.1131238109816315,5.182957786411284,31.930685471127,39.49189209264836,22.883028805535165
