dataset,CLD_mean,DCP_mean,F1_mean,F2_mean,F3_mean,F4_mean,Hostility_mean,L1_mean,LSC_mean,N1_mean,N2_mean,TD_U_mean,kDN_mean
bodyfat,-0.7229820651659756,-0.7686221274343061,-0.7200600012877706,-0.7147221243004241,-0.7204432017920689,-0.43483168515008336,-0.7512410350199522,0.5782385378556387,-0.7618590317409075,-0.7334988354113631,-0.6511523799839781,0.4641795724721964,-0.7703065713870451
boston,-0.6761988500432246,-0.6539761631655204,0.32863733031549763,0.11809744867076832,0.5710960952090919,0.5943757991223623,-0.7450600770831572,0.6104592320154755,-0.7925091492480026,-0.7329361399964208,0.20267319577753762,0.35737262182673407,-0.8486520080586856
cleve,-0.6434423647426029,-0.5457655173908019,-0.13554073067686248,0.07125769150533677,-0.21173534147767195,-0.22337725397646715,-0.684322440571632,0.5104108612649522,-0.6019022283436817,-0.5810885380620017,-0.4141785684736969,0.07285663036257989,-0.7217575897505876
heart-statlog,-0.7840721889036493,-0.6264023426384214,-0.2456123007741524,0.27379892229970315,-0.2823693413618962,-0.33368188955902145,-0.6867588945118238,0.6362216629035472,-0.5121025050875274,-0.5119443521257002,-0.5236843120288548,0.05508598215266084,-0.7136487851516411
zoo,-0.7691837338597093,-0.7264782667248585,-0.10521940204409723,0.07396733834671494,0.10008163607784915,-0.0742391950415862,-0.7342578153710128,0.6639106617569184,-0.6984076794380989,-0.4466711399260487,-0.4973400812175984,0.7139000754111493,-0.7445226132945177
