dataset,CLD_mean,DCP_mean,F1_mean,F2_mean,F3_mean,F4_mean,Hostility_mean,L1_mean,LSC_mean,N1_mean,N2_mean,TD_U_mean,kDN_mean
bodyfat,0.9048683699849532,0.8637578954271574,0.8749150232840689,0.8119172645486263,0.8843062289170432,0.06827989127819883,0.8803467345604822,-0.661016805752784,0.8731213878980267,0.8896358494521339,0.8587898213082378,-0.7445980349213043,0.8921192474404798
boston,0.5972725750691853,0.7290361639954618,-0.2514774889410353,0.32105639044655865,-0.48024729183076564,-0.7370784926037874,0.7644778501566936,-0.5862979906532058,0.7678413374153769,0.8936553026473829,-0.3349116528025062,-0.5245202295127023,0.8690640446982014
cleve,0.7121553230050046,0.6637891551120306,0.16649086219067896,0.25074421789183055,0.2134072386388838,-0.18603279613089496,0.7087061798924784,-0.6666707993220423,0.6949069362838539,0.7795134789133965,0.31155024675431225,-0.18047592833942092,0.7919829837274288
heart-statlog,0.9074413932629161,0.7651386325992726,0.2461419277136957,0.1454923294766398,0.26878136917400375,-0.1295362128231122,0.7708128827080876,-0.8283598936304719,0.7936064220159634,0.8147142571368164,0.4057105445338041,-0.15351952559533602,0.8935261632615238
vehicle2,0.4892153303241709,0.5386729500255151,-0.16569983819876635,0.44098856917516216,0.062162141717751,-0.4667405389367687,0.7344038437809804,0.21844640929493395,0.4830038355362718,0.7244602530401284,0.19336141963881134,-0.43670090682468465,0.6938078257153484
zoo,0.866808033804346,0.8370652053466516,0.08392453068953104,0.026409845101214816,-0.1212301192869952,-0.0036354242671114887,0.7717214423068376,-0.6731869029704286,0.7234802059039809,0.7191453590997039,0.37014885863882735,-0.8587768807968115,0.820919716671058
