dataset,CLD_mean,DCP_mean,F1_mean,F2_mean,F3_mean,F4_mean,Hostility_mean,L1_mean,LSC_mean,N1_mean,N2_mean,TD_U_mean,kDN_mean
bodyfat,-0.7239116758333635,-0.7676665537634937,-0.724878430717292,-0.7142408490018828,-0.7199705373374912,-0.43730580471007313,-0.7539529760511529,0.5722297666637907,-0.7616331413415144,-0.7326074135561413,-0.6539094460439132,0.46361298297950293,-0.7691349033642111
boston,-0.6851648903484687,-0.6555668768202196,0.3352001941196984,0.12938536619997887,0.5686620735395248,0.5822933122305564,-0.7457070300925562,0.6073286433152796,-0.8104353862200223,-0.7394425026130795,0.19269824534077362,0.3670276404627004,-0.8503648559697093
cleve,-0.6576665260804461,-0.552081393641597,-0.13817709823703853,0.09978831524377786,-0.21080838753984943,-0.2099404467471355,-0.7008985429153034,0.5031423923217561,-0.6017719807187543,-0.5783302247097811,-0.41841198582624745,0.06135959259545628,-0.7248811821562339
heart-statlog,-0.7980783235768474,-0.6290650711563298,-0.2511763428733192,0.2811185564746664,-0.28660533533971083,-0.3363096807267914,-0.6987499030225318,0.6503671578296004,-0.5252749043316436,-0.5162590825415915,-0.52841761262952,0.04740352518685803,-0.7204782674573159
zoo,-0.7950980121433773,-0.7357985565192678,-0.09684190461907469,0.04424181692576118,0.07572627278488904,-0.09315560348783773,-0.7399827479442823,0.6745830751252775,-0.7184971280376528,-0.4390899233153237,-0.4849265304092176,0.7063627937576127,-0.764054584516487
