y,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,L1,level,subset
0,0.28041901692183724,0.3337630942788074,0.3405882337839629,0.6146924523233951,0.5541877618745176,0.30795025772866225,0.48694141413932823,0.9976885186244184,0.9978463116255218,0.10754967448593127,class,informative+redundant_nonLinear
1,0.16145537237066515,0.24934621944286528,0.24028993639903237,0.5940875497441728,0.3858752976542908,0.23260724466539937,0.4797472384152876,0.9976011553777389,0.9976639619618586,0.6577443251438395,class,informative+redundant_nonLinear
dataset,0.21066666666666667,0.28426666666666667,0.2817799987505986,0.6026111111111112,0.4555005536867246,0.2637741377359024,0.48272322910646576,0.9976372946407819,0.9977393939393939,0.43014713798835147,class,informative+redundant_nonLinear
1,0.3555555555555556,0.8,0.484375,0.6111111111111112,0.5275332074387084,1.0,0.5053672012311641,1.0,1.0,-0.9016042998265598,instance,informative+redundant_nonLinear
0,0.376984126984127,0.2,0.18617021276595747,0.7777777777777778,0.5102476315661479,0.0,0.4764839077702482,0.9991935483870967,1.0,-0.020616006711729203,instance,informative+redundant_nonLinear
0,0.7555555555555555,0.2,0.8791208791208791,0.3333333333333333,0.5286052341417776,0.3333333333333333,0.5121369409816172,1.0,1.0,0.06226651028182105,instance,informative+redundant_nonLinear
0,0.43302107728337236,0.2,0.6481481481481481,0.6666666666666666,0.5005659692453331,0.0,0.49766603399989584,0.9991935483870967,1.0,-0.08487221860928781,instance,informative+redundant_nonLinear
0,0.0,0.2,0.3571428571428571,0.3333333333333333,0.46653142781759616,0.0,0.4845850289018291,0.9967741935483871,0.9636363636363636,0.4805295653046463,instance,informative+redundant_nonLinear
0,0.3758782201405152,0.0,0.18617021276595747,0.8333333333333334,0.47351130708793476,0.0,0.46355471341479204,0.9951612903225806,1.0,0.7090711230345786,instance,informative+redundant_nonLinear
0,0.31619047619047613,0.2,0.048387096774193505,0.5555555555555556,0.6318997225040054,0.0,0.4878493907833156,0.9983870967741936,1.0,0.08858699634152718,instance,informative+redundant_nonLinear
0,0.2416666666666667,0.0,0.33884297520661155,0.7777777777777778,0.5178275422537243,0.0,0.4661946602351601,0.992741935483871,1.0,0.18069969110012027,instance,informative+redundant_nonLinear
1,0.3269035532994924,0.8,0.13636363636363635,0.6666666666666666,0.41620050145240384,1.0,0.5288486248851416,1.0,1.0,-0.8886840160009926,instance,informative+redundant_nonLinear
0,0.36938471364700876,0.6,0.18617021276595747,0.8333333333333334,0.5400246003633039,0.5,0.5231324338261467,1.0,1.0,-0.7206753453798823,instance,informative+redundant_nonLinear
0,0.125,0.0,0.8688524590163934,0.5,0.6566514661197692,0.0,0.43705404462152475,0.9959677419354839,1.0,0.1835861646676168,instance,informative+redundant_nonLinear
0,0.45925925925925926,0.2,0.2021276595744681,0.6666666666666666,0.5424694530822789,0.0,0.4892903057802178,0.9975806451612903,1.0,-0.31888638217853904,instance,informative+redundant_nonLinear
0,0.6730964467005076,0.6,0.8622448979591837,0.6111111111111112,0.6350153869171439,1.0,0.5012782514222875,1.0,1.0,-1.659082394843996,instance,informative+redundant_nonLinear
0,0.34444444444444444,0.4,0.18617021276595747,0.8333333333333334,0.48944591205808763,0.0,0.4713407160648383,0.9975806451612903,1.0,0.3057265803610306,instance,informative+redundant_nonLinear
0,0.6342592592592593,0.6,0.6428571428571428,0.5555555555555556,0.4988493185786719,0.5,0.48976720013857844,0.9991935483870967,1.0,-0.5349596998233014,instance,informative+redundant_nonLinear
0,0.5806878306878307,0.4,0.7777777777777778,0.7777777777777778,0.49818191088016217,0.0,0.4749553164420124,0.9983870967741936,1.0,0.1951057921139981,instance,informative+redundant_nonLinear
1,0.47531225604996097,0.6,0.11188811188811187,0.5555555555555556,0.48882988777685554,0.5,0.4753451196934987,0.9994311717861206,1.0,0.04292994547860779,instance,informative+redundant_nonLinear
0,0.31619047619047613,0.0,0.18617021276595747,0.8333333333333334,0.4670423306163609,0.0,0.481838083575154,0.9959677419354839,1.0,0.9183974581635657,instance,informative+redundant_nonLinear
0,0.392156862745098,0.0,0.1428571428571429,0.4444444444444444,0.6363570989957095,0.0,0.44149739150968736,0.9951612903225806,1.0,0.6130056583727208,instance,informative+redundant_nonLinear
0,0.4191176470588236,0.2,0.8080808080808081,0.5555555555555556,0.6059406949851049,0.6666666666666666,0.5500799648195744,1.0,1.0,-0.2335991742209927,instance,informative+redundant_nonLinear
0,0.6402439024390244,0.4,0.08571428571428574,0.5,0.5616089730912878,0.0,0.45343702035522226,0.9983870967741936,1.0,0.17378734975823076,instance,informative+redundant_nonLinear
0,0.6086647727272727,0.4,0.7857142857142857,0.5,0.5050527988697451,0.3333333333333333,0.5067182055206562,1.0,1.0,-0.09665045647294661,instance,informative+redundant_nonLinear
0,0.8690476190476191,0.2,0.048387096774193505,0.5555555555555556,0.6861594224916976,0.0,0.48469765774759965,0.9975806451612903,1.0,-0.7049761486975843,instance,informative+redundant_nonLinear
0,0.41483925910155417,0.0,0.6428571428571428,0.6111111111111112,0.5146192772680799,0.0,0.4677924046292573,0.9919354838709677,1.0,0.42821115143285277,instance,informative+redundant_nonLinear
0,0.5483333333333333,0.4,0.07692307692307687,0.5555555555555556,0.4867757814250241,1.0,0.5126265203912033,1.0,1.0,-0.06316186256881166,instance,informative+redundant_nonLinear
0,0.41925064599483197,0.2,0.11538461538461542,0.5555555555555556,0.5831558948611147,0.0,0.46115237446650725,0.9983870967741936,1.0,1.168367829547338,instance,informative+redundant_nonLinear
0,0.3758782201405152,0.2,0.46153846153846156,0.3333333333333333,0.47585417559523924,0.5,0.5301026326633567,1.0,1.0,1.2083272739862838,instance,informative+redundant_nonLinear
0,0.49617897202021444,0.2,0.2021276595744681,0.7222222222222222,0.5336025748722207,0.4,0.47804860267431637,0.9967741935483871,1.0,0.09528007763802411,instance,informative+redundant_nonLinear
0,0.6214285714285714,0.8,0.2021276595744681,0.7222222222222222,0.5805632093501947,0.8,0.5131311014754157,1.0,1.0,-0.4961245622837661,instance,informative+redundant_nonLinear
0,0.5057483500106451,0.4,0.08571428571428574,0.5,0.4831651059763833,0.2,0.4799560832592271,0.9975806451612903,1.0,0.07532091985878339,instance,informative+redundant_nonLinear
0,0.392156862745098,0.4,0.34782608695652173,0.3888888888888889,0.5018635501480802,0.25,0.4925986372598682,0.9991935483870967,1.0,0.4121619837324405,instance,informative+redundant_nonLinear
0,0.37037037037037035,0.0,0.2021276595744681,0.7222222222222222,0.6170940112727188,0.0,0.4463025286575404,0.9959677419354839,1.0,-0.2195085989027882,instance,informative+redundant_nonLinear
0,0.36938471364700876,0.4,0.2021276595744681,0.7222222222222222,0.5120208565067713,0.3,0.450820699007486,0.9975806451612903,1.0,0.3229155414450125,instance,informative+redundant_nonLinear
0,0.2330210772833723,0.4,0.11688311688311692,0.7777777777777778,0.4932621609634187,1.0,0.5104432582445881,1.0,1.0,-0.07719964374877678,instance,informative+redundant_nonLinear
0,0.0,0.0,0.048387096774193505,0.5555555555555556,0.48054450111903513,0.0,0.4437689474825668,0.9838709677419355,0.9636363636363636,1.3370501095781442,instance,informative+redundant_nonLinear
0,0.20853658536585362,0.0,0.515625,0.4444444444444444,0.47415836128340305,0.0,0.4614445397360246,0.9911290322580645,1.0,0.3057698686655903,instance,informative+redundant_nonLinear
0,0.20967741935483875,0.0,0.7777777777777778,0.3888888888888889,0.5622261722504017,0.0,0.45816618828531575,0.9935483870967742,1.0,0.1952888371363909,instance,informative+redundant_nonLinear
0,0.4642857142857143,0.2,0.048387096774193505,0.5555555555555556,0.5535403451767754,0.0,0.4452908317923734,0.9975806451612903,1.0,0.9737079235434135,instance,informative+redundant_nonLinear
0,0.49617897202021444,0.6,0.34782608695652173,0.3888888888888889,0.5526628348705965,1.0,0.5051028755420626,1.0,1.0,-0.12267450343250869,instance,informative+redundant_nonLinear
0,0.30952380952380953,0.0,0.34782608695652173,0.3888888888888889,0.4676792222385622,0.0,0.45568651257499226,0.992741935483871,1.0,-0.021474620912237626,instance,informative+redundant_nonLinear
0,0.31619047619047613,0.2,0.18617021276595747,0.8333333333333334,0.48137570800820384,0.4,0.48656292067397267,0.9991935483870967,1.0,0.3705435903789638,instance,informative+redundant_nonLinear
0,0.6086647727272727,0.4,0.08571428571428574,0.5,0.561462698113045,0.0,0.48522842975358127,0.9975806451612903,1.0,0.6193743244686328,instance,informative+redundant_nonLinear
1,0.3913352272727273,0.6,0.3571428571428571,0.5555555555555556,0.499526662995639,1.0,0.503292859312743,1.0,1.0,-0.3685209130530749,instance,informative+redundant_nonLinear
0,0.48842592592592593,0.4,0.18617021276595747,0.8333333333333334,0.48483653890467027,0.0,0.4989200276131054,0.9991935483870967,1.0,0.2181703372167825,instance,informative+redundant_nonLinear
0,0.5592592592592592,0.4,0.8688524590163934,0.4444444444444444,0.4889253978503698,0.16666666666666666,0.5050766685818533,1.0,1.0,0.9327029001747216,instance,informative+redundant_nonLinear
0,0.6605392156862745,0.4,0.515625,0.6666666666666666,0.6503623510265113,0.5,0.49875155650491243,0.9991935483870967,1.0,-0.17052790959864086,instance,informative+redundant_nonLinear
0,0.125,0.4,0.33884297520661155,0.7777777777777778,0.6061986479837789,1.0,0.5143440030404931,1.0,0.9818181818181818,0.1464384850243908,instance,informative+redundant_nonLinear
0,0.4842075578116187,0.2,0.2727272727272727,0.5,0.5955464556926615,0.3333333333333333,0.5247480246206429,1.0,1.0,-0.6976335423201001,instance,informative+redundant_nonLinear
0,0.8473360655737705,0.6,0.048387096774193505,0.5555555555555556,0.6564001440226959,0.0,0.49605123792895767,0.9983870967741936,1.0,-0.2637293359567419,instance,informative+redundant_nonLinear
0,0.3460365853658536,0.4,0.048387096774193505,0.5555555555555556,0.49807883159071775,0.5,0.5241463860162461,1.0,1.0,0.900677720151835,instance,informative+redundant_nonLinear
0,0.2330210772833723,0.2,0.18617021276595747,0.8333333333333334,0.48349707663238084,1.0,0.5099418737060957,1.0,1.0,0.593237073673539,instance,informative+redundant_nonLinear
0,0.3982843137254902,0.0,0.5416666666666667,0.6111111111111112,0.6430382744482204,0.0,0.48083632903935214,0.9943548387096774,1.0,-0.3050767854412279,instance,informative+redundant_nonLinear
0,0.15853658536585358,0.2,0.18617021276595747,0.6111111111111112,0.4946754305520293,0.3333333333333333,0.49463558797704354,0.9983870967741936,1.0,0.37088518615996185,instance,informative+redundant_nonLinear
0,0.48842592592592593,0.0,0.21875,0.5,0.4896346441944771,0.0,0.45975782060144854,0.992741935483871,1.0,1.4331985409865764,instance,informative+redundant_nonLinear
0,0.48842592592592593,0.2,0.515625,0.4444444444444444,0.47108370855838133,0.0,0.4894569492402542,0.9983870967741936,1.0,0.8008315842664199,instance,informative+redundant_nonLinear
0,0.5928571428571429,0.4,0.18617021276595747,0.8333333333333334,0.5453548420124136,0.0,0.42819553607112415,0.9983870967741936,1.0,0.25019274073576797,instance,informative+redundant_nonLinear
0,0.35853658536585364,0.6,0.048387096774193505,0.5555555555555556,0.4738276751822319,0.0,0.4901978090000876,0.9991935483870967,1.0,0.9793421220891529,instance,informative+redundant_nonLinear
0,0.3758782201405152,0.0,0.11688311688311692,0.7777777777777778,0.4748294094191132,0.0,0.4650123983592229,0.9943548387096774,1.0,1.2129112187738067,instance,informative+redundant_nonLinear
0,0.29490022172949004,0.2,0.048387096774193505,0.5555555555555556,0.5527091406285407,0.0,0.48681613854103123,0.9967741935483871,1.0,0.21843968481686465,instance,informative+redundant_nonLinear
0,0.2330210772833723,0.2,0.21875,0.5,0.4833692725722636,0.0,0.4787871139206308,0.9967741935483871,1.0,0.40011016548910805,instance,informative+redundant_nonLinear
0,0.376984126984127,0.2,0.18617021276595747,0.8333333333333334,0.5521598829561705,0.5,0.4908114790618763,0.9983870967741936,1.0,0.0300541251218044,instance,informative+redundant_nonLinear
