y,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,L1,level,subset
0,0.6571428571428571,0.5942857142857143,0.65,0.4674285714285714,0.6319881467186064,0.5560919398062255,0.5022514583947253,0.99559934318555,0.9867012987012987,0.10601952728529095,class,informative+noise
1,0.11076923076923077,0.3156923076923077,0.35,0.7817435897435897,0.3421337192740456,0.2885561105561106,0.4942695078327843,0.9932668566001899,0.9858461538461539,0.8508178043652587,class,informative+noise
dataset,0.302,0.41320000000000007,0.4549999999999999,0.6717333333333333,0.4435827688796419,0.38219365079365075,0.4970631905294637,0.9940832269050659,0.9861454545454544,0.5901384073872701,class,informative+noise
1,0.5,0.4,0.35,0.26666666666666666,0.3532171759918613,1.0,0.5063528978616345,1.0,0.990909090909091,0.1573072036137687,instance,informative+noise
0,0.8,0.4,0.65,0.4,0.6122942298526447,0.0,0.4916224929711216,0.9942528735632183,0.990909090909091,1.9880350558235174,instance,informative+noise
0,0.5263157894736843,0.6,0.65,0.6666666666666666,0.6135874264370489,0.0,0.4947117139075413,0.9942528735632183,0.990909090909091,1.1333648813778456,instance,informative+noise
0,0.7647058823529411,0.6,0.65,0.4666666666666667,0.6456475763298374,0.0,0.4894678346339747,0.9942528735632183,0.990909090909091,-0.2756343862847031,instance,informative+noise
0,0.0,0.4,0.65,0.6666666666666666,0.6529294033039176,1.0,0.5093933786548992,1.0,0.990909090909091,0.08499437627856712,instance,informative+noise
0,0.0,0.4,0.65,0.6666666666666666,0.6314664747415915,0.5,0.49421806083891007,0.9885057471264368,0.990909090909091,-0.2709255876962413,instance,informative+noise
0,0.6363636363636364,0.4,0.65,0.4,0.6137453502050165,0.0,0.48691746139628855,0.9885057471264368,0.9727272727272728,0.6402507292903569,instance,informative+noise
0,0.625,0.8,0.65,0.5333333333333333,0.6771513973051196,1.0,0.5114029685298973,1.0,0.990909090909091,-0.9610067276885832,instance,informative+noise
1,0.36363636363636365,0.4,0.35,0.8666666666666667,0.33933404371355763,0.16666666666666666,0.4937058154791998,0.9938271604938271,1.0,1.0599531740601738,instance,informative+noise
0,0.0,0.6,0.65,0.26666666666666666,0.6310068495053077,1.0,0.5027165120091167,1.0,0.9818181818181818,-0.08223935946467681,instance,informative+noise
0,0.3571428571428571,0.4,0.65,0.26666666666666666,0.6697085469122884,0.0,0.49127767304515857,0.9885057471264368,1.0,-0.664940639433262,instance,informative+noise
0,0.5909090909090908,0.2,0.65,0.4666666666666667,0.6210171660829613,0.3333333333333333,0.49829931604178623,0.9942528735632183,0.9818181818181818,0.571726732237414,instance,informative+noise
0,0.36363636363636365,0.8,0.65,0.6666666666666666,0.6857137755562414,1.0,0.5009006110746004,1.0,1.0,-1.241345423471045,instance,informative+noise
1,0.5555555555555556,0.6,0.35,0.6666666666666666,0.35428723235597814,0.8571428571428571,0.5062683393954037,1.0,0.990909090909091,-0.1693794143289838,instance,informative+noise
0,0.0,1.0,0.65,0.4,0.6306440848163911,1.0,0.5061761179990887,1.0,0.9818181818181818,1.2866857843225925,instance,informative+noise
0,0.7,0.8,0.65,0.4,0.6768016192565208,1.0,0.508220880334133,1.0,0.990909090909091,0.6239987781644206,instance,informative+noise
0,0.8571428571428572,0.6,0.65,0.4,0.6599636690966622,0.0,0.49538760522049574,0.9942528735632183,0.9636363636363636,-1.4172346036986143,instance,informative+noise
0,0.0,0.6,0.65,0.4,0.6118204456803191,1.0,0.511084229043419,1.0,0.9454545454545454,1.268716792168822,instance,informative+noise
