dataset,subset,model,acc,gps,is_best,acc_class_0,acc_class_1
ArtificialDataset3,rf_top25,KNN,0.892,0.89199806274552,0,0.896,0.888
ArtificialDataset3,rf_top25,NaiveBayes,0.903,0.9028682320978072,0,0.938,0.868
ArtificialDataset3,rf_top25,DecisionTree,0.851,0.8509914201875313,0,0.858,0.844
ArtificialDataset3,rf_top25,XGBoost,0.946,0.9459979449535078,0,0.952,0.94
ArtificialDataset3,relief_top25,LogReg,0.946,0.9459942911512845,0,0.956,0.936
ArtificialDataset3,relief_top25,SVM-linear,0.952,0.9519927383974047,0,0.964,0.94
ArtificialDataset3,relief_top25,SVM-rbf,0.984,0.9839989592819046,1,0.992,0.976
ArtificialDataset3,relief_top25,RandomForest,0.946,0.9459997716692248,0,0.948,0.944
ArtificialDataset3,relief_top25,KNN,0.966,0.9659977472627587,0,0.974,0.958
ArtificialDataset3,relief_top25,NaiveBayes,0.901,0.9009515201113975,0,0.922,0.88
ArtificialDataset3,relief_top25,DecisionTree,0.848,0.8479131957390774,0,0.87,0.826
ArtificialDataset3,relief_top25,XGBoost,0.951,0.9509974751590775,0,0.958,0.944
