dataset,subset,model,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,std_acc_class_0,mean_acc_class_1,std_acc_class_1
ArtificialDataset13,all,LogReg,0.6839999999999999,0.022251092357704835,0.6558984944144012,0.022203663341876352,0.542316129032258,0.029928342446278008,0.783961038961039,0.036246317590573354
ArtificialDataset13,all,SVM-linear,0.6883333333333332,0.018211717839530298,0.6596762747563513,0.021242226651673926,0.5439354838709678,0.039288627539049846,0.7902142857142858,0.03005895006485619
ArtificialDataset13,all,SVM-rbf,0.8396666666666667,0.010796089827134439,0.831162744874753,0.012501327573906162,0.7695032258064517,0.035565455184735036,0.8891266233766235,0.018993869737896258
ArtificialDataset13,all,RandomForest,0.7766666666666666,0.016193277068654817,0.7581636011386097,0.016647439216274672,0.6454774193548386,0.029982033468484184,0.8692500000000001,0.030254439261723606
ArtificialDataset13,all,KNN,0.7886666666666666,0.018690461025168262,0.7777405389088237,0.021626740820761995,0.7211612903225806,0.05091896400066624,0.8362629870129868,0.02618619694656976
ArtificialDataset13,all,NaiveBayes,0.5843333333333334,0.03983437934470396,0.5678132759453404,0.04839596400156217,0.8371741935483872,0.07387654465495858,0.4058311688311688,0.11259622035359505
ArtificialDataset13,all,DecisionTree,0.6346666666666666,0.022861904265976327,0.6155559845160579,0.025065145783964467,0.5567612903225806,0.04544186392390009,0.6896168831168831,0.035521459381235694
ArtificialDataset13,all,XGBoost,0.7993333333333335,0.020965580258021855,0.7874708853156797,0.024457091666527455,0.7163806451612903,0.05044781315614436,0.8578831168831169,0.023650286679950668
ArtificialDataset13,informative,LogReg,0.6756666666666666,0.027529781853274617,0.6384425958886125,0.03277247206702738,0.5028322580645161,0.052138249344843346,0.7976298701298701,0.044322058723913746
ArtificialDataset13,informative,SVM-linear,0.6806666666666666,0.030506829836393464,0.6400470284898059,0.03881830965886206,0.49395483870967744,0.060758891642554116,0.8124025974025975,0.039650700692939245
ArtificialDataset13,informative,SVM-rbf,0.8743333333333332,0.013666666666666653,0.8689333768985292,0.014588214779451545,0.8291548387096774,0.027501016157557363,0.9061883116883118,0.016570413293818205
ArtificialDataset13,informative,RandomForest,0.8066666666666669,0.02155097316699281,0.7920719611844099,0.022920768017661772,0.6881225806451613,0.02755226156934942,0.890288961038961,0.027100789380378496
ArtificialDataset13,informative,KNN,0.845,0.018027756377319945,0.8389226256696116,0.01910850408004608,0.8090000000000002,0.038785798810725254,0.870353896103896,0.02607040742125326
ArtificialDataset13,informative,NaiveBayes,0.6676666666666667,0.02155355088043627,0.6431448684718453,0.021724267792622046,0.5495483870967742,0.029725837081880854,0.751012987012987,0.035534019081147686
ArtificialDataset13,informative,DecisionTree,0.6663333333333334,0.029342801502242402,0.646940681738999,0.030923515269518784,0.5770064516129032,0.04464118199681591,0.7293571428571429,0.038089062060859394
ArtificialDataset13,informative,XGBoost,0.8173333333333334,0.023701851779508253,0.8075842007652524,0.026486897746513704,0.7469612903225806,0.04835765512897995,0.8669772727272728,0.02527208346138756
ArtificialDataset13,informative+redundant,LogReg,0.667,0.03132091952673165,0.6312619947712574,0.036582406402957755,0.5044000000000001,0.054980316598938025,0.7816980519480519,0.04893784771036132
ArtificialDataset13,informative+redundant,SVM-linear,0.6696666666666666,0.03338163167571851,0.6296084277760874,0.04035742963892679,0.48909677419354836,0.05539749465591315,0.7970454545454545,0.04400589273087553
ArtificialDataset13,informative+redundant,SVM-rbf,0.8710000000000001,0.013828312341794354,0.8653707949113976,0.0146149960752782,0.8235290322580646,0.02636648852163479,0.904477272727273,0.018552764267986334
ArtificialDataset13,informative+redundant,RandomForest,0.8029999999999999,0.02078728243689183,0.7887861657105473,0.02299213373989435,0.6921419354838709,0.038408893784489286,0.8811818181818183,0.025214534048296964
ArtificialDataset13,informative+redundant,KNN,0.827,0.01676305461424021,0.8197343732195028,0.017137153103141404,0.7824,0.03915967260303244,0.8584090909090909,0.03460670407510875
ArtificialDataset13,informative+redundant,NaiveBayes,0.6726666666666667,0.03251666239535253,0.6638717934571466,0.03380216767896847,0.6582838709677419,0.05107049829447316,0.6827727272727272,0.04127910943846848
ArtificialDataset13,informative+redundant,DecisionTree,0.6559999999999999,0.02448582356294262,0.638612069417145,0.025534405851123963,0.5793548387096774,0.030762085939050703,0.7100746753246753,0.03059311388840802
ArtificialDataset13,informative+redundant,XGBoost,0.8126666666666666,0.013808210118138653,0.80305390409953,0.015354937832963109,0.7445677419354838,0.037260885802971204,0.8607175324675325,0.020515989192130702
ArtificialDataset13,informative+redundant_nonLinear,LogReg,0.686,0.0248014336503177,0.6569504559632333,0.030411986570865603,0.5431161290322581,0.050690302873538144,0.786788961038961,0.03655072018872847
ArtificialDataset13,informative+redundant_nonLinear,SVM-linear,0.6940000000000001,0.024621580416825866,0.6645468450182375,0.028724700284302546,0.5439161290322581,0.04462690331492551,0.7998766233766234,0.03287895110664008
ArtificialDataset13,informative+redundant_nonLinear,SVM-rbf,0.8553333333333333,0.016343534229508346,0.848328886194,0.01796227569320813,0.7969225806451614,0.037170339959929515,0.8965194805194805,0.01783852512344733
ArtificialDataset13,informative+redundant_nonLinear,RandomForest,0.7926666666666666,0.02128118626601648,0.7766746008102524,0.022266644264328554,0.6704322580645161,0.025279705638508045,0.8789025974025974,0.03020261315051927
