y,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,L1,level,subset
0,0.34405940594059403,0.40891089108910894,0.596,0.634044173648134,0.5426236853910229,0.30077094813230143,0.496992091743238,0.995774267253028,0.9933666633990131,0.5150082520318406,class,informative+rand_extra
1,0.11912751677852348,0.23993288590604026,0.404,0.7435467217346412,0.36754120461609957,0.1930480843545056,0.4945569243555429,0.9947070103209069,0.9939918488493145,0.8574533890788744,class,informative+rand_extra
dataset,0.21,0.30820000000000003,0.481568,0.6993076923076923,0.4382745268491686,0.23656812132073515,0.49554073198017173,0.9951381821214839,0.9937392739273928,0.7191055537118728,class,informative+rand_extra
0,0.3076923076923077,0.4,0.596,0.6923076923076923,0.4829953025641134,0.0,0.4954919676377656,0.9975186104218362,0.9966996699669967,0.9033762489180326,instance,informative+rand_extra
0,0.09999999999999998,0.4,0.596,0.6923076923076923,0.4847251006491118,0.0,0.4967164057979986,0.9975186104218362,0.9900990099009901,1.6274455298699566,instance,informative+rand_extra
0,0.75,0.6,0.596,0.8461538461538461,0.4998773854992885,0.5,0.4953904575221386,0.9975186104218362,1.0,0.6031287139416501,instance,informative+rand_extra
0,0.6666666666666667,0.6,0.596,0.15384615384615385,0.4956559550720988,1.0,0.5024176723587627,1.0,0.9801980198019802,1.4246565817211854,instance,informative+rand_extra
0,0.19999999999999996,0.4,0.596,0.6153846153846154,0.566177738402878,0.3333333333333333,0.49914854870069714,0.9975186104218362,0.9900990099009901,0.4637988527111218,instance,informative+rand_extra
0,0.0,0.2,0.596,0.8461538461538461,0.5418208583678638,0.0,0.4965801792046429,0.9925558312655087,0.9933993399339934,0.750734560359254,instance,informative+rand_extra
0,0.4,0.4,0.596,0.6153846153846154,0.5735309660689395,1.0,0.5046800346822988,1.0,1.0,0.6720846904987903,instance,informative+rand_extra
0,0.4,0.4,0.596,0.9230769230769231,0.5544378521791388,0.0,0.4914406168640164,0.9925558312655087,0.9933993399339934,0.6082839598520028,instance,informative+rand_extra
0,0.6666666666666667,0.4,0.596,0.6153846153846154,0.6491753623781117,0.3333333333333333,0.509540803483738,1.0,0.9966996699669967,-1.0418134564793071,instance,informative+rand_extra
0,0.8571428571428572,0.4,0.596,0.5384615384615384,0.48417372520481095,1.0,0.5021215162152182,1.0,0.9933993399339934,0.7660163721876898,instance,informative+rand_extra
1,0.1785714285714286,0.2,0.404,0.5384615384615384,0.3497752574740254,0.0,0.4992969491741328,0.9983193277310924,0.9966996699669967,0.5229716062113907,instance,informative+rand_extra
0,0.4545454545454546,0.4,0.596,0.6153846153846154,0.5649667538019789,0.0,0.49180391514477695,0.9950372208436724,0.9900990099009901,0.6264018902669372,instance,informative+rand_extra
0,0.5208333333333333,0.4,0.596,0.8461538461538461,0.5507410605363813,0.6666666666666666,0.49773978249346607,0.9975186104218362,1.0,-0.19229199080220083,instance,informative+rand_extra
0,0.0,0.0,0.596,0.6153846153846154,0.5304477300609424,0.0,0.4903162141682412,0.9875930521091811,0.9966996699669967,-0.19781482751840113,instance,informative+rand_extra
0,0.42105263157894735,0.4,0.596,0.6153846153846154,0.5148585340658738,0.0,0.4899865954393202,0.9950372208436724,0.9867986798679867,0.3942228108881104,instance,informative+rand_extra
0,0.2962962962962963,0.4,0.596,0.6923076923076923,0.5794779819916139,0.0,0.4977430039021302,0.9950372208436724,0.9834983498349835,0.15189952851265096,instance,informative+rand_extra
0,0.5208333333333333,0.4,0.596,0.6153846153846154,0.589192334269112,1.0,0.5141772103728137,1.0,0.9834983498349835,0.27677415577839404,instance,informative+rand_extra
0,0.4,0.4,0.596,0.6923076923076923,0.5754405955208425,1.0,0.5009715905837564,1.0,1.0,-0.1439871450153866,instance,informative+rand_extra
0,0.1875,0.4,0.596,0.6923076923076923,0.5301262525210011,1.0,0.5002833448664536,1.0,0.9933993399339934,0.6878785654718048,instance,informative+rand_extra
0,0.0,0.4,0.596,0.6153846153846154,0.5337699802055211,0.0,0.4959759290379653,0.9975186104218362,0.9933993399339934,1.385596948950483,instance,informative+rand_extra
0,0.6086956521739131,0.6,0.596,0.6923076923076923,0.5355833799597257,0.0,0.49556843319969557,0.9975186104218362,0.9966996699669967,1.1804860891190974,instance,informative+rand_extra
1,0.5789473684210527,0.8,0.404,0.5384615384615384,0.36652860384532826,1.0,0.50798574154586,1.0,0.9966996699669967,0.3606350418475913,instance,informative+rand_extra
