dataset,subset,model,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,std_acc_class_0,mean_acc_class_1,std_acc_class_1
ArtificialDataset18,all,LogReg,0.6039999999999999,0.06740919818541087,0.5094772998654601,0.08070582024825554,0.38300653594771245,0.08777171855531657,0.7232007575757576,0.08489312653073
ArtificialDataset18,all,SVM-linear,0.568,0.05381449618829484,0.48131872298705575,0.07182305542402886,0.38235294117647056,0.0877498142620755,0.6679924242424242,0.06698791615945815
ArtificialDataset18,all,SVM-rbf,0.658,0.022715633383201095,0.16885901436155626,0.12484610931202832,0.05718954248366013,0.044766470811101466,0.981534090909091,0.024625764439291358
ArtificialDataset18,all,RandomForest,0.654,0.03469870314579494,0.18788738716081338,0.15183534021653672,0.06797385620915034,0.061465714747758166,0.9693181818181819,0.03602021786498969
ArtificialDataset18,all,KNN,0.6399999999999999,0.051380930314660504,0.46319651478784074,0.1396576853873433,0.2901960784313726,0.13388167394625355,0.8275568181818181,0.037453699033353056
ArtificialDataset18,all,NaiveBayes,0.642,0.04512205669071392,0.3395868238477845,0.15338547235690686,0.18202614379084966,0.13776011904545896,0.8895833333333334,0.12427273512373158
ArtificialDataset18,all,DecisionTree,0.5280000000000001,0.044,0.4574375501692276,0.060502846693980296,0.3944444444444444,0.0899381791749485,0.6002840909090909,0.06402026438699625
ArtificialDataset18,all,XGBoost,0.614,0.025377155080899064,0.3715968535818014,0.1206286197880446,0.2045751633986928,0.10239975890654689,0.834090909090909,0.04718114368156088
ArtificialDataset18,informative,LogReg,0.6499999999999999,0.04919349550499536,0.5252209711785041,0.09434850815157866,0.3532679738562091,0.10078348719174825,0.8094696969696968,0.0397542345175366
ArtificialDataset18,informative,SVM-linear,0.6419999999999999,0.039446165846632034,0.49952886680515496,0.08277360342182823,0.3183006535947713,0.08579536187803505,0.815625,0.03995954052416849
ArtificialDataset18,informative,SVM-rbf,0.6799999999999999,0.019999999999999976,0.3876606650789779,0.08760637482406877,0.165359477124183,0.05308219739672406,0.9569128787878789,0.03158182982131115
ArtificialDataset18,informative,RandomForest,0.656,0.021540659228538032,0.25455729489460854,0.1288213192829638,0.09673202614379085,0.05692656624291942,0.9571022727272727,0.01981883375410418
ArtificialDataset18,informative,KNN,0.634,0.035832945734337825,0.5072345833672085,0.08321240482531603,0.34673202614379084,0.10014567116471328,0.7873106060606061,0.03683992063056212
ArtificialDataset18,informative,NaiveBayes,0.612,0.04214261501141094,0.49208066406419715,0.08659327905533726,0.3526143790849673,0.11007252006577209,0.7510416666666667,0.0646544557506749
ArtificialDataset18,informative,DecisionTree,0.5360000000000001,0.05276362383309167,0.4541031356797425,0.07484712296067914,0.38169934640522873,0.116642406074956,0.6188446969696969,0.07778910804960057
